date,statusList,zscore,TFUELUSDT_position,TFUELUSDT_price,MITHUSDT_position,MITHUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,0.002383,0.0,0.00757,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,0.002297,0.0,0.00699,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,0.002403,0.0,0.00739,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,0.002429,0.0,0.00728,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,0.002412,0.0,0.00734,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,0.002461,0.0,0.00741,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,0.002382,0.0,0.00705,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,0.002511,0.0,0.00678,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,0.002395,0.0,0.00664,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,0.002402,0.0,0.00655,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,0.002403,0.0,0.00669,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,0.002452,0.0,0.00671,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,0.002456,0.0,0.00669,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,0.002572,0.0,0.00679,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,0.002567,0.0,0.00715,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,0.002584,0.0,0.00716,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,0.002598,0.0,0.00723,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,0.002591,0.0,0.00732,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,0.00246,0.0,0.00704,200000,200000.0,0.0,1.0
2020-01-20,1,1.1564899491724678,-38774718.88328809,0.002579,14450867.052023122,0.00692,200000,200000.0,0.0,1.0
2020-01-21,0,-0.4212338036771584,0.0,0.002514,0.0,0.00727,200000,192421.83980437816,-7578.1601956218365,0.9621091990218908
2020-01-22,-2,-1.4963317723261669,0.0,0.002515,0.0,0.00767,200000,192421.83980437816,-7578.1601956218365,0.9621091990218908
2020-01-23,0,-0.892424533736942,0.0,0.002492,0.0,0.00734,200000,192421.83980437816,-7578.1601956218365,0.9621091990218908
2020-01-24,-1,-1.112392981249597,39285798.245075166,0.002449,-13215785.700850148,0.00728,200000,192421.83980437816,-7578.1601956218365,0.9621091990218908
2020-01-25,-2,-1.2375893816422816,0.0,0.002489,0.0,0.00742,200000,192700.6178726942,-7299.382127305813,0.963503089363471
2020-01-26,-2,-2.5671367785895636,0.0,0.0025,0.0,0.00813,200000,192700.6178726942,-7299.382127305813,0.963503089363471
