date,statusList,zscore,THETAUSDT_position,THETAUSDT_price,XMRUSDT_position,XMRUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,0.08656,0.0,45.82,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,0.08443,0.0,45.5,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,0.08771,0.0,50.93,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,0.09394,0.0,50.37,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,0.09421,0.0,53.69,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,0.09987,0.0,58.91,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,0.09608,0.0,58.36,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,0.09873,0.0,59.44,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,0.09294,0.0,58.68,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,0.09509,0.0,58.42,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,0.09437,0.0,58.25,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,0.09589,0.0,59.19,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,0.09703,0.0,57.72,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,0.10598,0.0,62.55,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,0.10438,0.0,68.47,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,0.10368,0.0,65.63,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,0.11193,0.0,68.95,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,0.10876,0.0,67.0,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,0.1126,0.0,65.17,200000,200000.0,0.0,1.0
2020-01-20,0,0.08880650014315775,0.0,0.10998,0.0,64.96,200000,200000.0,0.0,1.0
2020-01-21,0,0.1905625297976951,0.0,0.11136,0.0,65.87,200000,200000.0,0.0,1.0
2020-01-22,2,1.9214008405240572,0.0,0.119,0.0,65.0,200000,200000.0,0.0,1.0
2020-01-23,0,0.7514040475279571,0.0,0.10858,0.0,62.55,200000,200000.0,0.0,1.0
2020-01-24,0,0.5152756693748392,0.0,0.10494,0.0,61.67,200000,200000.0,0.0,1.0
2020-01-25,0,-0.0038290160642025024,0.0,0.10189,0.0,61.35,200000,200000.0,0.0,1.0
2020-01-26,0,-0.8648754102867353,0.0,0.10222,0.0,63.97,200000,200000.0,0.0,1.0
2020-01-27,0,-0.8097784620069742,0.0,0.10459,0.0,65.44,200000,200000.0,0.0,1.0
2020-01-28,0,-0.5264241232878505,0.0,0.10936,0.0,67.71,200000,200000.0,0.0,1.0
2020-01-29,-2,-2.0433426260517704,0.0,0.10434,0.0,70.02,200000,200000.0,0.0,1.0
2020-01-30,-2,-2.5308485748329295,0.0,0.10431,0.0,74.83,200000,200000.0,0.0,1.0
2020-01-31,-2,-1.5080374299966877,0.0,0.10638,0.0,72.16,200000,200000.0,0.0,1.0
2020-02-01,-2,-1.6395381254733135,0.0,0.10527,0.0,73.22,200000,200000.0,0.0,1.0
2020-02-02,-2,-1.657797797463789,0.0,0.10545,0.0,74.89,200000,200000.0,0.0,1.0
2020-02-03,-2,-1.4453886706909131,0.0,0.10829,0.0,76.74,200000,200000.0,0.0,1.0
2020-02-04,0,0.21985616499014551,0.0,0.122,0.0,75.17,200000,200000.0,0.0,1.0
2020-02-05,0,-0.22547236629536158,0.0,0.122,0.0,77.84,200000,200000.0,0.0,1.0
2020-02-06,0,-0.05288127301734118,0.0,0.12425,0.0,78.3,200000,200000.0,0.0,1.0
2020-02-07,0,-0.19526674816503983,0.0,0.1245,0.0,79.48,200000,200000.0,0.0,1.0
2020-02-08,-1,-1.0787561016749663,859106.529209622,0.1164,-1240.079365079365,80.64,200000,200000.0,0.0,1.0
2020-02-09,-2,-1.2668152112571625,0.0,0.12284,0.0,87.59,200000,203085.90553919162,3085.905539191619,1.0154295276959582
2020-02-10,0,-0.0740784538927964,0.0,0.13064,0.0,84.53,200000,203085.90553919162,3085.905539191619,1.0154295276959582
2020-02-11,0,-0.9499444010904484,0.0,0.12814,0.0,89.36,200000,203085.90553919162,3085.905539191619,1.0154295276959582
2020-02-12,0,-0.5722791030780906,0.0,0.13827,0.0,94.29,200000,203085.90553919162,3085.905539191619,1.0154295276959582
2020-02-13,2,2.8716601113693483,0.0,0.17192,0.0,92.25,200000,203085.90553919162,3085.905539191619,1.0154295276959582
2020-02-14,1,1.1475492901138358,-641580.5444468049,0.15827,1067.076006406009,95.16,200000,203085.90553919162,3085.905539191619,1.0154295276959582
2020-02-15,1,0.9871042672518382,-641580.5444468049,0.14694,1067.076006406009,89.1,200000,189350.3173717889,-10649.6826282111,0.9467515868589444
