date,statusList,zscore,MITHUSDT_position,MITHUSDT_price,ONGUSDT_position,ONGUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,0.00757,0.0,0.0956,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,0.00699,0.0,0.095,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,0.00739,0.0,0.0995,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,0.00728,0.0,0.0981,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,0.00734,0.0,0.0998,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,0.00741,0.0,0.1024,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,0.00705,0.0,0.0997,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,0.00678,0.0,0.1016,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,0.00664,0.0,0.0991,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,0.00655,0.0,0.0996,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,0.00669,0.0,0.1039,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,0.00671,0.0,0.105,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,0.00669,0.0,0.1027,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,0.00679,0.0,0.1132,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,0.00715,0.0,0.1149,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,0.00716,0.0,0.1116,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,0.00723,0.0,0.1156,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,0.00732,0.0,0.1128,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,0.00704,0.0,0.1069,200000,200000.0,0.0,1.0
2020-01-20,0,-0.2924321741999022,0.0,0.00692,0.0,0.1043,200000,200000.0,0.0,1.0
2020-01-21,0,0.2640831615952971,0.0,0.00727,0.0,0.1062,200000,200000.0,0.0,1.0
2020-01-22,1,1.0558299089717358,-13037809.64797914,0.00767,934579.4392523365,0.107,200000,200000.0,0.0,1.0
2020-01-23,0,0.16755789057331363,0.0,0.00734,0.0,0.1087,200000,194108.73776943792,-5891.262230562075,0.9705436888471897
2020-01-24,0,0.9316090334081177,0.0,0.00728,0.0,0.104,200000,194108.73776943792,-5891.262230562075,0.9705436888471897
2020-01-25,2,1.4656101746459922,0.0,0.00742,0.0,0.1037,200000,194108.73776943792,-5891.262230562075,0.9705436888471897
2020-01-26,2,2.6124669265816136,0.0,0.00813,0.0,0.1054,200000,194108.73776943792,-5891.262230562075,0.9705436888471897
2020-01-27,2,1.644789964041051,0.0,0.00781,0.0,0.1058,200000,194108.73776943792,-5891.262230562075,0.9705436888471897
2020-01-28,1,1.034751239778652,-12507006.299577186,0.00776,896162.2242356322,0.1083,200000,194108.73776943792,-5891.262230562075,0.9705436888471897
2020-01-29,0,-0.25992701108657007,0.0,0.00764,0.0,0.1157,200000,185976.296554145,-14023.703445855004,0.929881482770725
2020-01-30,-2,-1.558852482379725,0.0,0.00742,0.0,0.1244,200000,185976.296554145,-14023.703445855004,0.929881482770725
2020-01-31,-2,-2.066972191043788,0.0,0.00794,0.0,0.1429,200000,185976.296554145,-14023.703445855004,0.929881482770725
2020-02-01,-2,-1.6928865652957585,0.0,0.00792,0.0,0.1404,200000,185976.296554145,-14023.703445855004,0.929881482770725
2020-02-02,-2,-1.5254181574305599,0.0,0.00799,0.0,0.1419,200000,185976.296554145,-14023.703445855004,0.929881482770725
2020-02-03,-2,-1.6107827604518894,0.0,0.00792,0.0,0.144,200000,185976.296554145,-14023.703445855004,0.929881482770725
2020-02-04,-2,-1.499949908078119,0.0,0.00837,0.0,0.1529,200000,185976.296554145,-14023.703445855004,0.929881482770725
2020-02-05,-2,-1.5613593663499616,0.0,0.00839,0.0,0.1584,200000,185976.296554145,-14023.703445855004,0.929881482770725
