date,statusList,zscore,NULSUSDT_position,NULSUSDT_price,ZRXUSDT_position,ZRXUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,0.2308,0.0,0.1825,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,0.2207,0.0,0.1752,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,0.2284,0.0,0.1821,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,0.2337,0.0,0.1864,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,0.234,0.0,0.1861,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,0.2456,0.0,0.1958,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,0.23,0.0,0.1878,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,0.2251,0.0,0.2133,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,0.226,0.0,0.2058,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,0.2279,0.0,0.2026,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,0.2339,0.0,0.2064,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,0.2382,0.0,0.2182,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,0.2348,0.0,0.2102,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,0.2461,0.0,0.238,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,0.2584,0.0,0.2459,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,0.2585,0.0,0.2474,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,0.2692,0.0,0.2547,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,0.2754,0.0,0.2455,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,0.2618,0.0,0.2312,200000,200000.0,0.0,1.0
2020-01-20,0,-0.12577737424683308,0.0,0.2635,0.0,0.2316,200000,200000.0,0.0,1.0
2020-01-21,0,-0.26749547214574476,0.0,0.2704,0.0,0.2415,200000,200000.0,0.0,1.0
2020-01-22,0,0.02545251048377892,0.0,0.2757,0.0,0.2425,200000,200000.0,0.0,1.0
2020-01-23,0,-0.011072736755046605,0.0,0.2575,0.0,0.2283,200000,200000.0,0.0,1.0
2020-01-24,0,0.842352101435082,0.0,0.2683,0.0,0.2275,200000,200000.0,0.0,1.0
2020-01-25,0,0.8620905520866402,0.0,0.2624,0.0,0.2242,200000,200000.0,0.0,1.0
2020-01-26,0,0.9716613552150416,0.0,0.2684,0.0,0.2305,200000,200000.0,0.0,1.0
2020-01-27,2,1.219090637496151,0.0,0.2704,0.0,0.2316,200000,200000.0,0.0,1.0
2020-01-28,2,1.3543428043364636,0.0,0.2733,0.0,0.2316,200000,200000.0,0.0,1.0
2020-01-29,2,1.6586001938162125,0.0,0.2717,0.0,0.2255,200000,200000.0,0.0,1.0
2020-01-30,2,1.3169240844191392,0.0,0.2786,0.0,0.2331,200000,200000.0,0.0,1.0
2020-01-31,2,1.7754153770130439,0.0,0.2815,0.0,0.2284,200000,200000.0,0.0,1.0
2020-02-01,2,1.830250707545379,0.0,0.2908,0.0,0.2321,200000,200000.0,0.0,1.0
2020-02-02,2,1.9665879452300243,0.0,0.3076,0.0,0.2395,200000,200000.0,0.0,1.0
2020-02-03,2,1.8763358990645955,0.0,0.3054,0.0,0.236,200000,200000.0,0.0,1.0
2020-02-04,2,1.8457210950907383,0.0,0.3321,0.0,0.2538,200000,200000.0,0.0,1.0
2020-02-05,2,1.9079090428772776,0.0,0.3427,0.0,0.2579,200000,200000.0,0.0,1.0
2020-02-06,2,1.2327111118989544,0.0,0.3579,0.0,0.2783,200000,200000.0,0.0,1.0
2020-02-07,0,0.5219190462113538,0.0,0.3448,0.0,0.2776,200000,200000.0,0.0,1.0
2020-02-08,0,0.9263062440333174,0.0,0.3482,0.0,0.273,200000,200000.0,0.0,1.0
2020-02-09,0,0.017949416079925232,0.0,0.3609,0.0,0.2959,200000,200000.0,0.0,1.0
2020-02-10,0,-0.047129598916982415,0.0,0.3461,0.0,0.2835,200000,200000.0,0.0,1.0
2020-02-11,0,-0.26733263771326665,0.0,0.3668,0.0,0.3025,200000,200000.0,0.0,1.0
2020-02-12,0,0.8573373192096396,0.0,0.3976,0.0,0.3109,200000,200000.0,0.0,1.0
2020-02-13,0,-0.2907704443508433,0.0,0.391,0.0,0.3198,200000,200000.0,0.0,1.0
2020-02-14,0,-0.1321311682658325,0.0,0.4271,0.0,0.3461,200000,200000.0,0.0,1.0
2020-02-15,-2,-1.813217289163715,0.0,0.3688,0.0,0.3201,200000,200000.0,0.0,1.0
2020-02-16,-2,-1.8490346290476725,0.0,0.3419,0.0,0.2984,200000,200000.0,0.0,1.0
2020-02-17,-2,-2.2124470121538096,0.0,0.3239,0.0,0.2918,200000,200000.0,0.0,1.0
2020-02-18,-2,-1.6605205274489656,0.0,0.3473,0.0,0.3073,200000,200000.0,0.0,1.0
2020-02-19,-2,-1.5125192379881065,0.0,0.3163,0.0,0.2798,200000,200000.0,0.0,1.0
2020-02-20,-2,-1.3387833898163997,0.0,0.3147,0.0,0.278,200000,200000.0,0.0,1.0
2020-02-21,-2,-1.262509302258123,0.0,0.3249,0.0,0.2882,200000,200000.0,0.0,1.0
2020-02-22,-2,-1.2079740415839169,0.0,0.3153,0.0,0.2811,200000,200000.0,0.0,1.0
2020-02-23,0,-0.9118118952194194,0.0,0.327,0.0,0.2878,200000,200000.0,0.0,1.0
2020-02-24,0,-0.6263422195839887,0.0,0.3079,0.0,0.2675,200000,200000.0,0.0,1.0
2020-02-25,-2,-1.4574330059423017,0.0,0.2752,0.0,0.2525,200000,200000.0,0.0,1.0
2020-02-26,-1,-1.1739088110092133,386100.3861003861,0.259,-425350.9145044662,0.2351,200000,200000.0,0.0,1.0
2020-02-27,-2,-1.816861015646252,0.0,0.2555,0.0,0.2441,200000,205179.50958189156,5179.509581891558,1.0258975479094579
2020-02-28,-2,-1.5234544808522585,0.0,0.2516,0.0,0.238,200000,205179.50958189156,5179.509581891558,1.0258975479094579
2020-02-29,-2,-1.50368949247621,0.0,0.2395,0.0,0.2288,200000,205179.50958189156,5179.509581891558,1.0258975479094579
2020-03-01,-2,-1.2636500115686031,0.0,0.2423,0.0,0.23,200000,205179.50958189156,5179.509581891558,1.0258975479094579
2020-03-02,-2,-1.2824397281983413,0.0,0.2614,0.0,0.2505,200000,205179.50958189156,5179.509581891558,1.0258975479094579
2020-03-03,-2,-1.8557109008335924,0.0,0.255,0.0,0.2543,200000,205179.50958189156,5179.509581891558,1.0258975479094579
2020-03-04,-2,-1.7540111524321282,0.0,0.2631,0.0,0.2633,200000,205179.50958189156,5179.509581891558,1.0258975479094579
2020-03-05,-2,-2.080760686101945,0.0,0.268,0.0,0.2758,200000,205179.50958189156,5179.509581891558,1.0258975479094579
2020-03-06,-2,-1.8503925618544461,0.0,0.2748,0.0,0.2838,200000,205179.50958189156,5179.509581891558,1.0258975479094579
2020-03-07,0,-0.9204346564553978,0.0,0.2675,0.0,0.2628,200000,205179.50958189156,5179.509581891558,1.0258975479094579
2020-03-08,0,-0.9928294850036936,0.0,0.2266,0.0,0.2249,200000,205179.50958189156,5179.509581891558,1.0258975479094579
2020-03-09,0,-0.3666826793940754,0.0,0.2307,0.0,0.2216,200000,205179.50958189156,5179.509581891558,1.0258975479094579
2020-03-10,-2,-1.4705125842812374,0.0,0.2303,0.0,0.2382,200000,205179.50958189156,5179.509581891558,1.0258975479094579
2020-03-11,0,-0.9300755243554297,0.0,0.2251,0.0,0.2266,200000,205179.50958189156,5179.509581891558,1.0258975479094579
2020-03-12,-2,-2.945198965026846,0.0,0.1184,0.0,0.1466,200000,205179.50958189156,5179.509581891558,1.0258975479094579
2020-03-13,-2,-2.4227687438712975,0.0,0.1342,0.0,0.1677,200000,205179.50958189156,5179.509581891558,1.0258975479094579
2020-03-14,-2,-2.0308160810957645,0.0,0.1262,0.0,0.1569,200000,205179.50958189156,5179.509581891558,1.0258975479094579
2020-03-15,-2,-1.582257181934842,0.0,0.1317,0.0,0.1584,200000,205179.50958189156,5179.509581891558,1.0258975479094579
2020-03-16,-2,-1.465850358227296,0.0,0.114,0.0,0.1381,200000,205179.50958189156,5179.509581891558,1.0258975479094579
2020-03-17,0,-0.6325681208843777,0.0,0.1283,0.0,0.1426,200000,205179.50958189156,5179.509581891558,1.0258975479094579
2020-03-18,0,-0.5908002146402859,0.0,0.1306,0.0,0.1456,200000,205179.50958189156,5179.509581891558,1.0258975479094579
2020-03-19,0,-0.27767816405930507,0.0,0.1496,0.0,0.1626,200000,205179.50958189156,5179.509581891558,1.0258975479094579
2020-03-20,0,0.6852665010051386,0.0,0.1525,0.0,0.1521,200000,205179.50958189156,5179.509581891558,1.0258975479094579
2020-03-21,0,0.4590526933658683,0.0,0.1517,0.0,0.1552,200000,205179.50958189156,5179.509581891558,1.0258975479094579
2020-03-22,0,0.6621193911116084,0.0,0.1391,0.0,0.1405,200000,205179.50958189156,5179.509581891558,1.0258975479094579
2020-03-23,0,0.5758882700758601,0.0,0.1487,0.0,0.1515,200000,205179.50958189156,5179.509581891558,1.0258975479094579
2020-03-24,0,0.599498038762366,0.0,0.1489,0.0,0.1516,200000,205179.50958189156,5179.509581891558,1.0258975479094579
2020-03-25,0,-0.05832510170330332,0.0,0.1458,0.0,0.1572,200000,205179.50958189156,5179.509581891558,1.0258975479094579
2020-03-26,2,3.1378600956788043,0.0,0.2099,0.0,0.1594,200000,205179.50958189156,5179.509581891558,1.0258975479094579
2020-03-27,2,1.6797569251946567,0.0,0.1749,0.0,0.1496,200000,205179.50958189156,5179.509581891558,1.0258975479094579
2020-03-28,2,1.2954079406680565,0.0,0.1697,0.0,0.1496,200000,205179.50958189156,5179.509581891558,1.0258975479094579
2020-03-29,0,0.7478096049184063,0.0,0.1533,0.0,0.1441,200000,205179.50958189156,5179.509581891558,1.0258975479094579
