date,statusList,zscore,EOSUSDT_position,EOSUSDT_price,THETAUSDT_position,THETAUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,2.6039,0.0,0.08656,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,2.4593,0.0,0.08443,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,2.6396,0.0,0.08771,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,2.6481,0.0,0.09394,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,2.6865,0.0,0.09421,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,2.8506,0.0,0.09987,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,2.8459,0.0,0.09608,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,2.7751,0.0,0.09873,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,2.7432,0.0,0.09294,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,2.9866,0.0,0.09509,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,2.9901,0.0,0.09437,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,3.2107,0.0,0.09589,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,3.1049,0.0,0.09703,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,3.81,0.0,0.10598,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,3.7675,0.0,0.10438,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,3.8376,0.0,0.10368,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,3.9038,0.0,0.11193,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,3.8049,0.0,0.10876,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,3.6115,0.0,0.1126,200000,200000.0,0.0,1.0
2020-01-20,0,0.4168848551238377,0.0,3.62,0.0,0.10998,200000,200000.0,0.0,1.0
2020-01-21,0,0.3319966369457021,0.0,3.6527,0.0,0.11136,200000,200000.0,0.0,1.0
2020-01-22,0,-0.4358236187790813,0.0,3.654,0.0,0.119,200000,200000.0,0.0,1.0
2020-01-23,0,0.29363336220977027,0.0,3.5706,0.0,0.10858,200000,200000.0,0.0,1.0
2020-01-24,0,0.8378131887082438,0.0,3.6345,0.0,0.10494,200000,200000.0,0.0,1.0
2020-01-25,0,0.6476179388908518,0.0,3.498,0.0,0.10189,200000,200000.0,0.0,1.0
2020-01-26,1,1.0900521747853553,-27407.772844378665,3.6486,978282.1365681862,0.10222,200000,200000.0,0.0,1.0
2020-01-27,2,1.7629290158336097,0.0,3.9647,0.0,0.10459,200000,206345.0683324415,6345.0683324415,1.0317253416622074
2020-01-28,2,1.3259686467799172,0.0,4.0412,0.0,0.10936,200000,206345.0683324415,6345.0683324415,1.0317253416622074
2020-01-29,2,1.6535692331905936,0.0,3.9674,0.0,0.10434,200000,206345.0683324415,6345.0683324415,1.0317253416622074
2020-01-30,2,2.508680456295169,0.0,4.3236,0.0,0.10431,200000,206345.0683324415,6345.0683324415,1.0317253416622074
2020-01-31,2,1.4037334271500137,0.0,4.1444,0.0,0.10638,200000,206345.0683324415,6345.0683324415,1.0317253416622074
2020-02-01,2,1.4085759161451576,0.0,4.1531,0.0,0.10527,200000,206345.0683324415,6345.0683324415,1.0317253416622074
2020-02-02,2,1.4275821385958272,0.0,4.2145,0.0,0.10545,200000,206345.0683324415,6345.0683324415,1.0317253416622074
2020-02-03,0,0.9485058495386475,0.0,4.2027,0.0,0.10829,200000,206345.0683324415,6345.0683324415,1.0317253416622074
2020-02-04,0,-0.433446245460924,0.0,4.2306,0.0,0.122,200000,206345.0683324415,6345.0683324415,1.0317253416622074
2020-02-05,0,0.39205302984744944,0.0,4.5284,0.0,0.122,200000,206345.0683324415,6345.0683324415,1.0317253416622074
2020-02-06,0,0.33329308474310254,0.0,4.6038,0.0,0.12425,200000,206345.0683324415,6345.0683324415,1.0317253416622074
2020-02-07,0,0.2385774820863131,0.0,4.5898,0.0,0.1245,200000,206345.0683324415,6345.0683324415,1.0317253416622074
2020-02-08,2,1.4542886451082562,0.0,4.762,0.0,0.1164,200000,206345.0683324415,6345.0683324415,1.0317253416622074
2020-02-09,2,1.2785779459232485,0.0,5.0111,0.0,0.12284,200000,206345.0683324415,6345.0683324415,1.0317253416622074
2020-02-10,0,0.09386259445986406,0.0,4.8986,0.0,0.13064,200000,206345.0683324415,6345.0683324415,1.0317253416622074
2020-02-11,2,1.2967327991689037,0.0,5.2449,0.0,0.12814,200000,206345.0683324415,6345.0683324415,1.0317253416622074
2020-02-12,0,0.24062667265015233,0.0,5.3307,0.0,0.13827,200000,206345.0683324415,6345.0683324415,1.0317253416622074
2020-02-13,-2,-2.603969040787766,0.0,5.3607,0.0,0.17192,200000,206345.0683324415,6345.0683324415,1.0317253416622074
2020-02-14,-2,-1.4966728034916854,0.0,5.3747,0.0,0.15827,200000,206345.0683324415,6345.0683324415,1.0317253416622074
2020-02-15,-2,-1.897032369794224,0.0,4.7429,0.0,0.14694,200000,206345.0683324415,6345.0683324415,1.0317253416622074
2020-02-16,-2,-1.580321629984876,0.0,4.3812,0.0,0.13454,200000,206345.0683324415,6345.0683324415,1.0317253416622074
2020-02-17,-2,-1.6328123694756693,0.0,4.3521,0.0,0.13716,200000,206345.0683324415,6345.0683324415,1.0317253416622074
2020-02-18,-2,-1.285382525339229,0.0,4.5793,0.0,0.14134,200000,206345.0683324415,6345.0683324415,1.0317253416622074
2020-02-19,-2,-1.4198064469592633,0.0,3.9752,0.0,0.12664,200000,206345.0683324415,6345.0683324415,1.0317253416622074
2020-02-20,-2,-1.5538191870436808,0.0,3.9963,0.0,0.13247,200000,206345.0683324415,6345.0683324415,1.0317253416622074
2020-02-21,-1,-1.0285674581438324,25469.040007460255,4.0509,-807549.5786335374,0.12776,200000,206345.0683324415,6345.0683324415,1.0317253416622074
2020-02-22,-1,-0.8798385811761154,25469.040007460255,4.1004,-807549.5786335374,0.12846,200000,208171.0705178542,8171.070517854212,1.040855352589271
2020-02-23,-1,-1.0388196150204787,25469.040007460255,4.3778,-807549.5786335374,0.14149,200000,225758.5532255187,25758.5532255187,1.1287927661275936
2020-02-24,-2,-1.664610020054359,0.0,4.1221,0.0,0.14836,200000,221167.19400376122,21167.194003761222,1.105835970018806
2020-02-25,0,-0.945311550979898,0.0,4.0778,0.0,0.13481,200000,221167.19400376122,21167.194003761222,1.105835970018806
2020-02-26,0,-0.944878551494884,0.0,3.5344,0.0,0.11839,200000,221167.19400376122,21167.194003761222,1.105835970018806
2020-02-27,0,-0.8949081409855909,0.0,3.6183,0.0,0.12192,200000,221167.19400376122,21167.194003761222,1.105835970018806
2020-02-28,0,-0.9705651817486612,0.0,3.5136,0.0,0.12082,200000,221167.19400376122,21167.194003761222,1.105835970018806
2020-02-29,0,-0.6741434989125014,0.0,3.5105,0.0,0.11712,200000,221167.19400376122,21167.194003761222,1.105835970018806
2020-03-01,0,-0.6029222983961047,0.0,3.5075,0.0,0.11707,200000,221167.19400376122,21167.194003761222,1.105835970018806
2020-03-02,-1,-1.0114753000003975,29780.41014781478,3.7133,-861242.9673043662,0.1284,200000,221167.19400376122,21167.194003761222,1.105835970018806
2020-03-03,-2,-1.9127386742176984,0.0,3.6233,0.0,0.1317,200000,226689.53270916897,26689.53270916897,1.1334476635458448
2020-03-04,-2,-1.7822770988713215,0.0,3.5908,0.0,0.13182,200000,226689.53270916897,26689.53270916897,1.1334476635458448
2020-03-05,-2,-1.9148913633727358,0.0,3.7626,0.0,0.14123,200000,226689.53270916897,26689.53270916897,1.1334476635458448
2020-03-06,0,-0.8249266151501274,0.0,3.8345,0.0,0.13477,200000,226689.53270916897,26689.53270916897,1.1334476635458448
2020-03-07,-2,-1.5756041073037743,0.0,3.6409,0.0,0.13575,200000,226689.53270916897,26689.53270916897,1.1334476635458448
2020-03-08,-1,-1.0324689921013406,37241.58579089354,3.0435,-1027790.7721670701,0.11028,200000,226689.53270916897,26689.53270916897,1.1334476635458448
2020-03-09,-1,-0.6067643297807396,37241.58579089354,3.0612,-1027790.7721670701,0.10849,200000,225508.96329548873,25508.963295488735,1.1275448164774438
2020-03-10,-1,-0.7325410859813706,37241.58579089354,3.0729,-1027790.7721670701,0.11022,200000,227722.76788509125,27722.76788509125,1.1386138394254561
2020-03-11,0,1.190564258420275,0.0,3.0661,0.0,0.09894,200000,214192.7255139202,14192.725513920188,1.0709636275696008
2020-03-12,2,2.6287278312777005,0.0,1.7656,0.0,0.05167,200000,214192.7255139202,14192.725513920188,1.0709636275696008
2020-03-13,2,2.338863911228195,0.0,2.11,0.0,0.06151,200000,214192.7255139202,14192.725513920188,1.0709636275696008
2020-03-14,2,1.2425558601544708,0.0,1.958,0.0,0.061,200000,214192.7255139202,14192.725513920188,1.0709636275696008
2020-03-15,2,1.4564280299425603,0.0,2.0447,0.0,0.06199,200000,214192.7255139202,14192.725513920188,1.0709636275696008
2020-03-16,2,2.1645822486449697,0.0,1.8937,0.0,0.05307,200000,214192.7255139202,14192.725513920188,1.0709636275696008
2020-03-17,2,1.5926851266801065,0.0,1.9684,0.0,0.05667,200000,214192.7255139202,14192.725513920188,1.0709636275696008
2020-03-18,2,1.5652257100065483,0.0,1.9989,0.0,0.05667,200000,214192.7255139202,14192.725513920188,1.0709636275696008
2020-03-19,2,1.2457407446791984,0.0,2.2767,0.0,0.06557,200000,214192.7255139202,14192.725513920188,1.0709636275696008
2020-03-20,0,-0.07474464810237479,0.0,2.2029,0.0,0.07224,200000,214192.7255139202,14192.725513920188,1.0709636275696008
2020-03-21,0,0.13040814180157903,0.0,2.2735,0.0,0.07283,200000,214192.7255139202,14192.725513920188,1.0709636275696008
2020-03-22,0,0.8083110300810904,0.0,2.1344,0.0,0.06342,200000,214192.7255139202,14192.725513920188,1.0709636275696008
2020-03-23,0,0.46378934222632634,0.0,2.2856,0.0,0.06977,200000,214192.7255139202,14192.725513920188,1.0709636275696008
2020-03-24,0,0.44036105100192086,0.0,2.3439,0.0,0.07122,200000,214192.7255139202,14192.725513920188,1.0709636275696008
2020-03-25,0,0.39833809007369136,0.0,2.2965,0.0,0.06956,200000,214192.7255139202,14192.725513920188,1.0709636275696008
2020-03-26,0,0.019031283235802464,0.0,2.3236,0.0,0.07231,200000,214192.7255139202,14192.725513920188,1.0709636275696008
2020-03-27,0,-0.7163759875806655,0.0,2.1928,0.0,0.0718,200000,214192.7255139202,14192.725513920188,1.0709636275696008
2020-03-28,0,-0.4798501615951078,0.0,2.1996,0.0,0.07,200000,214192.7255139202,14192.725513920188,1.0709636275696008
2020-03-29,0,-0.17585092094800436,0.0,2.1133,0.0,0.06537,200000,214192.7255139202,14192.725513920188,1.0709636275696008
2020-03-30,-2,-1.3173143420336406,0.0,2.2269,0.0,0.07265,200000,214192.7255139202,14192.725513920188,1.0709636275696008
2020-03-31,-2,-1.7275581973669243,0.0,2.2086,0.0,0.07421,200000,214192.7255139202,14192.725513920188,1.0709636275696008
2020-04-01,-1,-1.197992511700835,47494.950000869256,2.2549,-1445880.4206420965,0.07407,200000,214192.7255139202,14192.725513920188,1.0709636275696008
2020-04-02,-2,-1.6149084467505872,0.0,2.2895,0.0,0.07811,200000,218390.7571432842,18390.757143284194,1.091953785716421
2020-04-03,0,-0.8179710330235039,0.0,2.3325,0.0,0.076,200000,218390.7571432842,18390.757143284194,1.091953785716421
2020-04-04,-1,-1.1029456171267131,46349.75108096358,2.3559,-1387488.927212733,0.0787,200000,218390.7571432842,18390.757143284194,1.091953785716421
2020-04-05,-2,-1.321682815667399,0.0,2.3505,0.0,0.08015,200000,220652.9047435799,20652.904743579886,1.1032645237178995
2020-04-06,0,0.018109423328752004,0.0,2.7586,0.0,0.08718,200000,220652.9047435799,20652.904743579886,1.1032645237178995
2020-04-07,0,-0.23359922234686814,0.0,2.6332,0.0,0.08479,200000,220652.9047435799,20652.904743579886,1.1032645237178995
2020-04-08,0,0.07352180386309203,0.0,2.7486,0.0,0.08775,200000,220652.9047435799,20652.904743579886,1.1032645237178995
2020-04-09,0,0.03576460332209372,0.0,2.7239,0.0,0.08698,200000,220652.9047435799,20652.904743579886,1.1032645237178995
2020-04-10,0,0.014351309962722589,0.0,2.4916,0.0,0.07962,200000,220652.9047435799,20652.904743579886,1.1032645237178995
2020-04-11,0,0.513656667749105,0.0,2.5083,0.0,0.07899,200000,220652.9047435799,20652.904743579886,1.1032645237178995
2020-04-12,0,0.48951988010736736,0.0,2.498,0.0,0.07894,200000,220652.9047435799,20652.904743579886,1.1032645237178995
2020-04-13,0,0.6012587311743889,0.0,2.4424,0.0,0.07716,200000,220652.9047435799,20652.904743579886,1.1032645237178995
2020-04-14,0,0.6954592189575778,0.0,2.4655,0.0,0.07801,200000,220652.9047435799,20652.904743579886,1.1032645237178995
2020-04-15,2,1.4217330785423132,0.0,2.4015,0.0,0.07443,200000,220652.9047435799,20652.904743579886,1.1032645237178995
2020-04-16,2,2.370914669189334,0.0,2.6569,0.0,0.07888,200000,220652.9047435799,20652.904743579886,1.1032645237178995
2020-04-17,2,1.9890169794132333,0.0,2.6129,0.0,0.07762,200000,220652.9047435799,20652.904743579886,1.1032645237178995
2020-04-18,2,1.7277986749647352,0.0,2.7265,0.0,0.08125,200000,220652.9047435799,20652.904743579886,1.1032645237178995
2020-04-19,0,0.31042059184697385,0.0,2.598,0.0,0.08174,200000,220652.9047435799,20652.904743579886,1.1032645237178995
2020-04-20,-1,-1.010318932718955,43995.076114283984,2.5077,-1325561.1242555561,0.08323,200000,220652.9047435799,20652.904743579886,1.1032645237178995
2020-04-21,-2,-1.4814103750814838,0.0,2.5211,0.0,0.08578,200000,223443.5515905001,23443.55159050011,1.1172177579525004
2020-04-22,-2,-1.9627030466003221,0.0,2.6224,0.0,0.09174,200000,223443.5515905001,23443.55159050011,1.1172177579525004
2020-04-23,-2,-2.583014778666166,0.0,2.6811,0.0,0.10075,200000,223443.5515905001,23443.55159050011,1.1172177579525004
2020-04-24,-2,-2.1592518964617815,0.0,2.7068,0.0,0.10163,200000,223443.5515905001,23443.55159050011,1.1172177579525004
2020-04-25,-2,-2.3244723211625375,0.0,2.7024,0.0,0.10681,200000,223443.5515905001,23443.55159050011,1.1172177579525004
2020-04-26,-2,-2.1901516770340628,0.0,2.7375,0.0,0.11209,200000,223443.5515905001,23443.55159050011,1.1172177579525004
2020-04-27,-2,-1.5863569410863216,0.0,2.743,0.0,0.10775,200000,223443.5515905001,23443.55159050011,1.1172177579525004
2020-04-28,-2,-1.4424471259437546,0.0,2.7614,0.0,0.109,200000,223443.5515905001,23443.55159050011,1.1172177579525004
2020-04-29,-1,-1.1611665151703794,37167.49585656544,3.0059,-959396.9583104341,0.11645,200000,223443.5515905001,23443.55159050011,1.1172177579525004
2020-04-30,-2,-1.6506702397230892,0.0,2.822,0.0,0.12033,200000,234001.114276767,34001.11427676701,1.170005571383835
2020-05-01,-2,-1.6614258457695625,0.0,2.8731,0.0,0.12735,200000,234001.114276767,34001.11427676701,1.170005571383835
2020-05-02,-2,-1.7714097248478036,0.0,2.9396,0.0,0.13928,200000,234001.114276767,34001.11427676701,1.170005571383835
2020-05-03,-2,-1.8291330320767254,0.0,2.8387,0.0,0.14434,200000,234001.114276767,34001.11427676701,1.170005571383835
2020-05-04,-2,-1.7374807958386242,0.0,2.7687,0.0,0.14639,200000,234001.114276767,34001.11427676701,1.170005571383835
2020-05-05,-2,-1.734898835501217,0.0,2.7706,0.0,0.15591,200000,234001.114276767,34001.11427676701,1.170005571383835
2020-05-06,-2,-1.6695800975557138,0.0,2.6522,0.0,0.15461,200000,234001.114276767,34001.11427676701,1.170005571383835
2020-05-07,-2,-1.5926682229317364,0.0,2.7572,0.0,0.16445,200000,234001.114276767,34001.11427676701,1.170005571383835
2020-05-08,-2,-1.4595609375212655,0.0,2.7518,0.0,0.16302,200000,234001.114276767,34001.11427676701,1.170005571383835
2020-05-09,-2,-1.2381579121563822,0.0,2.7516,0.0,0.15758,200000,234001.114276767,34001.11427676701,1.170005571383835
2020-05-10,-1,-1.1905264445928678,47884.323949571706,2.4434,-824470.1369768409,0.14191,200000,234001.114276767,34001.11427676701,1.170005571383835
2020-05-11,-2,-1.2894197228259303,0.0,2.3978,0.0,0.14692,200000,240315.23483512143,40315.23483512143,1.2015761741756072
2020-05-12,-2,-1.7403335605972308,0.0,2.441,0.0,0.17894,200000,240315.23483512143,40315.23483512143,1.2015761741756072
2020-05-13,-2,-1.3470831507445074,0.0,2.5245,0.0,0.17177,200000,240315.23483512143,40315.23483512143,1.2015761741756072
2020-05-14,-1,-1.035647549201863,45812.72587218268,2.6228,-714840.9626840426,0.16809,200000,240315.23483512143,40315.23483512143,1.2015761741756072
2020-05-15,-2,-1.411880765598702,0.0,2.5855,0.0,0.19186,200000,259015.81919315353,59015.819193153526,1.2950790959657676
2020-05-16,-1,-1.0846601781846088,49128.60270724812,2.6361,-705572.9207113961,0.18355,200000,259015.81919315353,59015.819193153526,1.2950790959657676
2020-05-17,-1,-1.1711770289628953,49128.60270724812,2.6205,-705572.9207113961,0.19206,200000,264253.83854617446,64253.83854617446,1.3212691927308722
2020-05-18,-1,-1.0828611708326492,49128.60270724812,2.6653,-705572.9207113961,0.1944,200000,268105.84058192384,68105.84058192384,1.3405292029096192
2020-05-19,-2,-1.4941842569025479,0.0,2.6543,0.0,0.218,200000,282428.6657423892,82428.66574238922,1.412143328711946
2020-05-20,-2,-2.1716665190531454,0.0,2.597,0.0,0.27895,200000,282428.6657423892,82428.66574238922,1.412143328711946
2020-05-21,-2,-1.9769809097067759,0.0,2.4621,0.0,0.264,200000,282428.6657423892,82428.66574238922,1.412143328711946
2020-05-22,-2,-1.7015458971327524,0.0,2.5948,0.0,0.26799,200000,282428.6657423892,82428.66574238922,1.412143328711946
2020-05-23,-2,-1.8465960706354752,0.0,2.5631,0.0,0.3017,200000,282428.6657423892,82428.66574238922,1.412143328711946
2020-05-24,-2,-1.9408947764415272,0.0,2.4879,0.0,0.34231,200000,282428.6657423892,82428.66574238922,1.412143328711946
2020-05-25,-2,-1.7282412878657922,0.0,2.5296,0.0,0.35327,200000,282428.6657423892,82428.66574238922,1.412143328711946
2020-05-26,-2,-1.7426786787744915,0.0,2.5034,0.0,0.40301,200000,282428.6657423892,82428.66574238922,1.412143328711946
2020-05-27,-1,-1.1544198722160974,54915.15958436501,2.5715,-435819.80393554294,0.32402,200000,282428.6657423892,82428.66574238922,1.412143328711946
2020-05-28,-1,-0.9361275626533548,54915.15958436501,2.612,-435819.80393554294,0.31117,200000,279052.4452249843,79052.44522498432,1.3952622261249217
2020-05-29,-1,-0.8400737338757576,54915.15958436501,2.6144,-435819.80393554294,0.30948,200000,278447.7061393357,78447.7061393357,1.3922385306966785
2020-05-30,-1,-0.40888426792404864,54915.15958436501,2.7715,-435819.80393554294,0.2865,200000,277059.7386156006,77059.73861560063,1.3852986930780031
2020-05-31,0,0.04223391795573243,0.0,2.6731,0.0,0.24692,200000,243247.57864518737,43247.57864518737,1.2162378932259368
2020-06-01,0,-0.04652913618137658,0.0,2.8214,0.0,0.27108,200000,243247.57864518737,43247.57864518737,1.2162378932259368
2020-06-02,0,0.06543089800408415,0.0,2.6756,0.0,0.25468,200000,243247.57864518737,43247.57864518737,1.2162378932259368
2020-06-03,0,-0.11571089273468418,0.0,2.6958,0.0,0.27607,200000,243247.57864518737,43247.57864518737,1.2162378932259368
2020-06-04,0,-0.13230383046488886,0.0,2.7203,0.0,0.28491,200000,243247.57864518737,43247.57864518737,1.2162378932259368
2020-06-05,0,0.2369150904715405,0.0,2.8143,0.0,0.27883,200000,243247.57864518737,43247.57864518737,1.2162378932259368
2020-06-06,0,0.5076725059769678,0.0,2.7982,0.0,0.27058,200000,243247.57864518737,43247.57864518737,1.2162378932259368
2020-06-07,0,0.8928914452466825,0.0,2.8098,0.0,0.26517,200000,243247.57864518737,43247.57864518737,1.2162378932259368
2020-06-08,2,1.2652936264566674,0.0,2.7878,0.0,0.25492,200000,243247.57864518737,43247.57864518737,1.2162378932259368
2020-06-09,1,1.1356788680168988,-44218.79270045216,2.7505,481964.68921178393,0.25235,200000,243247.57864518737,43247.57864518737,1.2162378932259368
2020-06-10,2,1.4209140792112311,0.0,2.7568,0.0,0.2392,200000,249863.99270233518,49863.99270233518,1.2493199635116758
2020-06-11,2,1.7020141700865956,0.0,2.5146,0.0,0.20451,200000,249863.99270233518,49863.99270233518,1.2493199635116758
2020-06-12,0,0.39226936980479404,0.0,2.597,0.0,0.25264,200000,249863.99270233518,49863.99270233518,1.2493199635116758
2020-06-13,0,0.3637545497566254,0.0,2.6042,0.0,0.25154,200000,249863.99270233518,49863.99270233518,1.2493199635116758
2020-06-14,0,0.7874139186306739,0.0,2.5681,0.0,0.23149,200000,249863.99270233518,49863.99270233518,1.2493199635116758
