date,statusList,zscore,ZECUSDT_position,ZECUSDT_price,FETUSDT_position,FETUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,28.07,0.0,0.03832,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,27.02,0.0,0.03642,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,28.41,0.0,0.03906,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,29.91,0.0,0.04027,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,30.81,0.0,0.03847,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,32.86,0.0,0.03949,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,32.24,0.0,0.0372,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,30.88,0.0,0.03686,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,30.83,0.0,0.0374,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,33.69,0.0,0.03619,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,34.88,0.0,0.03779,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,35.52,0.0,0.03987,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,38.32,0.0,0.04063,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,43.83,0.0,0.03899,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,54.97,0.0,0.04001,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,50.8,0.0,0.03962,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,61.54,0.0,0.0422,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,51.16,0.0,0.04109,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,51.56,0.0,0.03771,200000,200000.0,0.0,1.0
2020-01-20,2,1.6711537426455403,0.0,53.68,0.0,0.03734,200000,200000.0,0.0,1.0
2020-01-21,2,1.368201602652864,0.0,53.26,0.0,0.03802,200000,200000.0,0.0,1.0
2020-01-22,0,0.9674549824379792,0.0,52.21,0.0,0.03952,200000,200000.0,0.0,1.0
2020-01-23,0,0.8519787970537022,0.0,49.6,0.0,0.03775,200000,200000.0,0.0,1.0
2020-01-24,0,0.5434110512037287,0.0,48.82,0.0,0.03893,200000,200000.0,0.0,1.0
2020-01-25,0,0.338931819322285,0.0,48.72,0.0,0.03989,200000,200000.0,0.0,1.0
2020-01-26,0,0.925669069397035,0.0,53.65,0.0,0.03889,200000,200000.0,0.0,1.0
2020-01-27,0,0.9964206416124628,0.0,55.18,0.0,0.03892,200000,200000.0,0.0,1.0
2020-01-28,2,1.2846575722529348,0.0,56.74,0.0,0.03767,200000,200000.0,0.0,1.0
2020-01-29,2,1.858155186684079,0.0,61.74,0.0,0.03698,200000,200000.0,0.0,1.0
2020-01-30,2,1.893625666325628,0.0,66.3,0.0,0.0383,200000,200000.0,0.0,1.0
2020-01-31,2,1.6418759273174965,0.0,66.51,0.0,0.0389,200000,200000.0,0.0,1.0
2020-02-01,2,1.5602218742576763,0.0,66.03,0.0,0.03862,200000,200000.0,0.0,1.0
2020-02-02,2,1.3877255690203978,0.0,66.36,0.0,0.0394,200000,200000.0,0.0,1.0
2020-02-03,0,0.8165396534300334,0.0,65.52,0.0,0.04111,200000,200000.0,0.0,1.0
2020-02-04,0,0.5786788551304991,0.0,64.34,0.0,0.04117,200000,200000.0,0.0,1.0
2020-02-05,2,1.4271596380315228,0.0,71.19,0.0,0.04095,200000,200000.0,0.0,1.0
2020-02-06,0,0.052957177366827056,0.0,70.14,0.0,0.04684,200000,200000.0,0.0,1.0
2020-02-07,0,-0.20611440730685912,0.0,68.38,0.0,0.04669,200000,200000.0,0.0,1.0
2020-02-08,0,0.32198044555447763,0.0,70.02,0.0,0.04483,200000,200000.0,0.0,1.0
2020-02-09,0,-0.405422394646782,0.0,71.33,0.0,0.04946,200000,200000.0,0.0,1.0
2020-02-10,0,-0.44683436149277495,0.0,69.77,0.0,0.04853,200000,200000.0,0.0,1.0
2020-02-11,0,-0.611013537321054,0.0,72.68,0.0,0.05124,200000,200000.0,0.0,1.0
2020-02-12,0,-0.8979322089851813,0.0,73.12,0.0,0.05301,200000,200000.0,0.0,1.0
2020-02-13,-2,-1.3130868498989492,0.0,72.01,0.0,0.05431,200000,200000.0,0.0,1.0
2020-02-14,-2,-1.3287708886108307,0.0,72.92,0.0,0.05425,200000,200000.0,0.0,1.0
2020-02-15,-2,-1.592332547626638,0.0,64.46,0.0,0.04983,200000,200000.0,0.0,1.0
2020-02-16,-2,-1.4932894156387684,0.0,60.0,0.0,0.0465,200000,200000.0,0.0,1.0
2020-02-17,0,-0.7180477574432168,0.0,64.2,0.0,0.0458,200000,200000.0,0.0,1.0
2020-02-18,0,-0.8146978150478861,0.0,65.74,0.0,0.04787,200000,200000.0,0.0,1.0
2020-02-19,0,-0.07806064124545287,0.0,62.1,0.0,0.04213,200000,200000.0,0.0,1.0
2020-02-20,0,0.06419419623303146,0.0,60.79,0.0,0.04101,200000,200000.0,0.0,1.0
2020-02-21,0,0.020427916258311578,0.0,61.56,0.0,0.04205,200000,200000.0,0.0,1.0
2020-02-22,0,-0.030472937051716085,0.0,60.73,0.0,0.04199,200000,200000.0,0.0,1.0
2020-02-23,0,0.14983757577474852,0.0,63.32,0.0,0.04342,200000,200000.0,0.0,1.0
2020-02-24,0,0.5515401389882085,0.0,60.7,0.0,0.04061,200000,200000.0,0.0,1.0
2020-02-25,1,1.1942926118230792,-1752.541184717841,57.06,2658867.322520606,0.03761,200000,200000.0,0.0,1.0
2020-02-26,2,1.7431464082844912,0.0,51.33,0.0,0.03268,200000,203066.15491159336,3066.1549115933594,1.0153307745579667
2020-02-27,2,1.9699438181037936,0.0,52.96,0.0,0.03278,200000,203066.15491159336,3066.1549115933594,1.0153307745579667
2020-02-28,2,1.425166913934477,0.0,50.83,0.0,0.03242,200000,203066.15491159336,3066.1549115933594,1.0153307745579667
2020-02-29,0,0.8609290182866823,0.0,48.96,0.0,0.03215,200000,203066.15491159336,3066.1549115933594,1.0153307745579667
2020-03-01,0,0.7638174288303626,0.0,49.1,0.0,0.03232,200000,203066.15491159336,3066.1549115933594,1.0153307745579667
2020-03-02,0,0.5363039367740474,0.0,52.33,0.0,0.03483,200000,203066.15491159336,3066.1549115933594,1.0153307745579667
2020-03-03,0,0.3986409532196208,0.0,50.78,0.0,0.03397,200000,203066.15491159336,3066.1549115933594,1.0153307745579667
2020-03-04,0,-0.9712864469368265,0.0,50.17,0.0,0.03653,200000,203066.15491159336,3066.1549115933594,1.0153307745579667
2020-03-05,0,-0.45976348088383806,0.0,51.84,0.0,0.03638,200000,203066.15491159336,3066.1549115933594,1.0153307745579667
2020-03-06,0,-0.47686405764140877,0.0,53.3,0.0,0.03714,200000,203066.15491159336,3066.1549115933594,1.0153307745579667
2020-03-07,0,-0.761707136169553,0.0,50.59,0.0,0.03539,200000,203066.15491159336,3066.1549115933594,1.0153307745579667
2020-03-08,0,-0.8213342306902205,0.0,42.83,0.0,0.02999,200000,203066.15491159336,3066.1549115933594,1.0153307745579667
2020-03-09,0,-0.164705658330659,0.0,42.18,0.0,0.02859,200000,203066.15491159336,3066.1549115933594,1.0153307745579667
2020-03-10,0,-0.800343695433782,0.0,41.4,0.0,0.02883,200000,203066.15491159336,3066.1549115933594,1.0153307745579667
2020-03-11,0,-0.963450040514737,0.0,40.24,0.0,0.0283,200000,203066.15491159336,3066.1549115933594,1.0153307745579667
2020-03-12,2,4.06926340908146,0.0,25.45,0.0,0.01071,200000,203066.15491159336,3066.1549115933594,1.0153307745579667
2020-03-13,2,2.397865885145935,0.0,27.34,0.0,0.01262,200000,203066.15491159336,3066.1549115933594,1.0153307745579667
2020-03-14,2,2.173833913312962,0.0,24.95,0.0,0.01116,200000,203066.15491159336,3066.1549115933594,1.0153307745579667
2020-03-15,2,1.8572573686774478,0.0,25.68,0.0,0.01147,200000,203066.15491159336,3066.1549115933594,1.0153307745579667
