date,statusList,zscore,XMRUSDT_position,XMRUSDT_price,THETAUSDT_position,THETAUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,45.82,0.0,0.08656,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,45.5,0.0,0.08443,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,50.93,0.0,0.08771,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,50.37,0.0,0.09394,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,53.69,0.0,0.09421,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,58.91,0.0,0.09987,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,58.36,0.0,0.09608,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,59.44,0.0,0.09873,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,58.68,0.0,0.09294,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,58.42,0.0,0.09509,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,58.25,0.0,0.09437,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,59.19,0.0,0.09589,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,57.72,0.0,0.09703,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,62.55,0.0,0.10598,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,68.47,0.0,0.10438,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,65.63,0.0,0.10368,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,68.95,0.0,0.11193,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,67.0,0.0,0.10876,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,65.17,0.0,0.1126,200000,200000.0,0.0,1.0
2020-01-20,0,-0.14590992856652912,0.0,64.96,0.0,0.10998,200000,200000.0,0.0,1.0
2020-01-21,0,-0.24150549846218528,0.0,65.87,0.0,0.11136,200000,200000.0,0.0,1.0
