date,statusList,zscore,IOTAUSDT_position,IOTAUSDT_price,XMRUSDT_position,XMRUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,0.1606,0.0,45.82,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,0.1584,0.0,45.5,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,0.1664,0.0,50.93,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,0.1734,0.0,50.37,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,0.1718,0.0,53.69,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,0.1826,0.0,58.91,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,0.1857,0.0,58.36,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,0.1811,0.0,59.44,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,0.177,0.0,58.68,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,0.1902,0.0,58.42,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,0.1918,0.0,58.25,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,0.1913,0.0,59.19,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,0.1884,0.0,57.72,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,0.2105,0.0,62.55,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,0.2335,0.0,68.47,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,0.2279,0.0,65.63,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,0.2383,0.0,68.95,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,0.2461,0.0,67.0,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,0.2462,0.0,65.17,200000,200000.0,0.0,1.0
2020-01-20,2,2.2518536843154373,0.0,0.2523,0.0,64.96,200000,200000.0,0.0,1.0
2020-01-21,2,1.6891910105817127,0.0,0.2503,0.0,65.87,200000,200000.0,0.0,1.0
2020-01-22,2,1.6189992073632746,0.0,0.249,0.0,65.0,200000,200000.0,0.0,1.0
2020-01-23,2,1.3023954515757292,0.0,0.2369,0.0,62.55,200000,200000.0,0.0,1.0
2020-01-24,2,1.3556765359993557,0.0,0.237,0.0,61.67,200000,200000.0,0.0,1.0
2020-01-25,1,1.152418611517769,-426621.1604095563,0.2344,1629.9918500407498,61.35,200000,200000.0,0.0,1.0
2020-01-26,1,1.1075128220269468,-426621.1604095563,0.2457,1629.9918500407498,63.97,200000,209091.39775973477,9091.39775973477,1.0454569887986738
2020-01-27,1,1.0429992667438674,-426621.1604095563,0.2522,1629.9918500407498,65.44,200000,214260.52332195675,14260.523321956745,1.0713026166097837
2020-01-28,2,2.0241707903118407,0.0,0.2863,0.0,67.71,200000,211774.8900589968,11774.890058996796,1.058874450294984
2020-01-29,2,2.1178513255036493,0.0,0.3041,0.0,70.02,200000,211774.8900589968,11774.890058996796,1.058874450294984
2020-01-30,0,0.7306577325791546,0.0,0.294,0.0,74.83,200000,211774.8900589968,11774.890058996796,1.058874450294984
2020-01-31,1,1.106127377304803,-359916.53647008294,0.2942,1467.398074133847,72.16,200000,211774.8900589968,11774.890058996796,1.058874450294984
2020-02-01,2,1.3311277097705756,0.0,0.3059,0.0,73.22,200000,214430.4715771149,14430.471577114891,1.0721523578855745
2020-02-02,1,1.0441575714595888,-347762.68500991707,0.3083,1431.63621028919,74.89,200000,214430.4715771149,14430.471577114891,1.0721523578855745
2020-02-03,2,1.8198826635647558,0.0,0.3363,0.0,76.74,200000,221519.2997683576,21519.299768357596,1.107596498841788
2020-02-04,2,1.7536727903627798,0.0,0.3319,0.0,75.17,200000,221519.2997683576,21519.299768357596,1.107596498841788
2020-02-05,0,0.8785035307594495,0.0,0.3267,0.0,77.84,200000,221519.2997683576,21519.299768357596,1.107596498841788
2020-02-06,0,0.9317865696519381,0.0,0.3309,0.0,78.3,200000,221519.2997683576,21519.299768357596,1.107596498841788
2020-02-07,0,0.041682872434794634,0.0,0.3209,0.0,79.48,200000,221519.2997683576,21519.299768357596,1.107596498841788
