date,statusList,zscore,XLMUSDT_position,XLMUSDT_price,ZRXUSDT_position,ZRXUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,0.04529,0.0,0.1825,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,0.04361,0.0,0.1752,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,0.04566,0.0,0.1821,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,0.04565,0.0,0.1864,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,0.04544,0.0,0.1861,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,0.05046,0.0,0.1958,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,0.04839,0.0,0.1878,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,0.04768,0.0,0.2133,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,0.04718,0.0,0.2058,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,0.04802,0.0,0.2026,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,0.04825,0.0,0.2064,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,0.04905,0.0,0.2182,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,0.04813,0.0,0.2102,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,0.0528,0.0,0.238,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,0.0548,0.0,0.2459,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,0.05367,0.0,0.2474,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,0.06072,0.0,0.2547,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,0.06149,0.0,0.2455,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,0.06004,0.0,0.2312,200000,200000.0,0.0,1.0
2020-01-20,2,2.013585286824826,0.0,0.06274,0.0,0.2316,200000,200000.0,0.0,1.0
2020-01-21,2,1.2084990346620397,0.0,0.06279,0.0,0.2415,200000,200000.0,0.0,1.0
2020-01-22,0,0.7426674062694417,0.0,0.06136,0.0,0.2425,200000,200000.0,0.0,1.0
2020-01-23,0,0.8739166927257098,0.0,0.05833,0.0,0.2283,200000,200000.0,0.0,1.0
2020-01-24,0,0.577698127074004,0.0,0.05714,0.0,0.2275,200000,200000.0,0.0,1.0
2020-01-25,0,0.4815586324406099,0.0,0.05604,0.0,0.2242,200000,200000.0,0.0,1.0
2020-01-26,0,0.7168221782799116,0.0,0.05841,0.0,0.2305,200000,200000.0,0.0,1.0
2020-01-27,0,0.9919942565325026,0.0,0.05971,0.0,0.2316,200000,200000.0,0.0,1.0
2020-01-28,1,1.1447001269095785,-1646903.8208168643,0.06072,431778.9291882556,0.2316,200000,200000.0,0.0,1.0
2020-01-29,2,1.4383357703524502,0.0,0.06083,0.0,0.2255,200000,202815.0108883382,2815.0108883382054,1.014075054441691
2020-01-30,2,1.2697155876506667,0.0,0.0628,0.0,0.2331,200000,202815.0108883382,2815.0108883382054,1.014075054441691
2020-01-31,0,0.9344267192414081,0.0,0.0606,0.0,0.2284,200000,202815.0108883382,2815.0108883382054,1.014075054441691
2020-02-01,1,1.0016930515303129,-1629297.9666479612,0.06224,436912.9920041754,0.2321,200000,202815.0108883382,2815.0108883382054,1.014075054441691
2020-02-02,1,0.7289245752595417,-1629297.9666479612,0.06345,436912.9920041754,0.2395,200000,208019.61756881315,8019.617568813148,1.0400980878440658
2020-02-03,1,1.1214085930008197,-1629297.9666479612,0.0643,436912.9920041754,0.236,200000,207875.32536844927,7875.3253684492665,1.0393766268422464
2020-02-04,1,0.29754974833001974,-1629297.9666479612,0.06634,436912.9920041754,0.2538,200000,218976.14447808545,18976.14447808545,1.0948807223904273
2020-02-05,1,0.8744776961021039,-1629297.9666479612,0.06908,436912.9920041754,0.2579,200000,225231.764173918,25231.764173917996,1.12615882086959
2020-02-06,0,-0.7267676339098879,0.0,0.07113,0.0,0.2783,200000,197114.0895812457,-2885.910418754298,0.9855704479062285
2020-02-07,0,-0.3495088022965008,0.0,0.07188,0.0,0.2776,200000,197114.0895812457,-2885.910418754298,0.9855704479062285
