date,statusList,zscore,HOTUSDT_position,HOTUSDT_price,QTUMUSDT_position,QTUMUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,0.0006275,0.0,1.603,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,0.0006035,0.0,1.533,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,0.0006794,0.0,1.629,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,0.0006796,0.0,1.642,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,0.0006708,0.0,1.631,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,0.000703,0.0,1.747,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,0.0006815,0.0,1.735,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,0.0006721,0.0,1.683,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,0.000671,0.0,1.634,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,0.0006865,0.0,1.734,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,0.00067,0.0,1.74,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,0.0006813,0.0,1.754,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,0.000674,0.0,1.701,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,0.0007056,0.0,1.915,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,0.0007118,0.0,1.974,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,0.0006959,0.0,1.932,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,0.0007304,0.0,2.092,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,0.0007145,0.0,2.035,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,0.0006752,0.0,1.931,200000,200000.0,0.0,1.0
2020-01-20,-2,-1.4116695384621716,0.0,0.0006756,0.0,1.923,200000,200000.0,0.0,1.0
2020-01-21,-2,-1.6146462035056641,0.0,0.0006651,0.0,1.95,200000,200000.0,0.0,1.0
