date,statusList,zscore,XRPUSDT_position,XRPUSDT_price,IOSTUSDT_position,IOSTUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,0.19305,0.0,0.004817,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,0.1875,0.0,0.004605,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,0.19338,0.0,0.004819,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,0.19305,0.0,0.004869,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,0.19453,0.0,0.004916,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,0.2231,0.0,0.00512,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,0.21335,0.0,0.00496,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,0.2075,0.0,0.004716,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,0.20373,0.0,0.004766,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,0.21284,0.0,0.005095,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,0.21121,0.0,0.004983,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,0.21539,0.0,0.005361,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,0.21134,0.0,0.005108,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,0.23464,0.0,0.005758,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,0.23367,0.0,0.005815,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,0.229,0.0,0.005884,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,0.23921,0.0,0.006125,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,0.24357,0.0,0.005849,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,0.23558,0.0,0.005483,200000,200000.0,0.0,1.0
2020-01-20,2,1.3476781032536391,0.0,0.23314,0.0,0.005363,200000,200000.0,0.0,1.0
2020-01-21,2,1.4132449749617646,0.0,0.23726,0.0,0.005409,200000,200000.0,0.0,1.0
2020-01-22,1,1.057238128661313,-421354.2325032655,0.23733,18308311.97363603,0.005462,200000,200000.0,0.0,1.0
2020-01-23,1,0.6921867416689302,-421354.2325032655,0.22586,18308311.97363603,0.005258,200000,191432.17131056578,-8567.828689434216,0.9571608565528289
2020-01-24,1,0.5092780205417934,-421354.2325032655,0.22222,18308311.97363603,0.005196,200000,188763.32656188848,-11236.673438111524,0.9438166328094424
2020-01-25,0,0.10070485569401014,0.0,0.21946,0.0,0.005198,200000,197303.79422620655,-2696.205773793452,0.9865189711310327
2020-01-26,0,0.6116137547211442,0.0,0.23131,0.0,0.005384,200000,197303.79422620655,-2696.205773793452,0.9865189711310327
2020-01-27,0,0.33596719177224293,0.0,0.23077,0.0,0.005428,200000,197303.79422620655,-2696.205773793452,0.9865189711310327
2020-01-28,0,0.11703906742111755,0.0,0.23906,0.0,0.005681,200000,197303.79422620655,-2696.205773793452,0.9865189711310327
2020-01-29,0,0.07516673677304915,0.0,0.23539,0.0,0.005607,200000,197303.79422620655,-2696.205773793452,0.9865189711310327
2020-01-30,1,1.073968095539626,-404709.1282946475,0.24376,17619556.54815204,0.005599,200000,197303.79422620655,-2696.205773793452,0.9865189711310327
2020-01-31,0,0.1703528152248341,0.0,0.23946,0.0,0.005674,200000,194242.07823342812,-5757.921766571875,0.9712103911671406
2020-02-01,0,-0.8514988542057049,0.0,0.24141,0.0,0.005922,200000,194242.07823342812,-5757.921766571875,0.9712103911671406
2020-02-02,0,-0.5373096624942622,0.0,0.25093,0.0,0.00609,200000,194242.07823342812,-5757.921766571875,0.9712103911671406
2020-02-03,0,-0.3391981536566397,0.0,0.25453,0.0,0.006128,200000,194242.07823342812,-5757.921766571875,0.9712103911671406
2020-02-04,-2,-1.306206489853328,0.0,0.26737,0.0,0.006656,200000,194242.07823342812,-5757.921766571875,0.9712103911671406
2020-02-05,0,-0.4720824575087662,0.0,0.27774,0.0,0.006681,200000,194242.07823342812,-5757.921766571875,0.9712103911671406
2020-02-06,-2,-2.1052478855307966,0.0,0.28325,0.0,0.007113,200000,194242.07823342812,-5757.921766571875,0.9712103911671406
2020-02-07,-2,-2.623807971821984,0.0,0.27953,0.0,0.007299,200000,194242.07823342812,-5757.921766571875,0.9712103911671406
2020-02-08,-2,-1.7223249041427822,0.0,0.27735,0.0,0.007077,200000,194242.07823342812,-5757.921766571875,0.9712103911671406
