date,statusList,zscore,TRXUSDT_position,TRXUSDT_price,ONGUSDT_position,ONGUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,0.01322,0.0,0.0956,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,0.01284,0.0,0.095,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,0.01344,0.0,0.0995,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,0.01344,0.0,0.0981,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,0.01353,0.0,0.0998,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,0.01472,0.0,0.1024,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,0.01434,0.0,0.0997,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,0.01402,0.0,0.1016,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,0.01398,0.0,0.0991,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,0.01469,0.0,0.0996,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,0.0146,0.0,0.1039,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,0.01503,0.0,0.105,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,0.01464,0.0,0.1027,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,0.01677,0.0,0.1132,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,0.01729,0.0,0.1149,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,0.01734,0.0,0.1116,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,0.01758,0.0,0.1156,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,0.01766,0.0,0.1128,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,0.01665,0.0,0.1069,200000,200000.0,0.0,1.0
2020-01-20,2,1.8406270976472576,0.0,0.01661,0.0,0.1043,200000,200000.0,0.0,1.0
2020-01-21,2,1.9680315515351041,0.0,0.01732,0.0,0.1062,200000,200000.0,0.0,1.0
2020-01-22,2,1.713030735097794,0.0,0.01743,0.0,0.107,200000,200000.0,0.0,1.0
2020-01-23,0,0.17209458245621426,0.0,0.01628,0.0,0.1087,200000,200000.0,0.0,1.0
2020-01-24,0,0.9999936513240244,0.0,0.01639,0.0,0.104,200000,200000.0,0.0,1.0
2020-01-25,0,0.6767158970515628,0.0,0.01613,0.0,0.1037,200000,200000.0,0.0,1.0
2020-01-26,1,1.1066177818732499,-5938242.280285035,0.01684,948766.6034155599,0.1054,200000,200000.0,0.0,1.0
2020-01-27,2,1.2403119300052152,0.0,0.01713,0.0,0.1058,200000,201342.5836199164,1342.5836199164041,1.006712918099582
2020-01-28,2,2.1490920403939437,0.0,0.0186,0.0,0.1083,200000,201342.5836199164,1342.5836199164041,1.006712918099582
2020-01-29,0,0.818461589220793,0.0,0.01866,0.0,0.1157,200000,201342.5836199164,1342.5836199164041,1.006712918099582
2020-01-30,0,0.19757725630816808,0.0,0.0195,0.0,0.1244,200000,201342.5836199164,1342.5836199164041,1.006712918099582
2020-01-31,-2,-2.673466035905984,0.0,0.01867,0.0,0.1429,200000,201342.5836199164,1342.5836199164041,1.006712918099582
2020-02-01,-2,-1.9248407135585002,0.0,0.01907,0.0,0.1404,200000,201342.5836199164,1342.5836199164041,1.006712918099582
2020-02-02,-2,-1.8878907765916682,0.0,0.01909,0.0,0.1419,200000,201342.5836199164,1342.5836199164041,1.006712918099582
2020-02-03,-2,-1.7719729368572872,0.0,0.0192,0.0,0.144,200000,201342.5836199164,1342.5836199164041,1.006712918099582
2020-02-04,-2,-2.0422543827707798,0.0,0.01925,0.0,0.1529,200000,201342.5836199164,1342.5836199164041,1.006712918099582
2020-02-05,-2,-1.4527501247466867,0.0,0.02076,0.0,0.1584,200000,201342.5836199164,1342.5836199164041,1.006712918099582
2020-02-06,0,-0.661078497594729,0.0,0.02271,0.0,0.1609,200000,201342.5836199164,1342.5836199164041,1.006712918099582
2020-02-07,0,-0.9065997167908478,0.0,0.02204,0.0,0.1614,200000,201342.5836199164,1342.5836199164041,1.006712918099582
2020-02-08,0,-0.6519247118564248,0.0,0.02179,0.0,0.1565,200000,201342.5836199164,1342.5836199164041,1.006712918099582
2020-02-09,0,-0.7926073612149712,0.0,0.02206,0.0,0.1621,200000,201342.5836199164,1342.5836199164041,1.006712918099582
2020-02-10,0,-0.2848713533957203,0.0,0.02216,0.0,0.1557,200000,201342.5836199164,1342.5836199164041,1.006712918099582
2020-02-11,0,-0.2867744699010987,0.0,0.02272,0.0,0.1607,200000,201342.5836199164,1342.5836199164041,1.006712918099582
2020-02-12,0,-0.8949947338133571,0.0,0.02393,0.0,0.1808,200000,201342.5836199164,1342.5836199164041,1.006712918099582
2020-02-13,-2,-1.4401667660126498,0.0,0.02391,0.0,0.1948,200000,201342.5836199164,1342.5836199164041,1.006712918099582
2020-02-14,-2,-1.2120811941950196,0.0,0.02639,0.0,0.2128,200000,201342.5836199164,1342.5836199164041,1.006712918099582
2020-02-15,-2,-1.8991451765484824,0.0,0.02364,0.0,0.2142,200000,201342.5836199164,1342.5836199164041,1.006712918099582
2020-02-16,-2,-1.3368564010833495,0.0,0.02223,0.0,0.1902,200000,201342.5836199164,1342.5836199164041,1.006712918099582
2020-02-17,-1,-1.1007503188161512,4620068.463054529,0.02179,-555274.6376721357,0.1813,200000,201342.5836199164,1342.5836199164041,1.006712918099582
2020-02-18,-1,-0.7149282791541579,4620068.463054529,0.02262,-555274.6376721357,0.182,200000,205565.93269062217,5565.932690622169,1.0278296634531108
2020-02-19,-1,-1.0179758131583905,4620068.463054529,0.0202,-555274.6376721357,0.1671,200000,186111.7749087154,-13888.225091284607,0.930558874543577
2020-02-20,-1,-0.8666859232816254,4620068.463054529,0.0198,-555274.6376721357,0.1628,200000,181876.06658150337,-18123.93341849663,0.9093803329075169
2020-02-21,-1,-0.9945362830068478,4620068.463054529,0.02016,-555274.6376721357,0.1687,200000,186815.4115904686,-13184.588409531396,0.934077057952343
2020-02-22,-1,-0.33971947667061664,4620068.463054529,0.02002,-555274.6376721357,0.16,200000,181337.7126578934,-18662.287342106603,0.906688563289467
2020-02-23,0,-0.10594378430970938,0.0,0.02133,0.0,0.168,200000,196082.6624318821,-3917.3375681178877,0.9804133121594105
2020-02-24,0,-0.04567888180682582,0.0,0.01988,0.0,0.1558,200000,196082.6624318821,-3917.3375681178877,0.9804133121594105
2020-02-25,0,0.5703818110817024,0.0,0.01891,0.0,0.1418,200000,196082.6624318821,-3917.3375681178877,0.9804133121594105
2020-02-26,0,0.8486102505283294,0.0,0.01636,0.0,0.1209,200000,196082.6624318821,-3917.3375681178877,0.9804133121594105
2020-02-27,0,0.4709937800132381,0.0,0.01701,0.0,0.1292,200000,196082.6624318821,-3917.3375681178877,0.9804133121594105
2020-02-28,0,0.5942980598230309,0.0,0.0171,0.0,0.1294,200000,196082.6624318821,-3917.3375681178877,0.9804133121594105
2020-02-29,0,0.5475513090775468,0.0,0.01648,0.0,0.1254,200000,196082.6624318821,-3917.3375681178877,0.9804133121594105
2020-03-01,0,0.270813868822954,0.0,0.01643,0.0,0.1281,200000,196082.6624318821,-3917.3375681178877,0.9804133121594105
2020-03-02,0,0.7126441546184217,0.0,0.01759,0.0,0.135,200000,196082.6624318821,-3917.3375681178877,0.9804133121594105
2020-03-03,0,0.7886109836011949,0.0,0.01723,0.0,0.1319,200000,196082.6624318821,-3917.3375681178877,0.9804133121594105
2020-03-04,2,1.404974472712182,0.0,0.01774,0.0,0.1308,200000,196082.6624318821,-3917.3375681178877,0.9804133121594105
2020-03-05,0,0.8571897518621525,0.0,0.01789,0.0,0.135,200000,196082.6624318821,-3917.3375681178877,0.9804133121594105
2020-03-06,2,1.2577524128554258,0.0,0.01833,0.0,0.1355,200000,196082.6624318821,-3917.3375681178877,0.9804133121594105
2020-03-07,0,0.7528439816125893,0.0,0.01699,0.0,0.128,200000,196082.6624318821,-3917.3375681178877,0.9804133121594105
2020-03-08,0,0.5122323331755054,0.0,0.01465,0.0,0.1111,200000,196082.6624318821,-3917.3375681178877,0.9804133121594105
2020-03-09,0,0.3453455120875013,0.0,0.01504,0.0,0.1145,200000,196082.6624318821,-3917.3375681178877,0.9804133121594105
2020-03-10,0,0.2371255788048657,0.0,0.01508,0.0,0.1149,200000,196082.6624318821,-3917.3375681178877,0.9804133121594105
2020-03-11,0,0.9645918294890495,0.0,0.01489,0.0,0.1106,200000,196082.6624318821,-3917.3375681178877,0.9804133121594105
2020-03-12,2,3.6090584818207736,0.0,0.00841,0.0,0.0554,200000,196082.6624318821,-3917.3375681178877,0.9804133121594105
2020-03-13,2,3.5414858579568262,0.0,0.01029,0.0,0.0616,200000,196082.6624318821,-3917.3375681178877,0.9804133121594105
