date,statusList,zscore,EOSUSDT_position,EOSUSDT_price,NEOUSDT_position,NEOUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,2.6039,0.0,8.85,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,2.4593,0.0,8.462,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,2.6396,0.0,8.888,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,2.6481,0.0,9.077,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,2.6865,0.0,9.02,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,2.8506,0.0,9.757,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,2.8459,0.0,9.801,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,2.7751,0.0,9.448,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,2.7432,0.0,9.387,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,2.9866,0.0,9.862,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,2.9901,0.0,9.696,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,3.2107,0.0,10.271,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,3.1049,0.0,10.0,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,3.81,0.0,11.204,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,3.7675,0.0,11.412,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,3.8376,0.0,11.271,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,3.9038,0.0,11.848,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,3.8049,0.0,11.876,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,3.6115,0.0,11.245,200000,200000.0,0.0,1.0
2020-01-20,0,0.9602516771686803,0.0,3.62,0.0,11.114,200000,200000.0,0.0,1.0
2020-01-21,0,0.8511609268216802,0.0,3.6527,0.0,11.226,200000,200000.0,0.0,1.0
2020-01-22,0,0.7406740234683724,0.0,3.654,0.0,11.247,200000,200000.0,0.0,1.0
2020-01-23,2,1.26315605576142,0.0,3.5706,0.0,10.621,200000,200000.0,0.0,1.0
2020-01-24,2,1.6146685872517705,0.0,3.6345,0.0,10.511,200000,200000.0,0.0,1.0
2020-01-25,1,1.064471882307125,-28587.76443682104,3.498,9661.835748792271,10.35,200000,200000.0,0.0,1.0
2020-01-26,1,0.9720783412690189,-28587.76443682104,3.6486,9661.835748792271,10.797,200000,208624.15790389542,8624.157903895422,1.0431207895194772
2020-01-27,2,1.91051705081835,0.0,3.9647,0.0,11.082,200000,206269.44589454844,6269.445894548437,1.0313472294727422
2020-01-28,2,1.6417274840514091,0.0,4.0412,0.0,11.36,200000,206269.44589454844,6269.445894548437,1.0313472294727422
2020-01-29,2,1.474525920284741,0.0,3.9674,0.0,11.201,200000,206269.44589454844,6269.445894548437,1.0313472294727422
2020-01-30,2,2.0795430313746843,0.0,4.3236,0.0,11.735,200000,206269.44589454844,6269.445894548437,1.0313472294727422
2020-01-31,2,1.52434313538618,0.0,4.1444,0.0,11.453,200000,206269.44589454844,6269.445894548437,1.0313472294727422
2020-02-01,2,1.4753044128900514,0.0,4.1531,0.0,11.422,200000,206269.44589454844,6269.445894548437,1.0313472294727422
2020-02-02,0,0.6186951699872933,0.0,4.2145,0.0,12.016,200000,206269.44589454844,6269.445894548437,1.0313472294727422
2020-02-03,0,0.7610448360295148,0.0,4.2027,0.0,11.88,200000,206269.44589454844,6269.445894548437,1.0313472294727422
2020-02-04,0,0.2961859003131797,0.0,4.2306,0.0,12.177,200000,206269.44589454844,6269.445894548437,1.0313472294727422
2020-02-05,0,0.7281508121258855,0.0,4.5284,0.0,12.762,200000,206269.44589454844,6269.445894548437,1.0313472294727422
2020-02-06,0,0.7546238749832772,0.0,4.6038,0.0,12.914,200000,206269.44589454844,6269.445894548437,1.0313472294727422
2020-02-07,0,0.8273421699312938,0.0,4.5898,0.0,12.792,200000,206269.44589454844,6269.445894548437,1.0313472294727422
2020-02-08,2,1.79085892487531,0.0,4.762,0.0,12.688,200000,206269.44589454844,6269.445894548437,1.0313472294727422
2020-02-09,0,0.14180912488288946,0.0,5.0111,0.0,14.201,200000,206269.44589454844,6269.445894548437,1.0313472294727422
2020-02-10,0,0.7296185104537425,0.0,4.8986,0.0,13.551,200000,206269.44589454844,6269.445894548437,1.0313472294727422
2020-02-11,2,2.148683595958929,0.0,5.2449,0.0,13.791,200000,206269.44589454844,6269.445894548437,1.0313472294727422
2020-02-12,0,0.2736806473073634,0.0,5.3307,0.0,14.822,200000,206269.44589454844,6269.445894548437,1.0313472294727422
2020-02-13,0,-0.30209189066765246,0.0,5.3607,0.0,15.141,200000,206269.44589454844,6269.445894548437,1.0313472294727422
2020-02-14,-2,-2.7826635797554578,0.0,5.3747,0.0,16.676,200000,206269.44589454844,6269.445894548437,1.0313472294727422
2020-02-15,-2,-2.761969502649164,0.0,4.7429,0.0,15.127,200000,206269.44589454844,6269.445894548437,1.0313472294727422
2020-02-16,-2,-2.7008213679527286,0.0,4.3812,0.0,14.625,200000,206269.44589454844,6269.445894548437,1.0313472294727422
2020-02-17,-2,-2.4745199852312187,0.0,4.3521,0.0,15.027,200000,206269.44589454844,6269.445894548437,1.0313472294727422
2020-02-18,-2,-1.8912275389788276,0.0,4.5793,0.0,15.5,200000,206269.44589454844,6269.445894548437,1.0313472294727422
2020-02-19,-2,-1.9801623768202357,0.0,3.9752,0.0,14.043,200000,206269.44589454844,6269.445894548437,1.0313472294727422
2020-02-20,-2,-1.6682074498036448,0.0,3.9963,0.0,14.03,200000,206269.44589454844,6269.445894548437,1.0313472294727422
2020-02-21,-2,-1.369350140011214,0.0,4.0509,0.0,14.017,200000,206269.44589454844,6269.445894548437,1.0313472294727422
2020-02-22,0,-0.9721108002674328,0.0,4.1004,0.0,13.72,200000,206269.44589454844,6269.445894548437,1.0313472294727422
2020-02-23,0,-0.6808233437376511,0.0,4.3778,0.0,14.294,200000,206269.44589454844,6269.445894548437,1.0313472294727422
2020-02-24,0,-0.5559856624332575,0.0,4.1221,0.0,13.361,200000,206269.44589454844,6269.445894548437,1.0313472294727422
2020-02-25,0,0.09340833075234482,0.0,4.0778,0.0,12.393,200000,206269.44589454844,6269.445894548437,1.0313472294727422
2020-02-26,0,-0.09539418982830758,0.0,3.5344,0.0,11.007,200000,206269.44589454844,6269.445894548437,1.0313472294727422
2020-02-27,0,-0.24297960313120698,0.0,3.6183,0.0,11.51,200000,206269.44589454844,6269.445894548437,1.0313472294727422
2020-02-28,0,-0.2818484639431083,0.0,3.5136,0.0,11.311,200000,206269.44589454844,6269.445894548437,1.0313472294727422
2020-02-29,0,-0.02600732740149657,0.0,3.5105,0.0,11.103,200000,206269.44589454844,6269.445894548437,1.0313472294727422
2020-03-01,0,-0.16469603967524085,0.0,3.5075,0.0,11.31,200000,206269.44589454844,6269.445894548437,1.0313472294727422
2020-03-02,0,-0.17184425584638557,0.0,3.7133,0.0,12.088,200000,206269.44589454844,6269.445894548437,1.0313472294727422
2020-03-03,0,0.31043975576280736,0.0,3.6233,0.0,11.556,200000,206269.44589454844,6269.445894548437,1.0313472294727422
2020-03-04,0,-0.036331564194862165,0.0,3.5908,0.0,11.755,200000,206269.44589454844,6269.445894548437,1.0313472294727422
2020-03-05,0,0.5103502990029056,0.0,3.7626,0.0,12.073,200000,206269.44589454844,6269.445894548437,1.0313472294727422
2020-03-06,0,0.37810041848928766,0.0,3.8345,0.0,12.377,200000,206269.44589454844,6269.445894548437,1.0313472294727422
2020-03-07,0,0.6723847415805689,0.0,3.6409,0.0,11.589,200000,206269.44589454844,6269.445894548437,1.0313472294727422
2020-03-08,0,-0.32370278167201233,0.0,3.0435,0.0,10.05,200000,206269.44589454844,6269.445894548437,1.0313472294727422
2020-03-09,0,0.16370360387545582,0.0,3.0612,0.0,9.902,200000,206269.44589454844,6269.445894548437,1.0313472294727422
2020-03-10,0,0.2676394203212332,0.0,3.0729,0.0,9.87,200000,206269.44589454844,6269.445894548437,1.0313472294727422
2020-03-11,2,1.6462348104630882,0.0,3.0661,0.0,9.43,200000,206269.44589454844,6269.445894548437,1.0313472294727422
2020-03-12,0,-0.3240156617932435,0.0,1.7656,0.0,5.706,200000,206269.44589454844,6269.445894548437,1.0313472294727422
2020-03-13,2,2.9024015744021443,0.0,2.11,0.0,6.216,200000,206269.44589454844,6269.445894548437,1.0313472294727422
2020-03-14,2,2.3813293871294072,0.0,1.958,0.0,5.752,200000,206269.44589454844,6269.445894548437,1.0313472294727422
2020-03-15,2,2.090774638216208,0.0,2.0447,0.0,5.979,200000,206269.44589454844,6269.445894548437,1.0313472294727422
2020-03-16,2,2.3633154970179744,0.0,1.8937,0.0,5.394,200000,206269.44589454844,6269.445894548437,1.0313472294727422
2020-03-17,2,1.9366821333821471,0.0,1.9684,0.0,5.626,200000,206269.44589454844,6269.445894548437,1.0313472294727422
