date,statusList,zscore,FETUSDT_position,FETUSDT_price,ONGUSDT_position,ONGUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,0.03832,0.0,0.0956,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,0.03642,0.0,0.095,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,0.03906,0.0,0.0995,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,0.04027,0.0,0.0981,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,0.03847,0.0,0.0998,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,0.03949,0.0,0.1024,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,0.0372,0.0,0.0997,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,0.03686,0.0,0.1016,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,0.0374,0.0,0.0991,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,0.03619,0.0,0.0996,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,0.03779,0.0,0.1039,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,0.03987,0.0,0.105,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,0.04063,0.0,0.1027,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,0.03899,0.0,0.1132,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,0.04001,0.0,0.1149,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,0.03962,0.0,0.1116,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,0.0422,0.0,0.1156,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,0.04109,0.0,0.1128,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,0.03771,0.0,0.1069,200000,200000.0,0.0,1.0
2020-01-20,0,-0.8237456840691278,0.0,0.03734,0.0,0.1043,200000,200000.0,0.0,1.0
2020-01-21,0,-0.7449291110487369,0.0,0.03802,0.0,0.1062,200000,200000.0,0.0,1.0
2020-01-22,0,-0.052766618498579,0.0,0.03952,0.0,0.107,200000,200000.0,0.0,1.0
2020-01-23,-2,-1.2160832825813483,0.0,0.03775,0.0,0.1087,200000,200000.0,0.0,1.0
2020-01-24,0,0.5861714131939789,0.0,0.03893,0.0,0.104,200000,200000.0,0.0,1.0
2020-01-25,2,1.3383704185905834,0.0,0.03989,0.0,0.1037,200000,200000.0,0.0,1.0
2020-01-26,0,0.28047729297560786,0.0,0.03889,0.0,0.1054,200000,200000.0,0.0,1.0
2020-01-27,0,0.2175213116812532,0.0,0.03892,0.0,0.1058,200000,200000.0,0.0,1.0
2020-01-28,-2,-1.216465134201963,0.0,0.03767,0.0,0.1083,200000,200000.0,0.0,1.0
2020-01-29,-2,-2.541205377488108,0.0,0.03698,0.0,0.1157,200000,200000.0,0.0,1.0
2020-01-30,-2,-2.4977985362628004,0.0,0.0383,0.0,0.1244,200000,200000.0,0.0,1.0
2020-01-31,-2,-2.9256177782282338,0.0,0.0389,0.0,0.1429,200000,200000.0,0.0,1.0
2020-02-01,-2,-2.2789261165483348,0.0,0.03862,0.0,0.1404,200000,200000.0,0.0,1.0
2020-02-02,-2,-1.9145921995119897,0.0,0.0394,0.0,0.1419,200000,200000.0,0.0,1.0
2020-02-03,-2,-1.4962217776222468,0.0,0.04111,0.0,0.144,200000,200000.0,0.0,1.0
2020-02-04,-2,-1.6853097849488055,0.0,0.04117,0.0,0.1529,200000,200000.0,0.0,1.0
2020-02-05,-2,-1.6933591578210465,0.0,0.04095,0.0,0.1584,200000,200000.0,0.0,1.0
2020-02-06,0,-0.8456770178605026,0.0,0.04684,0.0,0.1609,200000,200000.0,0.0,1.0
