date,statusList,zscore,HOTUSDT_position,HOTUSDT_price,XRPUSDT_position,XRPUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,0.0006275,0.0,0.19305,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,0.0006035,0.0,0.1875,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,0.0006794,0.0,0.19338,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,0.0006796,0.0,0.19305,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,0.0006708,0.0,0.19453,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,0.000703,0.0,0.2231,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,0.0006815,0.0,0.21335,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,0.0006721,0.0,0.2075,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,0.000671,0.0,0.20373,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,0.0006865,0.0,0.21284,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,0.00067,0.0,0.21121,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,0.0006813,0.0,0.21539,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,0.000674,0.0,0.21134,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,0.0007056,0.0,0.23464,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,0.0007118,0.0,0.23367,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,0.0006959,0.0,0.229,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,0.0007304,0.0,0.23921,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,0.0007145,0.0,0.24357,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,0.0006752,0.0,0.23558,200000,200000.0,0.0,1.0
2020-01-20,-2,-1.481576569439575,0.0,0.0006756,0.0,0.23314,200000,200000.0,0.0,1.0
2020-01-21,-2,-1.7213366887848307,0.0,0.0006651,0.0,0.23726,200000,200000.0,0.0,1.0
2020-01-22,-2,-1.4587726582206904,0.0,0.0006688,0.0,0.23733,200000,200000.0,0.0,1.0
2020-01-23,-2,-1.4149230308717855,0.0,0.0006333,0.0,0.22586,200000,200000.0,0.0,1.0
2020-01-24,-1,-1.1077284859762941,157579577.6867318,0.0006346,-450004.50004500046,0.22222,200000,200000.0,0.0,1.0
2020-01-25,-1,-1.1947145895364082,157579577.6867318,0.000621,-450004.50004500046,0.21946,200000,196614.90532333625,-3385.09467666375,0.9830745266166813
2020-01-26,-2,-1.5058935359180645,0.0,0.0006347,0.0,0.23131,200000,204074.7829476404,4074.7829476404004,1.020373914738202
2020-01-27,0,-0.9419913639953541,0.0,0.0006521,0.0,0.23077,200000,204074.7829476404,4074.7829476404004,1.020373914738202
2020-01-28,-2,-1.4469634861785823,0.0,0.000648,0.0,0.23906,200000,204074.7829476404,4074.7829476404004,1.020373914738202
2020-01-29,-1,-1.011459647922015,156235479.21270892,0.0006531,-433482.2697388173,0.23539,200000,204074.7829476404,4074.7829476404004,1.020373914738202
2020-01-30,-2,-1.7936172994232962,0.0,0.000638,0.0,0.24376,200000,210062.18528146617,10062.185281466169,1.050310926407331
2020-01-31,-2,-1.4925408609969057,0.0,0.0006329,0.0,0.23946,200000,210062.18528146617,10062.185281466169,1.050310926407331
2020-02-01,-2,-1.2248085105204167,0.0,0.0006448,0.0,0.24141,200000,210062.18528146617,10062.185281466169,1.050310926407331
2020-02-02,-1,-1.1390057740491104,156319530.6455322,0.0006719,-418567.3002061654,0.25093,200000,210062.18528146617,10062.185281466169,1.050310926407331
2020-02-03,-2,-1.531128183330626,0.0,0.0006619,0.0,0.25453,200000,213132.2228686637,13132.222868663695,1.0656611143433186
2020-02-04,-2,-1.4183278879832242,0.0,0.000695,0.0,0.26737,200000,213132.2228686637,13132.222868663695,1.0656611143433186
