date,statusList,zscore,HOTUSDT_position,HOTUSDT_price,CELRUSDT_position,CELRUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,0.0006275,0.0,0.00362,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,0.0006035,0.0,0.0034,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,0.0006794,0.0,0.00355,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,0.0006796,0.0,0.00355,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,0.0006708,0.0,0.00349,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,0.000703,0.0,0.00356,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,0.0006815,0.0,0.00347,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,0.0006721,0.0,0.00339,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,0.000671,0.0,0.00332,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,0.0006865,0.0,0.00327,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,0.00067,0.0,0.00333,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,0.0006813,0.0,0.00346,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,0.000674,0.0,0.00352,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,0.0007056,0.0,0.00344,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,0.0007118,0.0,0.00359,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,0.0006959,0.0,0.00351,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,0.0007304,0.0,0.00366,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,0.0007145,0.0,0.00367,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,0.0006752,0.0,0.00337,200000,200000.0,0.0,1.0
2020-01-20,1,1.140877586098844,-148016577.85671994,0.0006756,30487804.87804878,0.00328,200000,200000.0,0.0,1.0
2020-01-21,1,0.6706430291260448,-148016577.85671994,0.0006651,30487804.87804878,0.00329,200000,198750.70398128493,-1249.2960187150748,0.9937535199064246
2020-01-22,1,0.7578140930192255,-148016577.85671994,0.0006688,30487804.87804878,0.0033,200000,199603.24336813527,-396.75663186472957,0.9980162168406763
