date,statusList,zscore,LTCUSDT_position,LTCUSDT_price,HOTUSDT_position,HOTUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,41.62,0.0,0.0006275,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,39.43,0.0,0.0006035,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,42.23,0.0,0.0006794,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,42.78,0.0,0.0006796,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,43.3,0.0,0.0006708,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,45.8,0.0,0.000703,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,46.3,0.0,0.0006815,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,45.35,0.0,0.0006721,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,44.74,0.0,0.000671,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,49.06,0.0,0.0006865,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,49.3,0.0,0.00067,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,51.43,0.0,0.0006813,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,49.6,0.0,0.000674,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,58.39,0.0,0.0007056,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,58.16,0.0,0.0007118,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,57.56,0.0,0.0006959,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,61.02,0.0,0.0007304,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,59.32,0.0,0.0007145,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,57.6,0.0,0.0006752,200000,200000.0,0.0,1.0
2020-01-20,2,1.358292899803213,0.0,57.19,0.0,0.0006756,200000,200000.0,0.0,1.0
2020-01-21,2,1.4103165770582051,0.0,57.57,0.0,0.0006651,200000,200000.0,0.0,1.0
2020-01-22,2,1.33174586098653,0.0,58.33,0.0,0.0006688,200000,200000.0,0.0,1.0
2020-01-23,1,1.1035083384731834,-1834.189288334556,54.52,157903047.5288173,0.0006333,200000,200000.0,0.0,1.0
2020-01-24,1,0.9711219426951686,-1834.189288334556,54.38,157903047.5288173,0.0006346,200000,199948.48746142062,-51.51253857937991,0.9997424373071031
2020-01-25,1,0.8967171504158655,-1834.189288334556,53.25,157903047.5288173,0.000621,200000,195728.37211921066,-4271.6278807893395,0.9786418605960533
2020-01-26,1,1.178204454721303,-1834.189288334556,56.24,157903047.5288173,0.0006347,200000,203375.86984247575,3375.869842475746,1.0168793492123787
2020-01-27,2,1.235213190874481,0.0,58.55,0.0,0.0006521,200000,204423.2055384465,4423.205538446491,1.0221160276922325
