date,statusList,zscore,ZECUSDT_position,ZECUSDT_price,IOTAUSDT_position,IOTAUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,28.07,0.0,0.1606,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,27.02,0.0,0.1584,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,28.41,0.0,0.1664,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,29.91,0.0,0.1734,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,30.81,0.0,0.1718,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,32.86,0.0,0.1826,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,32.24,0.0,0.1857,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,30.88,0.0,0.1811,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,30.83,0.0,0.177,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,33.69,0.0,0.1902,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,34.88,0.0,0.1918,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,35.52,0.0,0.1913,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,38.32,0.0,0.1884,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,43.83,0.0,0.2105,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,54.97,0.0,0.2335,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,50.8,0.0,0.2279,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,61.54,0.0,0.2383,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,51.16,0.0,0.2461,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,51.56,0.0,0.2462,200000,200000.0,0.0,1.0
2020-01-20,0,0.7701601231133112,0.0,53.68,0.0,0.2523,200000,200000.0,0.0,1.0
2020-01-21,0,0.6966258578290043,0.0,53.26,0.0,0.2503,200000,200000.0,0.0,1.0
2020-01-22,0,0.5047513597515568,0.0,52.21,0.0,0.249,200000,200000.0,0.0,1.0
2020-01-23,0,0.42537373545592355,0.0,49.6,0.0,0.2369,200000,200000.0,0.0,1.0
2020-01-24,0,0.22067384805308754,0.0,48.82,0.0,0.237,200000,200000.0,0.0,1.0
2020-01-25,0,0.24514272820029961,0.0,48.72,0.0,0.2344,200000,200000.0,0.0,1.0
2020-01-26,0,0.6380204243594383,0.0,53.65,0.0,0.2457,200000,200000.0,0.0,1.0
2020-01-27,0,0.5823054611618836,0.0,55.18,0.0,0.2522,200000,200000.0,0.0,1.0
2020-01-28,0,-0.5002796267810989,0.0,56.74,0.0,0.2863,200000,200000.0,0.0,1.0
2020-01-29,0,-0.35519246035670665,0.0,61.74,0.0,0.3041,200000,200000.0,0.0,1.0
2020-01-30,0,0.8367634415617096,0.0,66.3,0.0,0.294,200000,200000.0,0.0,1.0
2020-01-31,0,0.8003595773062088,0.0,66.51,0.0,0.2942,200000,200000.0,0.0,1.0
2020-02-01,0,0.027183182752247577,0.0,66.03,0.0,0.3059,200000,200000.0,0.0,1.0
2020-02-02,0,-0.06286068537467074,0.0,66.36,0.0,0.3083,200000,200000.0,0.0,1.0
2020-02-03,-2,-1.470441076249553,0.0,65.52,0.0,0.3363,200000,200000.0,0.0,1.0
2020-02-04,-2,-1.3955947990294786,0.0,64.34,0.0,0.3319,200000,200000.0,0.0,1.0
