date,statusList,zscore,IOSTUSDT_position,IOSTUSDT_price,XRPUSDT_position,XRPUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,0.004817,0.0,0.19305,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,0.004605,0.0,0.1875,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,0.004819,0.0,0.19338,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,0.004869,0.0,0.19305,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,0.004916,0.0,0.19453,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,0.00512,0.0,0.2231,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,0.00496,0.0,0.21335,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,0.004716,0.0,0.2075,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,0.004766,0.0,0.20373,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,0.005095,0.0,0.21284,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,0.004983,0.0,0.21121,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,0.005361,0.0,0.21539,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,0.005108,0.0,0.21134,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,0.005758,0.0,0.23464,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,0.005815,0.0,0.23367,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,0.005884,0.0,0.229,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,0.006125,0.0,0.23921,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,0.005849,0.0,0.24357,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,0.005483,0.0,0.23558,200000,200000.0,0.0,1.0
2020-01-20,-2,-1.3222742018961617,0.0,0.005363,0.0,0.23314,200000,200000.0,0.0,1.0
2020-01-21,-2,-1.3722007244830645,0.0,0.005409,0.0,0.23726,200000,200000.0,0.0,1.0
2020-01-22,-1,-1.0433235982468205,18308311.97363603,0.005462,-421354.2325032655,0.23733,200000,200000.0,0.0,1.0
2020-01-23,-1,-0.7007837320738675,18308311.97363603,0.005258,-421354.2325032655,0.22586,200000,191432.17131056578,-8567.828689434216,0.9571608565528289
2020-01-24,-1,-0.5246007905387613,18308311.97363603,0.005196,-421354.2325032655,0.22222,200000,188763.32656188848,-11236.673438111524,0.9438166328094424
2020-01-25,0,-0.13226461698605982,0.0,0.005198,0.0,0.21946,200000,197303.79422620655,-2696.205773793452,0.9865189711310327
2020-01-26,0,-0.6152295594443737,0.0,0.005384,0.0,0.23131,200000,197303.79422620655,-2696.205773793452,0.9865189711310327
2020-01-27,0,-0.35657221711563236,0.0,0.005428,0.0,0.23077,200000,197303.79422620655,-2696.205773793452,0.9865189711310327
2020-01-28,0,-0.14562565642859435,0.0,0.005681,0.0,0.23906,200000,197303.79422620655,-2696.205773793452,0.9865189711310327
2020-01-29,0,-0.10508835377361729,0.0,0.005607,0.0,0.23539,200000,197303.79422620655,-2696.205773793452,0.9865189711310327
2020-01-30,-1,-1.0382041470752807,17619556.54815204,0.005599,-404709.1282946475,0.24376,200000,197303.79422620655,-2696.205773793452,0.9865189711310327
2020-01-31,0,-0.19761281013160908,0.0,0.005674,0.0,0.23946,200000,194242.07823342812,-5757.921766571875,0.9712103911671406
2020-02-01,0,0.8187225722624827,0.0,0.005922,0.0,0.24141,200000,194242.07823342812,-5757.921766571875,0.9712103911671406
2020-02-02,0,0.4990979813142734,0.0,0.00609,0.0,0.25093,200000,194242.07823342812,-5757.921766571875,0.9712103911671406
2020-02-03,0,0.3004178643176854,0.0,0.006128,0.0,0.25453,200000,194242.07823342812,-5757.921766571875,0.9712103911671406
2020-02-04,2,1.2911874475244725,0.0,0.006656,0.0,0.26737,200000,194242.07823342812,-5757.921766571875,0.9712103911671406
2020-02-05,0,0.43893607396632955,0.0,0.006681,0.0,0.27774,200000,194242.07823342812,-5757.921766571875,0.9712103911671406
2020-02-06,2,2.1722795268568,0.0,0.007113,0.0,0.28325,200000,194242.07823342812,-5757.921766571875,0.9712103911671406
2020-02-07,2,2.7425081477935502,0.0,0.007299,0.0,0.27953,200000,194242.07823342812,-5757.921766571875,0.9712103911671406
2020-02-08,2,1.7474244141543387,0.0,0.007077,0.0,0.27735,200000,194242.07823342812,-5757.921766571875,0.9712103911671406
2020-02-09,2,2.5289372656379587,0.0,0.007598,0.0,0.28257,200000,194242.07823342812,-5757.921766571875,0.9712103911671406
2020-02-10,2,2.3659083062551858,0.0,0.007472,0.0,0.27338,200000,194242.07823342812,-5757.921766571875,0.9712103911671406
2020-02-11,2,1.829718246240768,0.0,0.007594,0.0,0.281,200000,194242.07823342812,-5757.921766571875,0.9712103911671406
2020-02-12,1,1.043285052764896,-12222632.660044558,0.007946,319193.60803468653,0.30427,200000,194242.07823342812,-5757.921766571875,0.9712103911671406
2020-02-13,0,-0.7050231679195473,0.0,0.007778,0.0,0.32709,200000,184904.6778111891,-15095.322188810911,0.9245233890559454
2020-02-14,0,0.04220555091086962,0.0,0.008343,0.0,0.33594,200000,184904.6778111891,-15095.322188810911,0.9245233890559454
2020-02-15,0,-0.6203122785989647,0.0,0.007382,0.0,0.30729,200000,184904.6778111891,-15095.322188810911,0.9245233890559454
2020-02-16,-2,-1.451330467263383,0.0,0.006682,0.0,0.29224,200000,184904.6778111891,-15095.322188810911,0.9245233890559454
2020-02-17,-2,-1.446958863102047,0.0,0.006532,0.0,0.28736,200000,184904.6778111891,-15095.322188810911,0.9245233890559454
2020-02-18,-2,-1.3409581937780903,0.0,0.006785,0.0,0.29827,200000,184904.6778111891,-15095.322188810911,0.9245233890559454
2020-02-19,-2,-1.4110494433393626,0.0,0.006205,0.0,0.27466,200000,184904.6778111891,-15095.322188810911,0.9245233890559454
2020-02-20,-1,-1.1754661674191647,14938170.771626199,0.006189,-341278.4751037082,0.2709,200000,184904.6778111891,-15095.322188810911,0.9245233890559454
2020-02-21,-1,-0.9072157474911683,14938170.771626199,0.006347,-341278.4751037082,0.27418,200000,188384.3021914462,-11615.697808553814,0.941921510957231
2020-02-22,-1,-1.1353749172651388,14938170.771626199,0.006222,-341278.4751037082,0.27468,200000,186687.6700825448,-13312.329917455208,0.9334383504127239
