date,statusList,zscore,ETCUSDT_position,ETCUSDT_price,TRXUSDT_position,TRXUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,4.5035,0.0,0.01322,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,4.2283,0.0,0.01284,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,4.5768,0.0,0.01344,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,4.7598,0.0,0.01344,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,4.8784,0.0,0.01353,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,5.0333,0.0,0.01472,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,4.8344,0.0,0.01434,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,4.9521,0.0,0.01402,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,5.1848,0.0,0.01398,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,5.36,0.0,0.01469,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,5.5704,0.0,0.0146,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,5.5765,0.0,0.01503,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,5.4677,0.0,0.01464,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,6.7895,0.0,0.01677,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,7.9911,0.0,0.01729,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,8.414,0.0,0.01734,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,9.4792,0.0,0.01758,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,8.2944,0.0,0.01766,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,8.5268,0.0,0.01665,200000,200000.0,0.0,1.0
2020-01-20,2,1.718051115642931,0.0,8.6347,0.0,0.01661,200000,200000.0,0.0,1.0
2020-01-21,2,1.4757882878996575,0.0,8.943,0.0,0.01732,200000,200000.0,0.0,1.0
2020-01-22,2,1.5495852241237813,0.0,9.3457,0.0,0.01743,200000,200000.0,0.0,1.0
2020-01-23,1,1.186044784619942,-11845.393918574762,8.4421,6142506.142506143,0.01628,200000,200000.0,0.0,1.0
2020-01-24,1,1.151421306362463,-11845.393918574762,8.6118,6142506.142506143,0.01639,200000,202685.83902365784,2685.8390236578416,1.0134291951182892
2020-01-25,1,0.9843372108109585,-11845.393918574762,8.3966,6142506.142506143,0.01613,200000,198539.6586553289,-1460.341344671091,0.9926982932766445
2020-01-26,1,1.1942481959921056,-11845.393918574762,9.19,6142506.142506143,0.01684,200000,212298.9735515055,12298.973551505507,1.0614948677575275
2020-01-27,2,1.7933703939260264,0.0,10.4161,0.0,0.01713,200000,218161.67737413637,18161.677374136372,1.090808386870682
2020-01-28,2,1.6432482949417004,0.0,11.3697,0.0,0.0186,200000,218161.67737413637,18161.677374136372,1.090808386870682
2020-01-29,2,1.9110036896527085,0.0,12.2231,0.0,0.01866,200000,218161.67737413637,18161.677374136372,1.090808386870682
2020-01-30,2,1.4658296588764326,0.0,12.2842,0.0,0.0195,200000,218161.67737413637,18161.677374136372,1.090808386870682
2020-01-31,1,1.0933343162490774,-9620.818370706314,11.338,5842573.04162122,0.01867,200000,218161.67737413634,18161.677374136343,1.0908083868706817
2020-02-01,1,0.989045718175497,-9620.818370706314,11.5282,5842573.04162122,0.01907,200000,222328.5862448932,22328.586244893202,1.111642931224466
2020-02-02,1,0.8134050483021544,-9620.818370706314,11.3658,5842573.04162122,0.01909,200000,220883.01680232293,20883.016802322934,1.1044150840116147
2020-02-03,1,1.05075466732083,-9620.818370706314,11.7782,5842573.04162122,0.0192,200000,225493.32533298054,25493.325332980545,1.1274666266649027
2020-02-04,1,0.6116004242942287,-9620.818370706314,11.4111,5842573.04162122,0.01925,200000,222253.6515611753,22253.6515611753,1.1112682578058766
2020-02-05,1,0.5620621620188568,-9620.818370706314,12.3345,5842573.04162122,0.02076,200000,239959.8005375336,39959.80053753359,1.199799002687668
2020-02-06,0,-0.6337205511606935,0.0,12.1132,0.0,0.02271,200000,202015.7406869582,2015.74068695819,1.010078703434791
2020-02-07,0,-0.8185445102232224,0.0,11.6967,0.0,0.02204,200000,202015.7406869582,2015.74068695819,1.010078703434791
2020-02-08,0,-0.7321136399742564,0.0,11.6984,0.0,0.02179,200000,202015.7406869582,2015.74068695819,1.010078703434791
2020-02-09,0,-0.8972355587123397,0.0,11.7025,0.0,0.02206,200000,202015.7406869582,2015.74068695819,1.010078703434791
2020-02-10,0,-0.8515751450201077,0.0,11.8387,0.0,0.02216,200000,202015.7406869582,2015.74068695819,1.010078703434791
2020-02-11,-1,-1.0097954062036778,8445.474108986546,11.96,-4445768.941174256,0.02272,200000,202015.7406869582,2015.74068695819,1.010078703434791
2020-02-12,-2,-1.3538169613512092,0.0,12.2074,0.0,0.02393,200000,205305.71081121574,5305.710811215744,1.0265285540560787
2020-02-13,-2,-1.4202093799228033,0.0,12.055,0.0,0.02391,200000,205305.71081121574,5305.710811215744,1.0265285540560787
2020-02-14,-2,-2.154910232651034,0.0,12.0094,0.0,0.02639,200000,205305.71081121574,5305.710811215744,1.0265285540560787
2020-02-15,-2,-2.0572608146509292,0.0,10.4066,0.0,0.02364,200000,205305.71081121574,5305.710811215744,1.0265285540560787
2020-02-16,-2,-1.893227402951597,0.0,9.5637,0.0,0.02223,200000,205305.71081121574,5305.710811215744,1.0265285540560787
2020-02-17,-2,-1.4837106655402652,0.0,9.6792,0.0,0.02179,200000,205305.71081121574,5305.710811215744,1.0265285540560787
2020-02-18,-2,-1.4712636321061294,0.0,9.8629,0.0,0.02262,200000,205305.71081121574,5305.710811215744,1.0265285540560787
2020-02-19,-2,-1.3370684024109896,0.0,8.813,0.0,0.0202,200000,205305.71081121574,5305.710811215744,1.0265285540560787
2020-02-20,-1,-1.0518484829348678,11572.777998873516,8.8702,-5184487.646747872,0.0198,200000,205305.71081121574,5305.710811215744,1.0265285540560787
