date,statusList,zscore,ONGUSDT_position,ONGUSDT_price,ADAUSDT_position,ADAUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,0.0956,0.0,0.03348,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,0.095,0.0,0.03269,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,0.0995,0.0,0.03417,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,0.0981,0.0,0.03434,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,0.0998,0.0,0.0346,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,0.1024,0.0,0.03732,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,0.0997,0.0,0.037,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,0.1016,0.0,0.03631,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,0.0991,0.0,0.03616,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,0.0996,0.0,0.03693,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,0.1039,0.0,0.03678,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,0.105,0.0,0.03792,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,0.1027,0.0,0.03682,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,0.1132,0.0,0.04161,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,0.1149,0.0,0.04275,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,0.1116,0.0,0.04168,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,0.1156,0.0,0.0449,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,0.1128,0.0,0.04489,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,0.1069,0.0,0.042,200000,200000.0,0.0,1.0
2020-01-20,-2,-2.4748154594039784,0.0,0.1043,0.0,0.04378,200000,200000.0,0.0,1.0
2020-01-21,-2,-2.3833559848216224,0.0,0.1062,0.0,0.04602,200000,200000.0,0.0,1.0
2020-01-22,-2,-1.8936430617795879,0.0,0.107,0.0,0.04575,200000,200000.0,0.0,1.0
2020-01-23,0,-0.7976088237507631,0.0,0.1087,0.0,0.04318,200000,200000.0,0.0,1.0
2020-01-24,-2,-1.7434879591550116,0.0,0.104,0.0,0.04495,200000,200000.0,0.0,1.0
2020-01-25,-1,-1.13349186669864,964320.1542912247,0.1037,-2318034.3069077423,0.04314,200000,200000.0,0.0,1.0
2020-01-26,-2,-1.2692205830785275,0.0,0.1054,0.0,0.04477,200000,202139.05165796453,2139.0516579645337,1.0106952582898228
2020-01-27,-2,-1.7940809886819717,0.0,0.1058,0.0,0.04796,200000,202139.05165796453,2139.0516579645337,1.0106952582898228
2020-01-28,-2,-2.166386580572776,0.0,0.1083,0.0,0.0529,200000,202139.05165796453,2139.0516579645337,1.0106952582898228
2020-01-29,-2,-1.4245662064066875,0.0,0.1157,0.0,0.05329,200000,202139.05165796453,2139.0516579645337,1.0106952582898228
2020-01-30,-1,-1.106189292236659,812455.9954098254,0.1244,-1800312.1807798764,0.05614,200000,202139.05165796453,2139.0516579645337,1.0106952582898228
2020-01-31,0,0.8859085564373645,0.0,0.1429,0.0,0.0539,200000,183075.91645793585,-16924.083542064152,0.9153795822896792
2020-02-01,0,0.2772942206456931,0.0,0.1404,0.0,0.0561,200000,183075.91645793585,-16924.083542064152,0.9153795822896792
2020-02-02,0,0.5993028215183861,0.0,0.1419,0.0,0.0557,200000,183075.91645793585,-16924.083542064152,0.9153795822896792
2020-02-03,0,0.5800888816547305,0.0,0.144,0.0,0.05696,200000,183075.91645793585,-16924.083542064152,0.9153795822896792
2020-02-04,2,1.6635672408964999,0.0,0.1529,0.0,0.05601,200000,183075.91645793585,-16924.083542064152,0.9153795822896792
2020-02-05,2,1.3405344287175458,0.0,0.1584,0.0,0.05933,200000,183075.91645793585,-16924.083542064152,0.9153795822896792
2020-02-06,2,1.3154666142169897,0.0,0.1609,0.0,0.06008,200000,183075.91645793585,-16924.083542064152,0.9153795822896792
2020-02-07,2,1.3025378095350277,0.0,0.1614,0.0,0.05987,200000,183075.91645793585,-16924.083542064152,0.9153795822896792
