date,statusList,zscore,VETUSDT_position,VETUSDT_price,XRPUSDT_position,XRPUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,0.005358,0.0,0.19305,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,0.005094,0.0,0.1875,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,0.005327,0.0,0.19338,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,0.00562,0.0,0.19305,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,0.005465,0.0,0.19453,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,0.00573,0.0,0.2231,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,0.005578,0.0,0.21335,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,0.005492,0.0,0.2075,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,0.005319,0.0,0.20373,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,0.005454,0.0,0.21284,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,0.005526,0.0,0.21121,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,0.005523,0.0,0.21539,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,0.005407,0.0,0.21134,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,0.005994,0.0,0.23464,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,0.006003,0.0,0.23367,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,0.005885,0.0,0.229,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,0.006392,0.0,0.23921,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,0.006239,0.0,0.24357,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,0.005862,0.0,0.23558,200000,200000.0,0.0,1.0
2020-01-20,-2,-1.239898244177243,0.0,0.005814,0.0,0.23314,200000,200000.0,0.0,1.0
2020-01-21,0,-0.9636685049733373,0.0,0.005964,0.0,0.23726,200000,200000.0,0.0,1.0
2020-01-22,-2,-1.2259729965353827,0.0,0.005863,0.0,0.23733,200000,200000.0,0.0,1.0
2020-01-23,-1,-1.0167322670926264,17834849.295523454,0.005607,-442752.14734791464,0.22586,200000,200000.0,0.0,1.0
2020-01-24,-1,-0.777183990622414,17834849.295523454,0.00558,-442752.14734791464,0.22222,200000,197906.84125267447,-2093.158747325535,0.9895342062633723
2020-01-25,0,0.048400859180057286,0.0,0.005623,0.0,0.21946,200000,196881.02866824495,-3118.9713317550486,0.9844051433412248
2020-01-26,-2,-1.3454055544690775,0.0,0.00573,0.0,0.23131,200000,196881.02866824495,-3118.9713317550486,0.9844051433412248
2020-01-27,-1,-1.0047381767941452,17126046.335094377,0.005748,-426574.14020073006,0.23077,200000,196881.02866824495,-3118.9713317550486,0.9844051433412248
2020-01-28,-2,-1.8886394583541477,0.0,0.0058,0.0,0.23906,200000,199526.7738810841,-473.22611891588895,0.9976338694054205
2020-01-29,-2,-1.5408228442674858,0.0,0.005733,0.0,0.23539,200000,199526.7738810841,-473.22611891588895,0.9976338694054205
2020-01-30,-2,-2.4868994226786394,0.0,0.005687,0.0,0.24376,200000,199526.7738810841,-473.22611891588895,0.9976338694054205
2020-01-31,-2,-1.3365430625968007,0.0,0.005766,0.0,0.23946,200000,199526.7738810841,-473.22611891588895,0.9976338694054205
2020-02-01,0,-0.25920403985555185,0.0,0.005997,0.0,0.24141,200000,199526.7738810841,-473.22611891588895,0.9976338694054205
2020-02-02,0,-0.23507138921468393,0.0,0.006229,0.0,0.25093,200000,199526.7738810841,-473.22611891588895,0.9976338694054205
