date,statusList,zscore,ZECUSDT_position,ZECUSDT_price,ONGUSDT_position,ONGUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,28.07,0.0,0.0956,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,27.02,0.0,0.095,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,28.41,0.0,0.0995,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,29.91,0.0,0.0981,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,30.81,0.0,0.0998,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,32.86,0.0,0.1024,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,32.24,0.0,0.0997,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,30.88,0.0,0.1016,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,30.83,0.0,0.0991,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,33.69,0.0,0.0996,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,34.88,0.0,0.1039,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,35.52,0.0,0.105,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,38.32,0.0,0.1027,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,43.83,0.0,0.1132,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,54.97,0.0,0.1149,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,50.8,0.0,0.1116,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,61.54,0.0,0.1156,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,51.16,0.0,0.1128,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,51.56,0.0,0.1069,200000,200000.0,0.0,1.0
2020-01-20,2,1.7330898875020044,0.0,53.68,0.0,0.1043,200000,200000.0,0.0,1.0
2020-01-21,2,1.4018889499204354,0.0,53.26,0.0,0.1062,200000,200000.0,0.0,1.0
2020-01-22,1,1.1251329263411751,-1915.3418885271021,52.21,934579.4392523365,0.107,200000,200000.0,0.0,1.0
2020-01-23,1,0.6760069915395323,-1915.3418885271021,49.6,934579.4392523365,0.1087,200000,196589.74271767325,-3410.2572823267546,0.9829487135883662
2020-01-24,1,0.751873451715335,-1915.3418885271021,48.82,934579.4392523365,0.104,200000,190703.25268013612,-9296.747319863876,0.9535162634006806
2020-01-25,1,0.6780100164305206,-1915.3418885271021,48.72,934579.4392523365,0.1037,200000,190231.34465950768,-9768.655340492318,0.9511567232975384
2020-01-26,1,1.0691549144799835,-1915.3418885271021,53.65,934579.4392523365,0.1054,200000,201262.7652166753,1262.765216675296,1.0063138260833764
2020-01-27,1,1.1197847431067018,-1915.3418885271021,55.18,934579.4392523365,0.1058,200000,204567.0700818227,4567.070081822691,1.0228353504091134
2020-01-28,1,1.0667682250255464,-1915.3418885271021,56.74,934579.4392523365,0.1083,200000,209891.4520260558,9891.452026055806,1.049457260130279
2020-01-29,1,1.1264403914797183,-1915.3418885271021,61.74,934579.4392523365,0.1157,200000,226384.04931915863,26384.04931915863,1.1319202465957932
2020-01-30,1,1.0382851660179253,-1915.3418885271021,66.3,934579.4392523365,0.1244,200000,243248.84945233754,43248.84945233754,1.2162442472616877
2020-01-31,0,-0.16328417004978074,0.0,66.51,0.0,0.1429,200000,193837.9871367787,-6162.012863221287,0.9691899356838936
2020-02-01,0,-0.24067429192397635,0.0,66.03,0.0,0.1404,200000,193837.9871367787,-6162.012863221287,0.9691899356838936
2020-02-02,0,-0.4945550455592682,0.0,66.36,0.0,0.1419,200000,193837.9871367787,-6162.012863221287,0.9691899356838936
2020-02-03,-1,-1.166277667768356,1479.2276185651613,65.52,-673048.5664471483,0.144,200000,193837.9871367787,-6162.012863221287,0.9691899356838936
2020-02-04,-2,-1.9866204320905354,0.0,64.34,0.0,0.1529,200000,201573.60796806522,1573.6079680652183,1.0078680398403261
2020-02-05,-1,-1.0973178953798715,1415.7438402027337,71.19,-636280.328182024,0.1584,200000,201573.60796806522,1573.6079680652183,1.0078680398403261
2020-02-06,-2,-1.3630954855013444,0.0,70.14,0.0,0.1609,200000,204650.83982073312,4650.839820733119,1.0232541991036657
