date,statusList,zscore,ONGUSDT_position,ONGUSDT_price,TFUELUSDT_position,TFUELUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,0.0956,0.0,0.002383,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,0.095,0.0,0.002297,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,0.0995,0.0,0.002403,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,0.0981,0.0,0.002429,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,0.0998,0.0,0.002412,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,0.1024,0.0,0.002461,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,0.0997,0.0,0.002382,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,0.1016,0.0,0.002511,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,0.0991,0.0,0.002395,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,0.0996,0.0,0.002402,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,0.1039,0.0,0.002403,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,0.105,0.0,0.002452,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,0.1027,0.0,0.002456,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,0.1132,0.0,0.002572,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,0.1149,0.0,0.002567,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,0.1116,0.0,0.002584,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,0.1156,0.0,0.002598,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,0.1128,0.0,0.002591,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,0.1069,0.0,0.00246,200000,200000.0,0.0,1.0
2020-01-20,-2,-1.2068534628133394,0.0,0.1043,0.0,0.002579,200000,200000.0,0.0,1.0
2020-01-21,0,-0.01638578386433162,0.0,0.1062,0.0,0.002514,200000,200000.0,0.0,1.0
2020-01-22,0,0.1663067882089554,0.0,0.107,0.0,0.002515,200000,200000.0,0.0,1.0
2020-01-23,0,0.8872647709266616,0.0,0.1087,0.0,0.002492,200000,200000.0,0.0,1.0
2020-01-24,0,-0.05865335601646792,0.0,0.104,0.0,0.002449,200000,200000.0,0.0,1.0
2020-01-25,0,-0.7225770309589831,0.0,0.1037,0.0,0.002489,200000,200000.0,0.0,1.0
2020-01-26,0,-0.3463863358460613,0.0,0.1054,0.0,0.0025,200000,200000.0,0.0,1.0
2020-01-27,-1,-1.1514984248195914,945179.5841209829,0.1058,-38850038.85003885,0.002574,200000,200000.0,0.0,1.0
2020-01-28,-1,-0.8098144829084835,945179.5841209829,0.1083,-38850038.85003885,0.0026,200000,203373.04997040343,3373.04997040343,1.0168652498520172
