date,statusList,zscore,ICXUSDT_position,ICXUSDT_price,VETUSDT_position,VETUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,0.1146,0.0,0.005358,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,0.1096,0.0,0.005094,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,0.1142,0.0,0.005327,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,0.1139,0.0,0.00562,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,0.1135,0.0,0.005465,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,0.1248,0.0,0.00573,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,0.1201,0.0,0.005578,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,0.1171,0.0,0.005492,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,0.1167,0.0,0.005319,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,0.1188,0.0,0.005454,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,0.1202,0.0,0.005526,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,0.1215,0.0,0.005523,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,0.1229,0.0,0.005407,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,0.1394,0.0,0.005994,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,0.143,0.0,0.006003,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,0.1455,0.0,0.005885,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,0.1527,0.0,0.006392,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,0.1532,0.0,0.006239,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,0.1462,0.0,0.005862,200000,200000.0,0.0,1.0
2020-01-20,2,2.1671770442000278,0.0,0.1511,0.0,0.005814,200000,200000.0,0.0,1.0
2020-01-21,2,1.994430178041619,0.0,0.157,0.0,0.005964,200000,200000.0,0.0,1.0
2020-01-22,2,1.8674831293651324,0.0,0.1564,0.0,0.005863,200000,200000.0,0.0,1.0
2020-01-23,2,1.62672668637922,0.0,0.1495,0.0,0.005607,200000,200000.0,0.0,1.0
2020-01-24,2,1.6120982050662997,0.0,0.1507,0.0,0.00558,200000,200000.0,0.0,1.0
2020-01-25,2,1.6728715550183904,0.0,0.155,0.0,0.005623,200000,200000.0,0.0,1.0
2020-01-26,2,2.3742182554608795,0.0,0.1738,0.0,0.00573,200000,200000.0,0.0,1.0
2020-01-27,2,2.1573120516062643,0.0,0.1775,0.0,0.005748,200000,200000.0,0.0,1.0
2020-01-28,2,2.1623766076085458,0.0,0.186,0.0,0.0058,200000,200000.0,0.0,1.0
2020-01-29,2,2.750889797837577,0.0,0.2112,0.0,0.005733,200000,200000.0,0.0,1.0
2020-01-30,2,2.88484840131497,0.0,0.238,0.0,0.005687,200000,200000.0,0.0,1.0
2020-01-31,2,2.6384763154797257,0.0,0.2589,0.0,0.005766,200000,200000.0,0.0,1.0
2020-02-01,2,2.2669057938907873,0.0,0.2751,0.0,0.005997,200000,200000.0,0.0,1.0
2020-02-02,2,2.3681720359383798,0.0,0.3176,0.0,0.006229,200000,200000.0,0.0,1.0
2020-02-03,2,2.5313265440857533,0.0,0.3705,0.0,0.006304,200000,200000.0,0.0,1.0
2020-02-04,2,2.994105915369706,0.0,0.5091,0.0,0.006532,200000,200000.0,0.0,1.0
2020-02-05,2,1.9130089533571553,0.0,0.4369,0.0,0.006472,200000,200000.0,0.0,1.0
2020-02-06,2,1.6554161101074336,0.0,0.4574,0.0,0.0068,200000,200000.0,0.0,1.0
2020-02-07,1,1.1249435939668053,-242541.8384671356,0.4123,14669209.329617133,0.006817,200000,200000.0,0.0,1.0
2020-02-08,1,1.0354067261322868,-242541.8384671356,0.4056,14669209.329617133,0.006669,200000,196203.92670148687,-3796.0732985131326,0.9810196335074344
2020-02-09,1,1.1149557733271553,-242541.8384671356,0.438,14669209.329617133,0.006825,200000,206350.67892324232,6350.678923242318,1.0317533946162116
2020-02-10,1,0.9271748626286013,-242541.8384671356,0.4077,14669209.329617133,0.00651,200000,194380.86027885872,-5619.139721141284,0.9719043013942936
2020-02-11,1,0.43799439004223006,-242541.8384671356,0.4161,14669209.329617133,0.007485,200000,210720.69081835938,10720.690818359377,1.053603454091797
2020-02-12,1,0.42956249756278625,-242541.8384671356,0.423,14669209.329617133,0.00747,200000,212174.19136383833,12174.191363838327,1.0608709568191916
