date,statusList,zscore,ONGUSDT_position,ONGUSDT_price,WAVESUSDT_position,WAVESUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,0.0956,0.0,1.0446,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,0.095,0.0,0.9459,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,0.0995,0.0,0.9526,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,0.0981,0.0,0.9458,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,0.0998,0.0,0.8872,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,0.1024,0.0,0.8949,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,0.0997,0.0,0.8853,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,0.1016,0.0,0.851,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,0.0991,0.0,0.8231,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,0.0996,0.0,0.8244,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,0.1039,0.0,0.8561,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,0.105,0.0,0.8447,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,0.1027,0.0,0.86,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,0.1132,0.0,0.8637,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,0.1149,0.0,0.896,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,0.1116,0.0,0.8809,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,0.1156,0.0,0.9,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,0.1128,0.0,0.8783,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,0.1069,0.0,0.8889,200000,200000.0,0.0,1.0
2020-01-20,0,0.2677196249710971,0.0,0.1043,0.0,0.8673,200000,200000.0,0.0,1.0
2020-01-21,0,0.3247149278677216,0.0,0.1062,0.0,0.8723,200000,200000.0,0.0,1.0
2020-01-22,0,0.10443250678988054,0.0,0.107,0.0,0.8862,200000,200000.0,0.0,1.0
2020-01-23,0,0.5508073309143703,0.0,0.1087,0.0,0.8726,200000,200000.0,0.0,1.0
2020-01-24,0,-0.049678389985004255,0.0,0.104,0.0,0.8552,200000,200000.0,0.0,1.0
2020-01-25,0,-0.10860759677260151,0.0,0.1037,0.0,0.8512,200000,200000.0,0.0,1.0
2020-01-26,0,-0.41227547813594423,0.0,0.1054,0.0,0.8718,200000,200000.0,0.0,1.0
2020-01-27,0,-0.3457716999582721,0.0,0.1058,0.0,0.868,200000,200000.0,0.0,1.0
2020-01-28,0,-0.2819845605496062,0.0,0.1083,0.0,0.8856,200000,200000.0,0.0,1.0
2020-01-29,2,2.2742947604498798,0.0,0.1157,0.0,0.8699,200000,200000.0,0.0,1.0
2020-01-30,2,3.115126533347804,0.0,0.1244,0.0,0.8696,200000,200000.0,0.0,1.0
2020-01-31,2,3.484837539900243,0.0,0.1429,0.0,0.8824,200000,200000.0,0.0,1.0
2020-02-01,2,2.1916112623205337,0.0,0.1404,0.0,0.9111,200000,200000.0,0.0,1.0
2020-02-02,2,1.4688384330276834,0.0,0.1419,0.0,0.9594,200000,200000.0,0.0,1.0
2020-02-03,2,1.2559478867648777,0.0,0.144,0.0,0.9809,200000,200000.0,0.0,1.0
2020-02-04,2,1.8525238270317652,0.0,0.1529,0.0,0.9643,200000,200000.0,0.0,1.0
2020-02-05,2,1.6927283873650205,0.0,0.1584,0.0,0.9899,200000,200000.0,0.0,1.0
2020-02-06,2,1.2441146442663626,0.0,0.1609,0.0,1.0364,200000,200000.0,0.0,1.0
2020-02-07,0,0.713735593475852,0.0,0.1614,0.0,1.092,200000,200000.0,0.0,1.0
2020-02-08,0,0.6459517605715653,0.0,0.1565,0.0,1.058,200000,200000.0,0.0,1.0
2020-02-09,0,0.4598238190575728,0.0,0.1621,0.0,1.11,200000,200000.0,0.0,1.0
2020-02-10,-2,-1.8067685381326424,0.0,0.1557,0.0,1.4376,200000,200000.0,0.0,1.0
2020-02-11,-2,-1.413671284211519,0.0,0.1607,0.0,1.4117,200000,200000.0,0.0,1.0
2020-02-12,0,-0.6929034352260657,0.0,0.1808,0.0,1.4324,200000,200000.0,0.0,1.0
2020-02-13,0,-0.003351016857577463,0.0,0.1948,0.0,1.4038,200000,200000.0,0.0,1.0
2020-02-14,0,-0.15902188783209495,0.0,0.2128,0.0,1.5529,200000,200000.0,0.0,1.0
2020-02-15,0,0.3251127053828668,0.0,0.2142,0.0,1.4686,200000,200000.0,0.0,1.0
2020-02-16,0,-0.262125885468513,0.0,0.1902,0.0,1.3809,200000,200000.0,0.0,1.0
2020-02-17,0,-0.4682768272826172,0.0,0.1813,0.0,1.3366,200000,200000.0,0.0,1.0
2020-02-18,-2,-1.2263572847117685,0.0,0.182,0.0,1.4693,200000,200000.0,0.0,1.0
2020-02-19,-2,-1.2378530902048237,0.0,0.1671,0.0,1.3717,200000,200000.0,0.0,1.0
2020-02-20,-2,-1.7890706713973301,0.0,0.1628,0.0,1.4854,200000,200000.0,0.0,1.0
2020-02-21,-2,-1.211520140056685,0.0,0.1687,0.0,1.4459,200000,200000.0,0.0,1.0
2020-02-22,-2,-1.3026033040858331,0.0,0.16,0.0,1.4198,200000,200000.0,0.0,1.0
2020-02-23,0,-0.981228803786896,0.0,0.168,0.0,1.4439,200000,200000.0,0.0,1.0
2020-02-24,-1,-1.0568793228137916,641848.5237483954,0.1558,-72806.69821623589,1.3735,200000,200000.0,0.0,1.0
2020-02-25,-2,-1.3298307271149672,0.0,0.1418,0.0,1.3215,200000,205199.93102523324,5199.931025233236,1.025999655126166
2020-02-26,-2,-1.389986970748446,0.0,0.1209,0.0,1.1562,200000,205199.93102523324,5199.931025233236,1.025999655126166
2020-02-27,-1,-1.1631174430628402,794117.3801286116,0.1292,-84458.31866366201,1.2148,200000,205199.93102523324,5199.931025233236,1.025999655126166
2020-02-28,-1,-0.6889749556897404,794117.3801286116,0.1294,-84458.31866366201,1.1529,200000,200130.78457597824,130.7845759782358,1.0006539228798912
2020-02-29,-1,-0.720743004874118,794117.3801286116,0.1254,-84458.31866366201,1.1317,200000,195163.7986997942,-4836.201300205808,0.9758189934989709
2020-03-01,-1,-0.45331183065142744,794117.3801286116,0.1281,-84458.31866366201,1.1176,200000,196117.0533329838,-3882.946667016193,0.9805852666649191
2020-03-02,-1,-0.5118210300159421,794117.3801286116,0.135,-84458.31866366201,1.1853,200000,207314.29142940114,7314.2914294011425,1.0365714571470057
2020-03-03,-1,-0.5053736519535761,794117.3801286116,0.1319,-84458.31866366201,1.1639,200000,203045.11953160007,3045.1195316000667,1.0152255976580002
2020-03-04,-1,-0.7714014764235876,794117.3801286116,0.1308,-84458.31866366201,1.1998,200000,205203.64405348408,5203.64405348408,1.0260182202674204
2020-03-05,-2,-1.3448772411845331,0.0,0.135,0.0,1.3394,200000,211117.55672597955,11117.55672597955,1.0555877836298977
2020-03-06,-2,-1.5546228814550382,0.0,0.1355,0.0,1.375,200000,211117.55672597955,11117.55672597955,1.0555877836298977
2020-03-07,-2,-1.4371444797046835,0.0,0.128,0.0,1.2858,200000,211117.55672597955,11117.55672597955,1.0555877836298977
2020-03-08,-2,-1.2496692484750291,0.0,0.1111,0.0,1.0936,200000,211117.55672597955,11117.55672597955,1.0555877836298977
2020-03-09,0,-0.724513941457725,0.0,0.1145,0.0,1.0925,200000,211117.55672597955,11117.55672597955,1.0555877836298977
2020-03-10,-2,-2.6028046116146064,0.0,0.1149,0.0,1.2875,200000,211117.55672597955,11117.55672597955,1.0555877836298977
2020-03-11,-2,-2.6238465385864864,0.0,0.1106,0.0,1.337,200000,211117.55672597955,11117.55672597955,1.0555877836298977
2020-03-12,-2,-2.892975906680272,0.0,0.0554,0.0,0.795,200000,211117.55672597955,11117.55672597955,1.0555877836298977
2020-03-13,-2,-2.258386258185221,0.0,0.0616,0.0,0.8707,200000,211117.55672597955,11117.55672597955,1.0555877836298977
2020-03-14,-2,-1.4687039061419023,0.0,0.0637,0.0,0.805,200000,211117.55672597955,11117.55672597955,1.0555877836298977
2020-03-15,0,-0.48540212382004533,0.0,0.0796,0.0,0.8629,200000,211117.55672597955,11117.55672597955,1.0555877836298977
2020-03-16,0,-0.7597517100531423,0.0,0.0645,0.0,0.7386,200000,211117.55672597955,11117.55672597955,1.0555877836298977
2020-03-17,-2,-1.2912035698148496,0.0,0.0669,0.0,0.8612,200000,211117.55672597955,11117.55672597955,1.0555877836298977
2020-03-18,-2,-1.2173255536357013,0.0,0.0665,0.0,0.8667,200000,211117.55672597955,11117.55672597955,1.0555877836298977
2020-03-19,0,-0.7616437798099287,0.0,0.0784,0.0,0.9516,200000,211117.55672597955,11117.55672597955,1.0555877836298977
2020-03-20,0,-0.3518103288699833,0.0,0.0833,0.0,0.9519,200000,211117.55672597955,11117.55672597955,1.0555877836298977
2020-03-21,0,-0.2798838488543184,0.0,0.0818,0.0,0.9354,200000,211117.55672597955,11117.55672597955,1.0555877836298977
2020-03-22,0,-0.35230669021301236,0.0,0.0722,0.0,0.8452,200000,211117.55672597955,11117.55672597955,1.0555877836298977
2020-03-23,0,-0.18152877650884383,0.0,0.0797,0.0,0.9221,200000,211117.55672597955,11117.55672597955,1.0555877836298977
2020-03-24,0,0.051512843506436874,0.0,0.0821,0.0,0.9339,200000,211117.55672597955,11117.55672597955,1.0555877836298977
2020-03-25,0,0.4259421605680813,0.0,0.0818,0.0,0.8992,200000,211117.55672597955,11117.55672597955,1.0555877836298977
2020-03-26,0,0.7070810830293252,0.0,0.0831,0.0,0.8917,200000,211117.55672597955,11117.55672597955,1.0555877836298977
2020-03-27,0,0.7171294060025094,0.0,0.0796,0.0,0.859,200000,211117.55672597955,11117.55672597955,1.0555877836298977
2020-03-28,2,1.2586644842054977,0.0,0.0788,0.0,0.8144,200000,211117.55672597955,11117.55672597955,1.0555877836298977
2020-03-29,2,1.9926659141361598,0.0,0.0789,0.0,0.771,200000,211117.55672597955,11117.55672597955,1.0555877836298977
2020-03-30,2,1.6375543164592277,0.0,0.0835,0.0,0.8262,200000,211117.55672597955,11117.55672597955,1.0555877836298977
2020-03-31,0,-0.2548174133310789,0.0,0.0835,0.0,0.99,200000,211117.55672597955,11117.55672597955,1.0555877836298977
2020-04-01,0,-0.2408531585758951,0.0,0.0829,0.0,0.9698,200000,211117.55672597955,11117.55672597955,1.0555877836298977
2020-04-02,0,-0.0670177320879469,0.0,0.0844,0.0,0.9615,200000,211117.55672597955,11117.55672597955,1.0555877836298977
2020-04-03,0,-0.10987433941530259,0.0,0.0847,0.0,0.9629,200000,211117.55672597955,11117.55672597955,1.0555877836298977
2020-04-04,0,0.1977043971538966,0.0,0.0854,0.0,0.9505,200000,211117.55672597955,11117.55672597955,1.0555877836298977
2020-04-05,0,0.08140382055850442,0.0,0.0846,0.0,0.9486,200000,211117.55672597955,11117.55672597955,1.0555877836298977
2020-04-06,0,0.18628613753996537,0.0,0.0892,0.0,0.9867,200000,211117.55672597955,11117.55672597955,1.0555877836298977
2020-04-07,0,-0.29587687047551936,0.0,0.0877,0.0,0.9928,200000,211117.55672597955,11117.55672597955,1.0555877836298977
2020-04-08,0,0.025009815877660397,0.0,0.091,0.0,1.0067,200000,211117.55672597955,11117.55672597955,1.0555877836298977
2020-04-09,0,-0.6236362770728227,0.0,0.0912,0.0,1.0458,200000,211117.55672597955,11117.55672597955,1.0555877836298977
2020-04-10,-2,-1.5647934000483152,0.0,0.0818,0.0,0.9998,200000,211117.55672597955,11117.55672597955,1.0555877836298977
2020-04-11,-1,-1.1601860646322262,1271792.510397467,0.083,-106495.94265838356,0.9912,200000,211117.55672597955,11117.55672597955,1.0555877836298977
2020-04-12,-1,-0.8650167278161983,1271792.510397467,0.0849,-106495.94265838356,0.9965,200000,214098.39099182416,14098.390991824155,1.0704919549591208
2020-04-13,-1,-1.1415853166319554,1271792.510397467,0.0832,-106495.94265838356,0.9991,200000,212213.23317506028,12213.233175060275,1.0610661658753013
2020-04-14,-1,-0.7716952681366896,1271792.510397467,0.0841,-106495.94265838356,0.9899,200000,212378.08376196085,12378.08376196085,1.0618904188098042
2020-04-15,-1,-0.7282198304380054,1271792.510397467,0.0813,-106495.94265838356,0.959,200000,205526.3401047039,5526.340104703908,1.0276317005235196
2020-04-16,-1,-0.7320208131497526,1271792.510397467,0.0848,-106495.94265838356,1.0056,200000,214940.3248189757,14940.3248189757,1.0747016240948786
2020-04-17,-1,-0.6405217333272201,1271792.510397467,0.0842,-106495.94265838356,0.9975,200000,213314.6321772043,13314.632177204301,1.0665731608860216
2020-04-18,-1,-0.7940588031622895,1271792.510397467,0.087,-106495.94265838356,1.0411,200000,221518.87430622274,21518.874306222744,1.1075943715311136
2020-04-19,-1,-0.6673943370108526,1271792.510397467,0.0855,-106495.94265838356,1.0138,200000,216703.8463060527,16703.8463060527,1.0835192315302635
