date,statusList,zscore,HOTUSDT_position,HOTUSDT_price,DASHUSDT_position,DASHUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,0.0006275,0.0,41.84,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,0.0006035,0.0,40.04,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,0.0006794,0.0,43.92,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,0.0006796,0.0,46.19,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,0.0006708,0.0,51.17,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,0.000703,0.0,56.57,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,0.0006815,0.0,54.62,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,0.0006721,0.0,52.42,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,0.000671,0.0,50.54,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,0.0006865,0.0,56.88,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,0.00067,0.0,63.46,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,0.0006813,0.0,66.19,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,0.000674,0.0,69.43,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,0.0007056,0.0,89.28,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,0.0007118,0.0,133.6,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,0.0006959,0.0,127.45,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,0.0007304,0.0,113.04,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,0.0007145,0.0,101.15,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,0.0006752,0.0,104.92,200000,200000.0,0.0,1.0
2020-01-20,-2,-1.259051948093237,0.0,0.0006756,0.0,109.91,200000,200000.0,0.0,1.0
2020-01-21,-1,-1.1744591038962864,150353330.32626674,0.0006651,-904.9773755656108,110.5,200000,200000.0,0.0,1.0
2020-01-22,-1,-1.0236682513074673,150353330.32626674,0.0006688,-904.9773755656108,107.8,200000,198112.86840818005,-1887.1315918199543,0.9905643420409003
2020-01-23,-1,-0.954647883830502,150353330.32626674,0.0006333,-904.9773755656108,102.72,200000,188178.04011372427,-11821.959886275727,0.9408902005686214
2020-01-24,-1,-0.825023964767128,150353330.32626674,0.0006346,-904.9773755656108,100.11,200000,186011.50849292218,-13988.491507077822,0.9300575424646109
2020-01-25,-1,-0.811646907331348,150353330.32626674,0.000621,-904.9773755656108,101.31,200000,185052.6760511637,-14947.323948836303,0.9252633802558184
2020-01-26,-1,-0.8675359177612493,150353330.32626674,0.0006347,-904.9773755656108,111.01,200000,195890.79721961997,-4109.20278038003,0.9794539860980999
2020-01-27,-1,-0.7658280177747622,150353330.32626674,0.0006521,-904.9773755656108,112.78,200000,200108.75512204814,108.75512204814004,1.0005437756102407
2020-01-28,-1,-0.7721904934127822,150353330.32626674,0.000648,-904.9773755656108,115.91,200000,202324.8856532308,2324.885653230798,1.011624428266154
2020-01-29,-1,-0.8457222551971642,150353330.32626674,0.0006531,-904.9773755656108,121.97,200000,208575.85053382235,8575.850533822348,1.0428792526691117
2020-01-30,-1,-0.8940994556552693,150353330.32626674,0.000638,-904.9773755656108,121.9,200000,206242.16682960617,6242.166829606169,1.0312108341480308
2020-01-31,-1,-0.7094773697408604,150353330.32626674,0.0006329,-904.9773755656108,115.85,200000,200000.25172277022,0.2517227702192031,1.0000012586138511
2020-02-01,-1,-0.6452490842858642,150353330.32626674,0.0006448,-904.9773755656108,116.7,200000,202558.68712288357,2558.687122883566,1.012793435614418
2020-02-02,-1,-0.20282509763913353,150353330.32626674,0.0006719,-904.9773755656108,114.29,200000,204452.26689961227,4452.266899612267,1.0222613344980613
2020-02-03,-1,-0.34694165465383886,150353330.32626674,0.0006619,-904.9773755656108,115.34,200000,203898.9598406935,3898.959840693511,1.0194947992034675
2020-02-04,0,0.7000284928608187,0.0,0.000695,0.0,110.87,200000,195839.2770522039,-4160.722947796108,0.9791963852610195
2020-02-05,0,-0.67061382698336,0.0,0.0006959,0.0,122.98,200000,195839.2770522039,-4160.722947796108,0.9791963852610195
2020-02-06,0,0.4765165162969027,0.0,0.00074,0.0,120.32,200000,195839.2770522039,-4160.722947796108,0.9791963852610195
2020-02-07,2,1.6287975311489382,0.0,0.0007744,0.0,118.68,200000,195839.2770522039,-4160.722947796108,0.9791963852610195
2020-02-08,2,1.3028876809526315,0.0,0.000808,0.0,126.29,200000,195839.2770522039,-4160.722947796108,0.9791963852610195
2020-02-09,0,0.8258827045417392,0.0,0.0008003,0.0,128.51,200000,195839.2770522039,-4160.722947796108,0.9791963852610195
2020-02-10,0,0.10155310347080583,0.0,0.0007595,0.0,127.58,200000,195839.2770522039,-4160.722947796108,0.9791963852610195
2020-02-11,0,0.17444363629271717,0.0,0.000771,0.0,129.2,200000,195839.2770522039,-4160.722947796108,0.9791963852610195
