date,statusList,zscore,NULSUSDT_position,NULSUSDT_price,IOTAUSDT_position,IOTAUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,0.2308,0.0,0.1606,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,0.2207,0.0,0.1584,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,0.2284,0.0,0.1664,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,0.2337,0.0,0.1734,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,0.234,0.0,0.1718,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,0.2456,0.0,0.1826,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,0.23,0.0,0.1857,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,0.2251,0.0,0.1811,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,0.226,0.0,0.177,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,0.2279,0.0,0.1902,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,0.2339,0.0,0.1918,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,0.2382,0.0,0.1913,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,0.2348,0.0,0.1884,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,0.2461,0.0,0.2105,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,0.2584,0.0,0.2335,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,0.2585,0.0,0.2279,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,0.2692,0.0,0.2383,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,0.2754,0.0,0.2461,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,0.2618,0.0,0.2462,200000,200000.0,0.0,1.0
2020-01-20,-2,-1.655687514604629,0.0,0.2635,0.0,0.2523,200000,200000.0,0.0,1.0
2020-01-21,-2,-1.2478862165341604,0.0,0.2704,0.0,0.2503,200000,200000.0,0.0,1.0
2020-01-22,0,-0.9191728799277861,0.0,0.2757,0.0,0.249,200000,200000.0,0.0,1.0
2020-01-23,-1,-1.0278940655435762,388349.51456310676,0.2575,-422119.0375685943,0.2369,200000,200000.0,0.0,1.0
2020-01-24,-1,-0.4944869890870004,388349.51456310676,0.2683,-422119.0375685943,0.237,200000,204236.38666103838,4236.386661038385,1.021181933305192
2020-01-25,-1,-0.5626861230981716,388349.51456310676,0.2624,-422119.0375685943,0.2344,200000,200847.61502743774,847.6150274377433,1.0042380751371887
2020-01-26,-1,-0.848804924245073,388349.51456310676,0.2684,-422119.0375685943,0.2457,200000,207947.6572393415,7947.657239341497,1.0397382861967075
2020-01-27,-1,-1.0289890976914498,388349.51456310676,0.2704,-422119.0375685943,0.2522,200000,211468.13001266355,11468.130012663547,1.0573406500633178
2020-01-28,-2,-2.248478515211255,0.0,0.2733,0.0,0.2863,200000,214716.75812579144,14716.758125791443,1.0735837906289571
2020-01-29,-2,-2.509302213102455,0.0,0.2717,0.0,0.3041,200000,214716.75812579144,14716.758125791443,1.0735837906289571
2020-01-30,-2,-1.649881784255988,0.0,0.2786,0.0,0.294,200000,214716.75812579144,14716.758125791443,1.0735837906289571
