date,statusList,zscore,ONGUSDT_position,ONGUSDT_price,HOTUSDT_position,HOTUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,0.0956,0.0,0.0006275,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,0.095,0.0,0.0006035,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,0.0995,0.0,0.0006794,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,0.0981,0.0,0.0006796,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,0.0998,0.0,0.0006708,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,0.1024,0.0,0.000703,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,0.0997,0.0,0.0006815,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,0.1016,0.0,0.0006721,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,0.0991,0.0,0.000671,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,0.0996,0.0,0.0006865,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,0.1039,0.0,0.00067,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,0.105,0.0,0.0006813,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,0.1027,0.0,0.000674,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,0.1132,0.0,0.0007056,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,0.1149,0.0,0.0007118,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,0.1116,0.0,0.0006959,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,0.1156,0.0,0.0007304,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,0.1128,0.0,0.0007145,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,0.1069,0.0,0.0006752,200000,200000.0,0.0,1.0
2020-01-20,0,0.2611551328203025,0.0,0.1043,0.0,0.0006756,200000,200000.0,0.0,1.0
2020-01-21,1,1.0889694064844995,-941619.5856873823,0.1062,150353330.32626674,0.0006651,200000,200000.0,0.0,1.0
2020-01-22,1,1.0974393999178393,-941619.5856873823,0.107,150353330.32626674,0.0006688,200000,201309.6029907571,1309.602990757092,1.0065480149537855
2020-01-23,2,2.4153924267067075,0.0,0.1087,0.0,0.0006333,200000,207135.28486859374,7135.284868593735,1.0356764243429686
2020-01-24,1,1.1995256506759562,-995842.715714393,0.104,163201453.56806943,0.0006346,200000,207135.28486859374,7135.284868593735,1.0356764243429686
2020-01-25,2,1.4659089615781324,0.0,0.1037,0.0,0.000621,200000,209056.07182240515,9056.071822405152,1.0452803591120257
2020-01-26,2,1.2239779827984474,0.0,0.1054,0.0,0.0006347,200000,209056.07182240515,9056.071822405152,1.0452803591120257
2020-01-27,0,0.599684725458444,0.0,0.1058,0.0,0.0006521,200000,209056.07182240515,9056.071822405152,1.0452803591120257
2020-01-28,2,1.2196949959874976,0.0,0.1083,0.0,0.000648,200000,209056.07182240515,9056.071822405152,1.0452803591120257
2020-01-29,2,2.3226816210916783,0.0,0.1157,0.0,0.0006531,200000,209056.07182240515,9056.071822405152,1.0452803591120257
2020-01-30,2,3.294915558201611,0.0,0.1244,0.0,0.000638,200000,209056.07182240515,9056.071822405152,1.0452803591120257
2020-01-31,2,3.510928953702415,0.0,0.1429,0.0,0.0006329,200000,209056.07182240515,9056.071822405152,1.0452803591120257
2020-02-01,2,2.3890568973280537,0.0,0.1404,0.0,0.0006448,200000,209056.07182240515,9056.071822405152,1.0452803591120257
2020-02-02,2,1.777726988124988,0.0,0.1419,0.0,0.0006719,200000,209056.07182240515,9056.071822405152,1.0452803591120257
2020-02-03,2,1.778097337017211,0.0,0.144,0.0,0.0006619,200000,209056.07182240515,9056.071822405152,1.0452803591120257
2020-02-04,2,1.6382079816365513,0.0,0.1529,0.0,0.000695,200000,209056.07182240515,9056.071822405152,1.0452803591120257
2020-02-05,2,1.6829911233160195,0.0,0.1584,0.0,0.0006959,200000,209056.07182240515,9056.071822405152,1.0452803591120257
2020-02-06,1,1.1769479145579105,-649645.9658869023,0.1609,141254102.58270618,0.00074,200000,209056.07182240515,9056.071822405152,1.0452803591120257
2020-02-07,1,0.7677195725151563,-649645.9658869023,0.1614,141254102.58270618,0.0007744,200000,214240.0359341937,14240.0359341937,1.0712001796709685
2020-02-08,0,0.17007009835166234,0.0,0.1565,0.0,0.000808,200000,196592.35059687876,-3407.649403121235,0.9829617529843938
2020-02-09,0,0.4324044396758747,0.0,0.1621,0.0,0.0008003,200000,196592.35059687876,-3407.649403121235,0.9829617529843938
2020-02-10,0,0.45780782770728823,0.0,0.1557,0.0,0.0007595,200000,196592.35059687876,-3407.649403121235,0.9829617529843938
2020-02-11,0,0.5241323122240724,0.0,0.1607,0.0,0.000771,200000,196592.35059687876,-3407.649403121235,0.9829617529843938
2020-02-12,0,0.635178408069877,0.0,0.1808,0.0,0.0008498,200000,196592.35059687876,-3407.649403121235,0.9829617529843938
2020-02-13,1,1.0176129594300418,-504600.48921170115,0.1948,112802588.13224624,0.0008714,200000,196592.35059687876,-3407.649403121235,0.9829617529843938
2020-02-14,2,1.5501558683586896,0.0,0.2128,0.0,0.0008915,200000,203407.82738123124,3407.82738123124,1.0170391369061562
2020-02-15,2,1.937170353849166,0.0,0.2142,0.0,0.000849,200000,203407.82738123124,3407.82738123124,1.0170391369061562
2020-02-16,0,0.896798300203895,0.0,0.1902,0.0,0.0008258,200000,203407.82738123124,3407.82738123124,1.0170391369061562
2020-02-17,0,0.8030606698960459,0.0,0.1813,0.0,0.0007907,200000,203407.82738123124,3407.82738123124,1.0170391369061562
2020-02-18,0,0.7230579672749767,0.0,0.182,0.0,0.0007956,200000,203407.82738123124,3407.82738123124,1.0170391369061562
2020-02-19,0,0.6920262275249731,0.0,0.1671,0.0,0.0007284,200000,203407.82738123124,3407.82738123124,1.0170391369061562
2020-02-20,0,0.37152413608162144,0.0,0.1628,0.0,0.0007235,200000,203407.82738123124,3407.82738123124,1.0170391369061562
2020-02-21,0,0.6915348569904936,0.0,0.1687,0.0,0.0007332,200000,203407.82738123124,3407.82738123124,1.0170391369061562
2020-02-22,0,-0.13686779891216092,0.0,0.16,0.0,0.0007301,200000,203407.82738123124,3407.82738123124,1.0170391369061562
2020-02-23,0,0.19570111304913512,0.0,0.168,0.0,0.0007501,200000,203407.82738123124,3407.82738123124,1.0170391369061562
2020-02-24,0,0.17028651565457464,0.0,0.1558,0.0,0.0006961,200000,203407.82738123124,3407.82738123124,1.0170391369061562
2020-02-25,0,-0.335512236248386,0.0,0.1418,0.0,0.0006552,200000,203407.82738123124,3407.82738123124,1.0170391369061562
2020-02-26,-2,-1.695365164317084,0.0,0.1209,0.0,0.0006203,200000,203407.82738123124,3407.82738123124,1.0170391369061562
2020-02-27,-2,-1.2268297644965231,0.0,0.1292,0.0,0.000643,200000,203407.82738123124,3407.82738123124,1.0170391369061562
2020-02-28,-1,-1.1104178792402217,785965.3299120219,0.1294,-160390969.39065704,0.0006341,200000,203407.82738123124,3407.82738123124,1.0170391369061562
2020-02-29,-2,-1.212358809861346,0.0,0.1254,0.0,0.0006189,200000,204113.74596614134,4113.745966141345,1.0205687298307067
2020-03-01,0,-0.7417481295936326,0.0,0.1281,0.0,0.0006107,200000,204113.74596614134,4113.745966141345,1.0205687298307067
2020-03-02,0,-0.6586722093157785,0.0,0.135,0.0,0.0006394,200000,204113.74596614134,4113.745966141345,1.0205687298307067
2020-03-03,0,-0.788305898017882,0.0,0.1319,0.0,0.000631,200000,204113.74596614134,4113.745966141345,1.0205687298307067
2020-03-04,0,-0.9974881281084161,0.0,0.1308,0.0,0.0006388,200000,204113.74596614134,4113.745966141345,1.0205687298307067
2020-03-05,0,-0.7508830638466635,0.0,0.135,0.0,0.0006517,200000,204113.74596614134,4113.745966141345,1.0205687298307067
2020-03-06,0,-0.5652133865053982,0.0,0.1355,0.0,0.0006483,200000,204113.74596614134,4113.745966141345,1.0205687298307067
2020-03-07,-1,-1.0664672181442802,797319.3201802396,0.128,-161100036.27951172,0.0006335,200000,204113.74596614134,4113.745966141345,1.0205687298307067
