date,statusList,zscore,BNBUSDT_position,BNBUSDT_price,TFUELUSDT_position,TFUELUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,13.7184,0.0,0.002383,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,13.0105,0.0,0.002297,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,13.6474,0.0,0.002403,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,13.8092,0.0,0.002429,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,14.0532,0.0,0.002412,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,14.9471,0.0,0.002461,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,15.0226,0.0,0.002382,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,14.5334,0.0,0.002511,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,14.3978,0.0,0.002395,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,15.07,0.0,0.002402,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,14.9177,0.0,0.002403,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,15.3366,0.0,0.002452,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,15.1736,0.0,0.002456,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,16.6371,0.0,0.002572,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,17.6655,0.0,0.002567,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,17.0333,0.0,0.002584,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,18.0724,0.0,0.002598,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,17.8088,0.0,0.002591,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,17.388,0.0,0.00246,200000,200000.0,0.0,1.0
2020-01-20,0,0.9822422605102102,0.0,17.3235,0.0,0.002579,200000,200000.0,0.0,1.0
2020-01-21,2,1.7720551766791404,0.0,18.1166,0.0,0.002514,200000,200000.0,0.0,1.0
2020-01-22,2,1.3898700810560296,0.0,17.8344,0.0,0.002515,200000,200000.0,0.0,1.0
2020-01-23,0,0.8035513248174485,0.0,17.0524,0.0,0.002492,200000,200000.0,0.0,1.0
2020-01-24,1,1.0274454268403999,-5842.896206791783,17.1148,40832993.05839118,0.002449,200000,200000.0,0.0,1.0
2020-01-25,1,0.5568748770909944,-5842.896206791783,16.9555,40832993.05839118,0.002489,200000,200702.54635659372,702.5463565937243,1.0035127317829686
2020-01-26,1,0.9118763563419617,-5842.896206791783,17.499,40832993.05839118,0.0025,200000,204327.32336862735,4327.323368627345,1.0216366168431368
2020-01-27,1,0.5197639644491684,-5842.896206791783,17.67,40832993.05839118,0.002574,200000,208348.10010630972,8348.100106309721,1.0417405005315485
2020-01-28,1,0.6659519084858264,-5842.896206791783,18.0662,40832993.05839118,0.0026,200000,211724.71340295876,11724.713402958761,1.0586235670147939
2020-01-29,2,1.3490871249640637,0.0,17.9134,0.0,0.002481,200000,203359.48113287537,3359.4811328753713,1.016797405664377
2020-01-30,2,1.7539020764230755,0.0,18.5555,0.0,0.002498,200000,203359.48113287537,3359.4811328753713,1.016797405664377
2020-01-31,2,1.4393844487724547,0.0,18.2644,0.0,0.002482,200000,203359.48113287537,3359.4811328753713,1.016797405664377
2020-02-01,2,1.2489019357818478,0.0,18.2752,0.0,0.002496,200000,203359.48113287537,3359.4811328753713,1.016797405664377
2020-02-02,1,1.1520272298409018,-5516.089933242431,18.4333,40221416.363306046,0.002528,200000,203359.48113287537,3359.4811328753713,1.016797405664377
2020-02-03,1,0.8572506279044371,-5516.089933242431,18.46,40221416.363306046,0.002553,200000,204512.29614317563,4512.296143175627,1.022561480715878
2020-02-04,0,-1.7042898492213108,0.0,18.1778,0.0,0.002754,200000,192860.08005682478,-7139.91994317522,0.9643004002841239
2020-02-05,-2,-1.4304773177427683,0.0,19.262,0.0,0.002882,200000,192860.08005682478,-7139.91994317522,0.9643004002841239
2020-02-06,0,-0.7622542194708756,0.0,20.6675,0.0,0.003024,200000,192860.08005682478,-7139.91994317522,0.9643004002841239
2020-02-07,0,-0.5285725890169957,0.0,22.0555,0.0,0.0032,200000,192860.08005682478,-7139.91994317522,0.9643004002841239
2020-02-08,0,0.6651031981037866,0.0,21.7888,0.0,0.003031,200000,192860.08005682478,-7139.91994317522,0.9643004002841239
2020-02-09,1,1.072992508543826,-3955.2928641678586,24.38,28931905.19904362,0.003333,200000,192860.08005682478,-7139.91994317522,0.9643004002841239
2020-02-10,1,0.8176506901179613,-3955.2928641678586,25.1465,28931905.19904362,0.003465,200000,199710.82352348318,-289.1764765168191,0.9985541176174159
2020-02-11,1,0.6006555158417564,-3955.2928641678586,25.6963,28931905.19904362,0.003563,200000,204720.77024970896,4720.770249708963,1.0236038512485448
2020-02-12,0,0.1072123535342999,0.0,26.4243,0.0,0.00372,200000,189749.23794701326,-10250.762052986742,0.9487461897350663
2020-02-13,-2,-2.038846031674504,0.0,25.4579,0.0,0.003918,200000,189749.23794701326,-10250.762052986742,0.9487461897350663
2020-02-14,0,-0.6874279871206243,0.0,26.3547,0.0,0.003836,200000,189749.23794701326,-10250.762052986742,0.9487461897350663
2020-02-15,0,-0.15490591333278747,0.0,24.2576,0.0,0.003458,200000,189749.23794701326,-10250.762052986742,0.9487461897350663
2020-02-16,0,0.1988626492730097,0.0,23.3193,0.0,0.003274,200000,189749.23794701326,-10250.762052986742,0.9487461897350663
2020-02-17,0,-0.4065042115348697,0.0,23.4555,0.0,0.003369,200000,189749.23794701326,-10250.762052986742,0.9487461897350663
2020-02-18,0,0.11918953304693027,0.0,24.0821,0.0,0.003394,200000,189749.23794701326,-10250.762052986742,0.9487461897350663
2020-02-19,0,0.7481447783137489,0.0,22.3709,0.0,0.003088,200000,189749.23794701326,-10250.762052986742,0.9487461897350663
2020-02-20,0,0.17214323400525067,0.0,22.1626,0.0,0.003129,200000,189749.23794701326,-10250.762052986742,0.9487461897350663
2020-02-21,0,0.21764461622088002,0.0,22.1888,0.0,0.003134,200000,189749.23794701326,-10250.762052986742,0.9487461897350663
2020-02-22,0,-0.20874465860722966,0.0,21.9689,0.0,0.003154,200000,189749.23794701326,-10250.762052986742,0.9487461897350663
2020-02-23,0,0.1581751079839784,0.0,22.8452,0.0,0.003246,200000,189749.23794701326,-10250.762052986742,0.9487461897350663
2020-02-24,0,-0.0557184597286301,0.0,22.0965,0.0,0.003151,200000,189749.23794701326,-10250.762052986742,0.9487461897350663
2020-02-25,0,-0.9667032597893898,0.0,20.3193,0.0,0.002966,200000,189749.23794701326,-10250.762052986742,0.9487461897350663
2020-02-26,2,1.3186643348036935,0.0,18.7441,0.0,0.002565,200000,189749.23794701326,-10250.762052986742,0.9487461897350663
2020-02-27,0,0.2906658384853528,0.0,19.2,0.0,0.002696,200000,189749.23794701326,-10250.762052986742,0.9487461897350663
2020-02-28,-1,-1.030695995979242,4997.662163186856,18.9838,-34250764.972385064,0.00277,200000,189749.23794701326,-10250.762052986742,0.9487461897350663
2020-02-29,0,0.32554080686624426,0.0,19.23,0.0,0.002709,200000,186429.51685912115,-13570.483140878845,0.9321475842956057
2020-03-01,0,-0.3317424870267852,0.0,18.902,0.0,0.002713,200000,186429.51685912115,-13570.483140878845,0.9321475842956057
2020-03-02,2,1.4750961017372446,0.0,19.9289,0.0,0.002732,200000,186429.51685912115,-13570.483140878845,0.9321475842956057
2020-03-03,0,-0.270330237229442,0.0,19.6882,0.0,0.002823,200000,186429.51685912115,-13570.483140878845,0.9321475842956057
2020-03-04,-2,-1.288702174186949,0.0,19.95,0.0,0.002906,200000,186429.51685912115,-13570.483140878845,0.9321475842956057
2020-03-05,-1,-1.1078505125304994,4493.1003475123425,20.7462,-30968358.28224604,0.00301,200000,186429.51685912115,-13570.483140878845,0.9321475842956057
2020-03-06,0,0.6959743599511395,0.0,21.3389,0.0,0.002987,200000,183054.18404265895,-16945.815957341052,0.9152709202132947
2020-03-07,0,-0.36496382904036634,0.0,20.25,0.0,0.002896,200000,183054.18404265895,-16945.815957341052,0.9152709202132947
2020-03-08,-2,-1.8885255399220109,0.0,16.894,0.0,0.002504,200000,183054.18404265895,-16945.815957341052,0.9152709202132947
2020-03-09,-2,-2.4869768235018714,0.0,16.5888,0.0,0.002535,200000,183054.18404265895,-16945.815957341052,0.9152709202132947
2020-03-10,-1,-1.0902786373155666,5426.368019477532,16.8671,-36802208.29164836,0.002487,200000,183054.18404265895,-16945.815957341052,0.9152709202132947
2020-03-11,-1,-0.34178266818499947,5426.368019477532,16.5705,-36802208.29164836,0.002398,200000,178169.3267501252,-21830.673249874788,0.890846633750626
2020-03-12,0,3.636896440256443,0.0,9.2566,0.0,0.001116,200000,173895.7302870428,-26104.269712957204,0.869478651435214
2020-03-13,2,2.061167881679541,0.0,10.9204,0.0,0.001383,200000,173895.7302870428,-26104.269712957204,0.869478651435214
2020-03-14,0,-0.5334310802778339,0.0,10.1487,0.0,0.00148,200000,173895.7302870428,-26104.269712957204,0.869478651435214
2020-03-15,-2,-1.5193027067982205,0.0,10.3898,0.0,0.001626,200000,173895.7302870428,-26104.269712957204,0.869478651435214
2020-03-16,-2,-1.5906279109032613,0.0,9.4285,0.0,0.001501,200000,173895.7302870428,-26104.269712957204,0.869478651435214
2020-03-17,0,-0.7002222401107628,0.0,10.2576,0.0,0.001541,200000,173895.7302870428,-26104.269712957204,0.869478651435214
2020-03-18,0,0.13772793340883327,0.0,10.3866,0.0,0.001476,200000,173895.7302870428,-26104.269712957204,0.869478651435214
2020-03-19,0,0.3226578540592328,0.0,12.2597,0.0,0.001718,200000,173895.7302870428,-26104.269712957204,0.869478651435214
2020-03-20,0,-0.741127176079264,0.0,11.9147,0.0,0.0018,200000,173895.7302870428,-26104.269712957204,0.869478651435214
2020-03-21,0,-0.06890151507852219,0.0,12.1,0.0,0.001746,200000,173895.7302870428,-26104.269712957204,0.869478651435214
2020-03-22,0,0.19009788806911462,0.0,11.167,0.0,0.001587,200000,173895.7302870428,-26104.269712957204,0.869478651435214
2020-03-23,0,0.5424712438296883,0.0,12.1887,0.0,0.00169,200000,173895.7302870428,-26104.269712957204,0.869478651435214
2020-03-24,1,1.060404249999054,-6997.252948939433,12.426,52473062.850646585,0.001657,200000,173895.7302870428,-26104.269712957204,0.869478651435214
2020-03-25,1,0.9090659646300184,-6997.252948939433,12.3251,52473062.850646585,0.001651,200000,172874.8690873909,-27125.130912609107,0.8643743454369545
2020-03-26,1,1.191252119450193,-6997.252948939433,13.199,52473062.850646585,0.001725,200000,182872.77509041692,-17127.224909583078,0.9143638754520846
2020-03-27,1,0.41632829189961446,-6997.252948939433,12.3354,52473062.850646585,0.001696,200000,175308.22862104408,-24691.77137895592,0.8765411431052204
2020-03-28,0,0.1976505095894806,0.0,12.1888,0.0,0.001697,200000,170137.05937352846,-29862.940626471536,0.8506852968676424
2020-03-29,0,0.0978714057009807,0.0,11.3008,0.0,0.001578,200000,170137.05937352846,-29862.940626471536,0.8506852968676424
2020-03-30,0,0.0406954444823601,0.0,12.1365,0.0,0.001697,200000,170137.05937352846,-29862.940626471536,0.8506852968676424
2020-03-31,0,0.17997167484667856,0.0,12.5451,0.0,0.001734,200000,170137.05937352846,-29862.940626471536,0.8506852968676424
2020-04-01,0,0.5273383422826978,0.0,12.72,0.0,0.00174,200000,170137.05937352846,-29862.940626471536,0.8506852968676424
2020-04-02,1,1.077701287739036,-6535.387865246242,13.0166,48833828.752447896,0.001742,200000,170137.05937352846,-29862.940626471536,0.8506852968676424
2020-04-03,2,1.576686288847324,0.0,13.3615,0.0,0.001727,200000,173123.62207953862,-26876.377920461382,0.8656181103976931
2020-04-04,2,1.8593964767707696,0.0,13.7606,0.0,0.001737,200000,173123.62207953862,-26876.377920461382,0.8656181103976931
2020-04-05,2,1.9231074124343315,0.0,13.6888,0.0,0.001715,200000,173123.62207953862,-26876.377920461382,0.8656181103976931
2020-04-06,2,2.201891960855888,0.0,15.1989,0.0,0.00185,200000,173123.62207953862,-26876.377920461382,0.8656181103976931
2020-04-07,2,1.8719779474217169,0.0,14.7266,0.0,0.001793,200000,173123.62207953862,-26876.377920461382,0.8656181103976931
2020-04-08,2,1.584159502322947,0.0,15.0888,0.0,0.001843,200000,173123.62207953862,-26876.377920461382,0.8656181103976931
2020-04-09,2,1.5230627460471928,0.0,15.0096,0.0,0.001828,200000,173123.62207953862,-26876.377920461382,0.8656181103976931
2020-04-10,2,1.3910291121845118,0.0,13.72,0.0,0.00167,200000,173123.62207953862,-26876.377920461382,0.8656181103976931
2020-04-11,2,1.4058639699009328,0.0,13.807,0.0,0.001666,200000,173123.62207953862,-26876.377920461382,0.8656181103976931
2020-04-12,2,1.4078797563268488,0.0,14.2808,0.0,0.001708,200000,173123.62207953862,-26876.377920461382,0.8656181103976931
2020-04-13,2,2.29136992192648,0.0,15.0277,0.0,0.001668,200000,173123.62207953862,-26876.377920461382,0.8656181103976931
2020-04-14,2,1.9741697924898447,0.0,15.6148,0.0,0.001727,200000,173123.62207953862,-26876.377920461382,0.8656181103976931
2020-04-15,2,1.7281739131473002,0.0,14.5755,0.0,0.001609,200000,173123.62207953862,-26876.377920461382,0.8656181103976931
2020-04-16,2,1.965521554071164,0.0,15.7394,0.0,0.001669,200000,173123.62207953862,-26876.377920461382,0.8656181103976931
2020-04-17,2,1.8356917342101793,0.0,15.64,0.0,0.001641,200000,173123.62207953862,-26876.377920461382,0.8656181103976931
2020-04-18,2,1.8978882543890376,0.0,16.6137,0.0,0.001698,200000,173123.62207953862,-26876.377920461382,0.8656181103976931
2020-04-19,2,1.7143270503676509,0.0,16.0683,0.0,0.001639,200000,173123.62207953862,-26876.377920461382,0.8656181103976931
