date,statusList,zscore,ETCUSDT_position,ETCUSDT_price,HOTUSDT_position,HOTUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,4.5035,0.0,0.0006275,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,4.2283,0.0,0.0006035,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,4.5768,0.0,0.0006794,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,4.7598,0.0,0.0006796,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,4.8784,0.0,0.0006708,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,5.0333,0.0,0.000703,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,4.8344,0.0,0.0006815,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,4.9521,0.0,0.0006721,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,5.1848,0.0,0.000671,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,5.36,0.0,0.0006865,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,5.5704,0.0,0.00067,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,5.5765,0.0,0.0006813,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,5.4677,0.0,0.000674,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,6.7895,0.0,0.0007056,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,7.9911,0.0,0.0007118,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,8.414,0.0,0.0006959,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,9.4792,0.0,0.0007304,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,8.2944,0.0,0.0007145,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,8.5268,0.0,0.0006752,200000,200000.0,0.0,1.0
2020-01-20,2,1.6582748256174216,0.0,8.6347,0.0,0.0006756,200000,200000.0,0.0,1.0
2020-01-21,2,1.6923884137286633,0.0,8.943,0.0,0.0006651,200000,200000.0,0.0,1.0
2020-01-22,2,1.6657921634436643,0.0,9.3457,0.0,0.0006688,200000,200000.0,0.0,1.0
2020-01-23,2,1.2763790785238345,0.0,8.4421,0.0,0.0006333,200000,200000.0,0.0,1.0
2020-01-24,2,1.2342499026983755,0.0,8.6118,0.0,0.0006346,200000,200000.0,0.0,1.0
2020-01-25,1,1.100967130950813,-11909.582450039303,8.3966,161030595.8132045,0.000621,200000,200000.0,0.0,1.0
2020-01-26,2,1.325591604296466,0.0,9.19,0.0,0.0006347,200000,207242.9435532203,7242.943553220306,1.0362147177661016
2020-01-27,2,1.6888920947277857,0.0,10.4161,0.0,0.0006521,200000,207242.9435532203,7242.943553220306,1.0362147177661016
2020-01-28,2,1.975711371033591,0.0,11.3697,0.0,0.000648,200000,207242.9435532203,7242.943553220306,1.0362147177661016
2020-01-29,2,2.0517425592913834,0.0,12.2231,0.0,0.0006531,200000,207242.9435532203,7242.943553220306,1.0362147177661016
