date,statusList,zscore,LTCUSDT_position,LTCUSDT_price,THETAUSDT_position,THETAUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,41.62,0.0,0.08656,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,39.43,0.0,0.08443,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,42.23,0.0,0.08771,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,42.78,0.0,0.09394,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,43.3,0.0,0.09421,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,45.8,0.0,0.09987,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,46.3,0.0,0.09608,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,45.35,0.0,0.09873,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,44.74,0.0,0.09294,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,49.06,0.0,0.09509,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,49.3,0.0,0.09437,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,51.43,0.0,0.09589,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,49.6,0.0,0.09703,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,58.39,0.0,0.10598,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,58.16,0.0,0.10438,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,57.56,0.0,0.10368,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,61.02,0.0,0.11193,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,59.32,0.0,0.10876,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,57.6,0.0,0.1126,200000,200000.0,0.0,1.0
2020-01-20,0,0.4201406821715589,0.0,57.19,0.0,0.10998,200000,200000.0,0.0,1.0
2020-01-21,0,0.28894900197569984,0.0,57.57,0.0,0.11136,200000,200000.0,0.0,1.0
2020-01-22,0,-0.5078525918548258,0.0,58.33,0.0,0.119,200000,200000.0,0.0,1.0
2020-01-23,0,-0.19646134428629583,0.0,54.52,0.0,0.10858,200000,200000.0,0.0,1.0
2020-01-24,0,0.19532826359350783,0.0,54.38,0.0,0.10494,200000,200000.0,0.0,1.0
2020-01-25,0,0.2546570758383252,0.0,53.25,0.0,0.10189,200000,200000.0,0.0,1.0
2020-01-26,1,1.1203665936257838,-1778.0938833570412,56.24,978282.1365681862,0.10222,200000,200000.0,0.0,1.0
2020-01-27,2,1.3367848716522852,0.0,58.55,0.0,0.10459,200000,201788.86820688815,1788.8682068881462,1.0089443410344408
2020-01-28,1,1.08049503262699,-1667.1254808896904,60.52,922589.9241353701,0.10936,200000,201788.86820688815,1788.8682068881462,1.0089443410344408
2020-01-29,2,1.7866832663384942,0.0,59.8,0.0,0.10434,200000,205219.93927980712,5219.93927980712,1.0260996963990356
2020-01-30,2,3.2524769147920134,0.0,67.98,0.0,0.10431,200000,205219.93927980712,5219.93927980712,1.0260996963990356
2020-01-31,2,2.302267065511203,0.0,68.0,0.0,0.10638,200000,205219.93927980712,5219.93927980712,1.0260996963990356
2020-02-01,2,2.4178833936437742,0.0,70.72,0.0,0.10527,200000,205219.93927980712,5219.93927980712,1.0260996963990356
2020-02-02,2,1.9045233030501805,0.0,69.93,0.0,0.10545,200000,205219.93927980712,5219.93927980712,1.0260996963990356
2020-02-03,2,1.3740634463223558,0.0,69.65,0.0,0.10829,200000,205219.93927980712,5219.93927980712,1.0260996963990356
2020-02-04,0,-0.11519613518125438,0.0,68.07,0.0,0.122,200000,205219.93927980712,5219.93927980712,1.0260996963990356
2020-02-05,0,0.4941536783395276,0.0,72.59,0.0,0.122,200000,205219.93927980712,5219.93927980712,1.0260996963990356
2020-02-06,0,0.40693421798827717,0.0,73.6,0.0,0.12425,200000,205219.93927980712,5219.93927980712,1.0260996963990356
2020-02-07,0,0.43895382667126737,0.0,74.3,0.0,0.1245,200000,205219.93927980712,5219.93927980712,1.0260996963990356
2020-02-08,2,1.3395589675965394,0.0,76.56,0.0,0.1164,200000,205219.93927980712,5219.93927980712,1.0260996963990356
2020-02-09,0,0.7342991275422396,0.0,77.0,0.0,0.12284,200000,205219.93927980712,5219.93927980712,1.0260996963990356
2020-02-10,0,-0.3560223055749006,0.0,74.02,0.0,0.13064,200000,205219.93927980712,5219.93927980712,1.0260996963990356
2020-02-11,0,0.09274985503728561,0.0,76.46,0.0,0.12814,200000,205219.93927980712,5219.93927980712,1.0260996963990356
2020-02-12,0,-0.19462951897846498,0.0,81.17,0.0,0.13827,200000,205219.93927980712,5219.93927980712,1.0260996963990356
2020-02-13,-2,-2.3947572702306816,0.0,80.55,0.0,0.17192,200000,205219.93927980712,5219.93927980712,1.0260996963990356
2020-02-14,-2,-1.31575741916004,0.0,83.14,0.0,0.15827,200000,205219.93927980712,5219.93927980712,1.0260996963990356
2020-02-15,-2,-1.3121459673325162,0.0,76.7,0.0,0.14694,200000,205219.93927980712,5219.93927980712,1.0260996963990356
2020-02-16,0,-0.6903575769166497,0.0,74.67,0.0,0.13454,200000,205219.93927980712,5219.93927980712,1.0260996963990356
2020-02-17,-1,-1.025086645237677,1397.7655583694805,73.41,-748104.18226818,0.13716,200000,205219.93927980712,5219.93927980712,1.0260996963990356
2020-02-18,-1,-0.7822006032208229,1397.7655583694805,77.25,-748104.18226818,0.14134,200000,213714.4345058269,13714.43450582691,1.0685721725291346
2020-02-19,-1,-0.5130748438876168,1397.7655583694805,70.61,-748104.18226818,0.12664,200000,193436.13971891132,-6563.8602810886805,0.9671806985945566
2020-02-20,-1,-1.0290353430889583,1397.7655583694805,69.4,-748104.18226818,0.13247,200000,196106.29077590775,-3893.70922409225,0.9805314538795388
2020-02-21,0,-0.024169111928324404,0.0,73.25,0.0,0.12776,200000,198411.40245582536,-1588.5975441746414,0.9920570122791268
2020-02-22,0,0.2609568093666438,0.0,74.79,0.0,0.12846,200000,198411.40245582536,-1588.5975441746414,0.9920570122791268
2020-02-23,0,-0.10622782510892267,0.0,79.52,0.0,0.14149,200000,198411.40245582536,-1588.5975441746414,0.9920570122791268
2020-02-24,-2,-1.2553908347569034,0.0,75.59,0.0,0.14836,200000,198411.40245582536,-1588.5975441746414,0.9920570122791268
