date,statusList,zscore,ZECUSDT_position,ZECUSDT_price,VETUSDT_position,VETUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,28.07,0.0,0.005358,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,27.02,0.0,0.005094,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,28.41,0.0,0.005327,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,29.91,0.0,0.00562,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,30.81,0.0,0.005465,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,32.86,0.0,0.00573,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,32.24,0.0,0.005578,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,30.88,0.0,0.005492,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,30.83,0.0,0.005319,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,33.69,0.0,0.005454,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,34.88,0.0,0.005526,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,35.52,0.0,0.005523,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,38.32,0.0,0.005407,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,43.83,0.0,0.005994,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,54.97,0.0,0.006003,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,50.8,0.0,0.005885,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,61.54,0.0,0.006392,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,51.16,0.0,0.006239,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,51.56,0.0,0.005862,200000,200000.0,0.0,1.0
2020-01-20,2,1.5608043907804567,0.0,53.68,0.0,0.005814,200000,200000.0,0.0,1.0
2020-01-21,2,1.2278040554702607,0.0,53.26,0.0,0.005964,200000,200000.0,0.0,1.0
2020-01-22,1,1.0963415337021882,-1915.3418885271021,52.21,17056114.617090225,0.005863,200000,200000.0,0.0,1.0
2020-01-23,1,0.9601811190594517,-1915.3418885271021,49.6,17056114.617090225,0.005607,200000,190634.59232896916,-9365.407671030844,0.9531729616448458
2020-01-24,1,0.81197612844106,-1915.3418885271021,48.82,17056114.617090225,0.00558,200000,188680.1105612566,-11319.889438743412,0.943400552806283
2020-01-25,1,0.6760790810293543,-1915.3418885271021,48.72,17056114.617090225,0.005623,200000,189221.98930093873,-10778.01069906127,0.9461099465046936
2020-01-26,1,1.0628641504804779,-1915.3418885271021,53.65,17056114.617090225,0.00573,200000,200489.629075406,489.6290754060028,1.00244814537703
2020-01-27,1,1.1297712942281872,-1915.3418885271021,55.18,17056114.617090225,0.005748,200000,203727.1122279601,3727.1122279601113,1.0186355611398006
2020-01-28,1,1.1801007783100004,-1915.3418885271021,56.74,17056114.617090225,0.0058,200000,207601.9635341511,7601.9635341510875,1.0380098176707555
2020-01-29,2,1.7951624064188973,0.0,61.74,0.0,0.005733,200000,220470.503097885,20470.503097884997,1.102352515489425
2020-01-30,2,2.188044233417514,0.0,66.3,0.0,0.005687,200000,220470.503097885,20470.503097884997,1.102352515489425
2020-01-31,2,1.896490541193911,0.0,66.51,0.0,0.005766,200000,220470.503097885,20470.503097884997,1.102352515489425
2020-02-01,2,1.4133018135463675,0.0,66.03,0.0,0.005997,200000,220470.503097885,20470.503097884997,1.102352515489425
2020-02-02,1,1.0429334031008388,-1661.1701559515145,66.36,17697102.512272034,0.006229,200000,220470.503097885,20470.503097884997,1.102352515489425
2020-02-03,1,0.7463128543153835,-1661.1701559515145,65.52,17697102.512272034,0.006304,200000,220402.4028553061,20402.402855306107,1.1020120142765306
2020-02-04,0,0.18554575113852753,0.0,64.34,0.0,0.006532,200000,211752.71732164454,11752.717321644537,1.0587635866082228
2020-02-05,1,1.178952057684346,-1487.236390796773,71.19,16359140.707790831,0.006472,200000,211752.71732164454,11752.717321644537,1.0587635866082228
2020-02-06,1,0.48176823096063315,-1487.236390796773,70.14,16359140.707790831,0.0068,200000,215556.9172634633,15556.917263463314,1.0777845863173166
2020-02-07,0,0.13040233115402833,0.0,68.38,0.0,0.006817,200000,201929.67951931778,1929.6795193177823,1.0096483975965889
2020-02-08,0,0.5408103568281712,0.0,70.02,0.0,0.006669,200000,201929.67951931778,1929.6795193177823,1.0096483975965889
2020-02-09,0,0.4308129273349249,0.0,71.33,0.0,0.006825,200000,201929.67951931778,1929.6795193177823,1.0096483975965889
2020-02-10,0,0.639797187668701,0.0,69.77,0.0,0.00651,200000,201929.67951931778,1929.6795193177823,1.0096483975965889
2020-02-11,0,-0.5450011220813822,0.0,72.68,0.0,0.007485,200000,201929.67951931778,1929.6795193177823,1.0096483975965889
2020-02-12,0,-0.5417679375750122,0.0,73.12,0.0,0.00747,200000,201929.67951931778,1929.6795193177823,1.0096483975965889
2020-02-13,-2,-1.6417337516241535,0.0,72.01,0.0,0.008059,200000,201929.67951931778,1929.6795193177823,1.0096483975965889
2020-02-14,-2,-1.8683969011013837,0.0,72.92,0.0,0.008301,200000,201929.67951931778,1929.6795193177823,1.0096483975965889
2020-02-15,-2,-1.8793153572249488,0.0,64.46,0.0,0.00747,200000,201929.67951931778,1929.6795193177823,1.0096483975965889
2020-02-16,-2,-1.8297486893364647,0.0,60.0,0.0,0.007081,200000,201929.67951931778,1929.6795193177823,1.0096483975965889
2020-02-17,0,-0.6663606916168506,0.0,64.2,0.0,0.006743,200000,201929.67951931778,1929.6795193177823,1.0096483975965889
2020-02-18,0,-0.8072705593820534,0.0,65.74,0.0,0.007058,200000,201929.67951931778,1929.6795193177823,1.0096483975965889
2020-02-19,0,-0.44756400246221256,0.0,62.1,0.0,0.006484,200000,201929.67951931778,1929.6795193177823,1.0096483975965889
2020-02-20,0,-0.6231481098684124,0.0,60.79,0.0,0.00649,200000,201929.67951931778,1929.6795193177823,1.0096483975965889
2020-02-21,0,-0.6566700899402413,0.0,61.56,0.0,0.006633,200000,201929.67951931778,1929.6795193177823,1.0096483975965889
2020-02-22,0,-0.672710864366097,0.0,60.73,0.0,0.006593,200000,201929.67951931778,1929.6795193177823,1.0096483975965889
2020-02-23,0,-0.7410070687779486,0.0,63.32,0.0,0.006955,200000,201929.67951931778,1929.6795193177823,1.0096483975965889
2020-02-24,0,-0.7612921853398137,0.0,60.7,0.0,0.006713,200000,201929.67951931778,1929.6795193177823,1.0096483975965889
2020-02-25,0,-0.4852711635754132,0.0,57.06,0.0,0.006211,200000,201929.67951931778,1929.6795193177823,1.0096483975965889
2020-02-26,0,-0.3294976762866003,0.0,51.33,0.0,0.005554,200000,201929.67951931778,1929.6795193177823,1.0096483975965889
