date,statusList,zscore,FETUSDT_position,FETUSDT_price,QTUMUSDT_position,QTUMUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,0.03832,0.0,1.603,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,0.03642,0.0,1.533,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,0.03906,0.0,1.629,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,0.04027,0.0,1.642,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,0.03847,0.0,1.631,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,0.03949,0.0,1.747,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,0.0372,0.0,1.735,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,0.03686,0.0,1.683,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,0.0374,0.0,1.634,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,0.03619,0.0,1.734,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,0.03779,0.0,1.74,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,0.03987,0.0,1.754,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,0.04063,0.0,1.701,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,0.03899,0.0,1.915,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,0.04001,0.0,1.974,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,0.03962,0.0,1.932,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,0.0422,0.0,2.092,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,0.04109,0.0,2.035,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,0.03771,0.0,1.931,200000,200000.0,0.0,1.0
2020-01-20,-2,-1.4852104555786987,0.0,0.03734,0.0,1.923,200000,200000.0,0.0,1.0
2020-01-21,-2,-1.2957743600775824,0.0,0.03802,0.0,1.95,200000,200000.0,0.0,1.0
2020-01-22,-1,-1.0035902577479572,2530364.3724696357,0.03952,-50150.451354062185,1.994,200000,200000.0,0.0,1.0
2020-01-23,-1,-0.8285953627300615,2530364.3724696357,0.03775,-50150.451354062185,1.89,200000,190305.60811990628,-9694.391880093724,0.9515280405995313
2020-01-24,-1,-0.3557672145332137,2530364.3724696357,0.03893,-50150.451354062185,1.89,200000,193291.43807942042,-6708.561920579581,0.9664571903971021
2020-01-25,0,0.2955717720513864,0.0,0.03989,0.0,1.867,200000,192694.65786022032,-7305.342139779677,0.9634732893011017
2020-01-26,0,-0.6174496044967179,0.0,0.03889,0.0,1.935,200000,192694.65786022032,-7305.342139779677,0.9634732893011017
2020-01-27,-1,-1.007681062949174,2475522.326056273,0.03892,-48246.03351532807,1.997,200000,192694.65786022032,-7305.342139779677,0.9634732893011017
2020-01-28,-2,-1.659547959938578,0.0,0.03767,0.0,2.052,200000,198442.5926111337,-1557.407388866297,0.9922129630556685
2020-01-29,-2,-1.7972920068869092,0.0,0.03698,0.0,2.066,200000,198442.5926111337,-1557.407388866297,0.9922129630556685
2020-01-30,-2,-1.7380885767186651,0.0,0.0383,0.0,2.176,200000,198442.5926111337,-1557.407388866297,0.9922129630556685
2020-01-31,-1,-1.139599207524225,2550675.9975724127,0.0389,-46692.37473203146,2.125,200000,198442.5926111337,-1557.407388866297,0.9922129630556685
2020-02-01,-2,-1.488899168441041,0.0,0.03862,0.0,2.193,200000,202331.8633722321,2331.8633722320956,1.0116593168611605
2020-02-02,-2,-1.7368225220112763,0.0,0.0394,0.0,2.262,200000,202331.8633722321,2331.8633722320956,1.0116593168611605
2020-02-03,-1,-1.1243924898595252,2460859.442620191,0.04111,-44254.56329226424,2.286,200000,202331.8633722321,2331.8633722320956,1.0116593168611605
2020-02-04,-1,-1.1192690806908392,2460859.442620191,0.04117,-44254.56329226424,2.307,200000,203408.86076792685,3408.860767926846,1.0170443038396342
2020-02-05,-2,-1.757169397814251,0.0,0.04095,0.0,2.442,200000,209629.31275664456,9629.312756644562,1.0481465637832228
2020-02-06,0,-0.39997894079453805,0.0,0.04684,0.0,2.544,200000,209629.31275664456,9629.312756644562,1.0481465637832228
2020-02-07,0,-0.5380293621599666,0.0,0.04669,0.0,2.572,200000,209629.31275664456,9629.312756644562,1.0481465637832228
2020-02-08,-1,-1.1594068909095916,2338047.208974398,0.04483,-40313.3293762778,2.6,200000,209629.31275664456,9629.312756644562,1.0481465637832228
2020-02-09,-1,-0.2416886969982752,2338047.208974398,0.04946,-40313.3293762778,2.697,200000,224364.86428369494,24364.864283694944,1.1218243214184747
2020-02-10,0,0.0722646145955333,0.0,0.04853,0.0,2.597,200000,200857.59809531044,857.5980953104445,1.0042879904765523
2020-02-11,0,0.3028233043874013,0.0,0.05124,0.0,2.709,200000,200857.59809531044,857.5980953104445,1.0042879904765523
2020-02-12,0,0.3469320118473527,0.0,0.05301,0.0,2.805,200000,200857.59809531044,857.5980953104445,1.0042879904765523
2020-02-13,0,0.6100216644483716,0.0,0.05431,0.0,2.849,200000,200857.59809531044,857.5980953104445,1.0042879904765523
2020-02-14,0,-0.4497505276880509,0.0,0.05425,0.0,3.032,200000,200857.59809531044,857.5980953104445,1.0042879904765523
2020-02-15,0,0.5299366248582464,0.0,0.04983,0.0,2.69,200000,200857.59809531044,857.5980953104445,1.0042879904765523
2020-02-16,0,0.8673085288110591,0.0,0.0465,0.0,2.493,200000,200857.59809531044,857.5980953104445,1.0042879904765523
2020-02-17,0,0.20606946280885874,0.0,0.0458,0.0,2.51,200000,200857.59809531044,857.5980953104445,1.0042879904765523
2020-02-18,0,0.007541405114569756,0.0,0.04787,0.0,2.639,200000,200857.59809531044,857.5980953104445,1.0042879904765523
2020-02-19,-2,-1.4030467585235897,0.0,0.04213,0.0,2.443,200000,200857.59809531044,857.5980953104445,1.0042879904765523
2020-02-20,-2,-1.3656443150022513,0.0,0.04101,0.0,2.389,200000,200857.59809531044,857.5980953104445,1.0042879904765523
2020-02-21,0,-0.9720449490572418,0.0,0.04205,0.0,2.416,200000,200857.59809531044,857.5980953104445,1.0042879904765523
2020-02-22,0,-0.7228040947392661,0.0,0.04199,0.0,2.388,200000,200857.59809531044,857.5980953104445,1.0042879904765523
2020-02-23,0,-0.8937032532087279,0.0,0.04342,0.0,2.491,200000,200857.59809531044,857.5980953104445,1.0042879904765523
2020-02-24,-1,-1.1194211632996387,2473006.625157725,0.04061,-42590.66965549415,2.358,200000,200857.59809531044,857.5980953104445,1.0042879904765523
2020-02-25,-2,-2.6759592984920495,0.0,0.03761,0.0,2.384,200000,209383.97538182646,9383.975381826458,1.0469198769091324
2020-02-26,-2,-2.3162377100821923,0.0,0.03268,0.0,2.097,200000,209383.97538182646,9383.975381826458,1.0469198769091324
2020-02-27,-2,-2.0449893717527843,0.0,0.03278,0.0,2.123,200000,209383.97538182646,9383.975381826458,1.0469198769091324
2020-02-28,-2,-1.6552188503397702,0.0,0.03242,0.0,2.073,200000,209383.97538182646,9383.975381826458,1.0469198769091324
2020-02-29,-2,-1.2995328982782617,0.0,0.03215,0.0,2.025,200000,209383.97538182646,9383.975381826458,1.0469198769091324
2020-03-01,-1,-1.1285155956041915,3239232.2924168697,0.03232,-51623.26809216628,2.028,200000,209383.97538182646,9383.975381826458,1.0469198769091324
2020-03-02,-1,-1.0070991786211196,3239232.2924168697,0.03483,-51623.26809216628,2.182,200000,225464.4317219864,25464.431721986388,1.127322158609932
2020-03-03,-1,-1.0137064363807087,3239232.2924168697,0.03397,-51623.26809216628,2.145,200000,220768.63103109773,20768.631031097728,1.1038431551554886
2020-03-04,0,0.04469418031087961,0.0,0.03653,0.0,2.152,200000,202148.09267418005,2148.0926741800504,1.0107404633709003
2020-03-05,0,-0.26515954213527815,0.0,0.03638,0.0,2.194,200000,202148.09267418005,2148.0926741800504,1.0107404633709003
2020-03-06,0,-0.692533287123342,0.0,0.03714,0.0,2.314,200000,202148.09267418005,2148.0926741800504,1.0107404633709003
2020-03-07,0,-0.676242374468354,0.0,0.03539,0.0,2.212,200000,202148.09267418005,2148.0926741800504,1.0107404633709003
2020-03-08,0,-0.7809862932350388,0.0,0.02999,0.0,1.893,200000,202148.09267418005,2148.0926741800504,1.0107404633709003
2020-03-09,-2,-1.9596098594823732,0.0,0.02859,0.0,1.943,200000,202148.09267418005,2148.0926741800504,1.0107404633709003
2020-03-10,-2,-1.6769443400836341,0.0,0.02883,0.0,1.954,200000,202148.09267418005,2148.0926741800504,1.0107404633709003
2020-03-11,-2,-1.6674534398103003,0.0,0.0283,0.0,1.943,200000,202148.09267418005,2148.0926741800504,1.0107404633709003
2020-03-12,-2,-3.5463139153730006,0.0,0.01071,0.0,1.039,200000,202148.09267418005,2148.0926741800504,1.0107404633709003
2020-03-13,-2,-2.762816329996449,0.0,0.01262,0.0,1.258,200000,202148.09267418005,2148.0926741800504,1.0107404633709003
2020-03-14,-2,-2.4096994882069085,0.0,0.01116,0.0,1.173,200000,202148.09267418005,2148.0926741800504,1.0107404633709003
2020-03-15,-2,-2.0343734306185395,0.0,0.01147,0.0,1.209,200000,202148.09267418005,2148.0926741800504,1.0107404633709003
2020-03-16,-2,-1.7678639434742207,0.0,0.00987,0.0,1.047,200000,202148.09267418005,2148.0926741800504,1.0107404633709003
2020-03-17,-2,-1.408573457259353,0.0,0.01088,0.0,1.097,200000,202148.09267418005,2148.0926741800504,1.0107404633709003
2020-03-18,-2,-1.2882055057903654,0.0,0.01092,0.0,1.111,200000,202148.09267418005,2148.0926741800504,1.0107404633709003
2020-03-19,-1,-1.0916222614042432,7996364.425402692,0.01264,-80472.96682889333,1.256,200000,202148.09267418005,2148.0926741800504,1.0107404633709003
2020-03-20,-1,-0.8158034399883292,7996364.425402692,0.01311,-80472.96682889333,1.232,200000,203975.03275022586,3975.0327502258588,1.0198751637511292
2020-03-21,-1,-0.6304787624628266,7996364.425402692,0.01353,-80472.96682889333,1.232,200000,207333.505808895,7333.505808894988,1.036667529044475
2020-03-22,-1,-0.7585866775228589,7996364.425402692,0.01187,-80472.96682889333,1.147,200000,187219.3386822706,-12780.661317729391,0.936096693411353
2020-03-23,-1,-0.49469966637600293,7996364.425402692,0.01348,-80472.96682889333,1.234,200000,207094.63352128264,7094.633521282638,1.0354731676064133
2020-03-24,-1,-0.4616062316788753,7996364.425402692,0.01374,-80472.96682889333,1.272,200000,212231.66101138532,12231.661011385324,1.0611583050569267
