date,statusList,zscore,ATOMUSDT_position,ATOMUSDT_price,ENJUSDT_position,ENJUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,4.38,0.0,0.07963,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,4.096,0.0,0.07371,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,4.237,0.0,0.078,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,4.25,0.0,0.0772,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,4.2,0.0,0.07637,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,4.111,0.0,0.07578,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,4.075,0.0,0.073,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,3.995,0.0,0.0754,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,4.245,0.0,0.07193,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,4.27,0.0,0.073,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,4.264,0.0,0.0721,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,4.253,0.0,0.07214,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,4.245,0.0,0.07174,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,4.53,0.0,0.07253,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,4.573,0.0,0.076,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,5.097,0.0,0.08131,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,5.015,0.0,0.08039,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,4.625,0.0,0.07721,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,4.516,0.0,0.07361,200000,200000.0,0.0,1.0
2020-01-20,0,0.4498021186489979,0.0,4.505,0.0,0.0758,200000,200000.0,0.0,1.0
2020-01-21,0,0.7393069749800532,0.0,4.64,0.0,0.07661,200000,200000.0,0.0,1.0
2020-01-22,0,0.35637325392724656,0.0,4.657,0.0,0.07815,200000,200000.0,0.0,1.0
2020-01-23,-2,-2.1260905647175865,0.0,4.463,0.0,0.08656,200000,200000.0,0.0,1.0
2020-01-24,-2,-1.6475276290609542,0.0,4.488,0.0,0.08515,200000,200000.0,0.0,1.0
2020-01-25,-2,-2.1570093038467113,0.0,4.39,0.0,0.0882,200000,200000.0,0.0,1.0
2020-01-26,-2,-1.6459242045601046,0.0,4.478,0.0,0.08741,200000,200000.0,0.0,1.0
2020-01-27,-2,-1.7244929334438728,0.0,4.515,0.0,0.09026,200000,200000.0,0.0,1.0
2020-01-28,-2,-1.2555233864085669,0.0,4.577,0.0,0.08811,200000,200000.0,0.0,1.0
2020-01-29,-2,-1.6628940625589725,0.0,4.401,0.0,0.08978,200000,200000.0,0.0,1.0
2020-01-30,-2,-2.2137148978055015,0.0,4.41,0.0,0.1006,200000,200000.0,0.0,1.0
2020-01-31,-2,-1.5800507167143132,0.0,4.397,0.0,0.09531,200000,200000.0,0.0,1.0
2020-02-01,-2,-1.9269131405443305,0.0,4.388,0.0,0.10476,200000,200000.0,0.0,1.0
2020-02-02,-2,-1.9564932301905664,0.0,4.403,0.0,0.1123,200000,200000.0,0.0,1.0
2020-02-03,-2,-1.957459411221715,0.0,4.263,0.0,0.11619,200000,200000.0,0.0,1.0
2020-02-04,-2,-2.3493476313934885,0.0,4.22,0.0,0.1469,200000,200000.0,0.0,1.0
2020-02-05,-2,-1.732484345325126,0.0,4.33,0.0,0.13421,200000,200000.0,0.0,1.0
2020-02-06,-2,-1.450558437899542,0.0,4.589,0.0,0.13726,200000,200000.0,0.0,1.0
2020-02-07,-1,-1.0096382212542026,20725.38860103627,4.825,-763009.3087135663,0.13106,200000,200000.0,0.0,1.0
2020-02-08,-1,-0.9910538153127996,20725.38860103627,4.629,-763009.3087135663,0.1283,200000,193831.91814214742,-6168.08185785258,0.9691595907107371
2020-02-09,-1,-0.9505583370456614,20725.38860103627,4.757,-763009.3087135663,0.13362,200000,200543.97740543622,543.9774054362206,1.0027198870271812
2020-02-10,-1,-1.047149643467758,20725.38860103627,4.773,-763009.3087135663,0.14051,200000,206132.71776008932,6132.717760089319,1.0306635888004465
2020-02-11,-1,-0.6442911972860168,20725.38860103627,5.105,-763009.3087135663,0.13851,200000,211487.52815820623,11487.52815820623,1.057437640791031
2020-02-12,-1,-0.655174867277863,20725.38860103627,5.109,-763009.3087135663,0.14127,200000,213676.3354046598,13676.335404659796,1.068381677023299
2020-02-13,-1,-0.5867981869682934,20725.38860103627,4.906,-763009.3087135663,0.13586,200000,205341.20115850907,5341.201158509066,1.0267060057925452
2020-02-14,-1,-0.597710685092888,20725.38860103627,5.111,-763009.3087135663,0.144,200000,215800.8015946499,15800.801594649907,1.0790040079732495
2020-02-15,-1,-0.6416894493651536,20725.38860103627,4.608,-763009.3087135663,0.13284,200000,196860.7472430853,-3139.252756914706,0.9843037362154264
2020-02-16,-1,-0.47455499247089805,20725.38860103627,4.382,-763009.3087135663,0.12425,200000,185622.55945740154,-14377.440542598459,0.9281127972870077
2020-02-17,-1,-1.1702144943810977,20725.38860103627,4.27,-763009.3087135663,0.13694,200000,192983.90406166064,-7016.095938339364,0.9649195203083032
2020-02-18,-1,-1.0442936443456856,20725.38860103627,4.441,-763009.3087135663,0.13992,200000,198801.71325240424,-1198.286747595761,0.9940085662620212
2020-02-19,-2,-1.2358848087384589,0.0,4.146,0.0,0.13558,200000,217521.34093548896,17521.34093548896,1.087606704677445
2020-02-20,0,-0.3477780151431603,0.0,4.461,0.0,0.1321,200000,217521.34093548896,17521.34093548896,1.087606704677445
2020-02-21,2,1.5033274448825644,0.0,4.953,0.0,0.1278,200000,217521.34093548896,17521.34093548896,1.087606704677445
2020-02-22,2,1.9803925369003983,0.0,5.011,0.0,0.12428,200000,217521.34093548896,17521.34093548896,1.087606704677445
2020-02-23,0,0.6460842154066785,0.0,4.794,0.0,0.1312,200000,217521.34093548896,17521.34093548896,1.087606704677445
2020-02-24,0,0.3563112459224551,0.0,4.393,0.0,0.12219,200000,217521.34093548896,17521.34093548896,1.087606704677445
2020-02-25,0,0.6747973941767852,0.0,4.051,0.0,0.10971,200000,217521.34093548896,17521.34093548896,1.087606704677445
2020-02-26,0,0.8529209605555478,0.0,3.641,0.0,0.09693,200000,217521.34093548896,17521.34093548896,1.087606704677445
2020-02-27,0,0.4046704767692035,0.0,3.692,0.0,0.10124,200000,217521.34093548896,17521.34093548896,1.087606704677445
2020-02-28,0,-0.04282784281368875,0.0,3.548,0.0,0.10033,200000,217521.34093548896,17521.34093548896,1.087606704677445
2020-02-29,0,0.17214836684931242,0.0,3.443,0.0,0.09593,200000,217521.34093548896,17521.34093548896,1.087606704677445
2020-03-01,0,-0.9425333810495555,0.0,3.347,0.0,0.10094,200000,217521.34093548896,17521.34093548896,1.087606704677445
2020-03-02,0,-0.488268104660524,0.0,3.709,0.0,0.10869,200000,217521.34093548896,17521.34093548896,1.087606704677445
2020-03-03,0,-0.5791543261079769,0.0,3.623,0.0,0.10726,200000,217521.34093548896,17521.34093548896,1.087606704677445
2020-03-04,0,0.20669742433938337,0.0,3.743,0.0,0.10496,200000,217521.34093548896,17521.34093548896,1.087606704677445
2020-03-05,0,-0.40952232060599597,0.0,3.756,0.0,0.11016,200000,217521.34093548896,17521.34093548896,1.087606704677445
2020-03-06,0,-0.32381055760500216,0.0,3.854,0.0,0.11242,200000,217521.34093548896,17521.34093548896,1.087606704677445
2020-03-07,0,-0.25027589980134457,0.0,3.618,0.0,0.10512,200000,217521.34093548896,17521.34093548896,1.087606704677445
2020-03-08,0,0.10924234262700594,0.0,3.081,0.0,0.08681,200000,217521.34093548896,17521.34093548896,1.087606704677445
2020-03-09,0,-0.37024621283591275,0.0,3.026,0.0,0.08745,200000,217521.34093548896,17521.34093548896,1.087606704677445
2020-03-10,0,-0.4393239949726651,0.0,3.062,0.0,0.08797,200000,217521.34093548896,17521.34093548896,1.087606704677445
2020-03-11,0,0.20501676593341472,0.0,2.994,0.0,0.083,200000,217521.34093548896,17521.34093548896,1.087606704677445
2020-03-12,2,1.3225328957117248,0.0,1.615,0.0,0.04262,200000,217521.34093548896,17521.34093548896,1.087606704677445
2020-03-13,0,0.8306056154039702,0.0,1.804,0.0,0.04934,200000,217521.34093548896,17521.34093548896,1.087606704677445
