date,statusList,zscore,IOTAUSDT_position,IOTAUSDT_price,MITHUSDT_position,MITHUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,0.1606,0.0,0.00757,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,0.1584,0.0,0.00699,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,0.1664,0.0,0.00739,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,0.1734,0.0,0.00728,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,0.1718,0.0,0.00734,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,0.1826,0.0,0.00741,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,0.1857,0.0,0.00705,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,0.1811,0.0,0.00678,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,0.177,0.0,0.00664,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,0.1902,0.0,0.00655,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,0.1918,0.0,0.00669,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,0.1913,0.0,0.00671,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,0.1884,0.0,0.00669,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,0.2105,0.0,0.00679,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,0.2335,0.0,0.00715,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,0.2279,0.0,0.00716,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,0.2383,0.0,0.00723,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,0.2461,0.0,0.00732,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,0.2462,0.0,0.00704,200000,200000.0,0.0,1.0
2020-01-20,2,1.8202469192610395,0.0,0.2523,0.0,0.00692,200000,200000.0,0.0,1.0
2020-01-21,2,1.255696558170161,0.0,0.2503,0.0,0.00727,200000,200000.0,0.0,1.0
2020-01-22,0,0.7256625723408111,0.0,0.249,0.0,0.00767,200000,200000.0,0.0,1.0
2020-01-23,0,0.6056994042624935,0.0,0.2369,0.0,0.00734,200000,200000.0,0.0,1.0
2020-01-24,0,0.6025866327620744,0.0,0.237,0.0,0.00728,200000,200000.0,0.0,1.0
2020-01-25,0,0.2506617914328612,0.0,0.2344,0.0,0.00742,200000,200000.0,0.0,1.0
2020-01-26,0,-0.2866747664168955,0.0,0.2457,0.0,0.00813,200000,200000.0,0.0,1.0
2020-01-27,0,0.34740709679447984,0.0,0.2522,0.0,0.00781,200000,200000.0,0.0,1.0
2020-01-28,2,1.8369254919201365,0.0,0.2863,0.0,0.00776,200000,200000.0,0.0,1.0
2020-01-29,2,2.4359654215558435,0.0,0.3041,0.0,0.00764,200000,200000.0,0.0,1.0
2020-01-30,2,2.0130729597284787,0.0,0.294,0.0,0.00742,200000,200000.0,0.0,1.0
2020-01-31,1,1.1162362742649363,-339904.8266485384,0.2942,12594458.438287156,0.00794,200000,200000.0,0.0,1.0
2020-02-01,2,1.459648349114209,0.0,0.3059,0.0,0.00792,200000,204228.77564055365,4228.775640553649,1.0211438782027682
2020-02-02,2,1.3484225256425837,0.0,0.3083,0.0,0.00799,200000,204228.77564055365,4228.775640553649,1.0211438782027682
2020-02-03,2,2.175205524783208,0.0,0.3363,0.0,0.00792,200000,204228.77564055365,4228.775640553649,1.0211438782027682
2020-02-04,2,1.2112883232100615,0.0,0.3319,0.0,0.00837,200000,204228.77564055365,4228.775640553649,1.0211438782027682
2020-02-05,0,0.9112450783441524,0.0,0.3267,0.0,0.00839,200000,204228.77564055365,4228.775640553649,1.0211438782027682
2020-02-06,0,-0.4422705401705077,0.0,0.3309,0.0,0.00964,200000,204228.77564055365,4228.775640553649,1.0211438782027682
2020-02-07,0,-0.9507174906467217,0.0,0.3209,0.0,0.00988,200000,204228.77564055365,4228.775640553649,1.0211438782027682
2020-02-08,0,-0.7034047891202387,0.0,0.3073,0.0,0.00925,200000,204228.77564055365,4228.775640553649,1.0211438782027682
2020-02-09,0,-0.6678124805194947,0.0,0.3226,0.0,0.00973,200000,204228.77564055365,4228.775640553649,1.0211438782027682
2020-02-10,0,-0.7014459568103624,0.0,0.3178,0.0,0.00965,200000,204228.77564055365,4228.775640553649,1.0211438782027682
2020-02-11,0,-0.2132244174733113,0.0,0.3322,0.0,0.00954,200000,204228.77564055365,4228.775640553649,1.0211438782027682
2020-02-12,-2,-1.3105724211251875,0.0,0.3327,0.0,0.01082,200000,204228.77564055365,4228.775640553649,1.0211438782027682
2020-02-13,-2,-1.8632683973667845,0.0,0.3224,0.0,0.01156,200000,204228.77564055365,4228.775640553649,1.0211438782027682
2020-02-14,-2,-1.6452648839000417,0.0,0.3232,0.0,0.01146,200000,204228.77564055365,4228.775640553649,1.0211438782027682
2020-02-15,-2,-1.5176763215451428,0.0,0.2883,0.0,0.01013,200000,204228.77564055365,4228.775640553649,1.0211438782027682
2020-02-16,-2,-1.2287901224352455,0.0,0.2774,0.0,0.00944,200000,204228.77564055365,4228.775640553649,1.0211438782027682
2020-02-17,0,-0.7338538974467421,0.0,0.2834,0.0,0.00906,200000,204228.77564055365,4228.775640553649,1.0211438782027682
2020-02-18,0,-0.7218374143208697,0.0,0.2905,0.0,0.00938,200000,204228.77564055365,4228.775640553649,1.0211438782027682
2020-02-19,0,-0.5260105121516132,0.0,0.2672,0.0,0.00848,200000,204228.77564055365,4228.775640553649,1.0211438782027682
2020-02-20,0,-0.2667958695404517,0.0,0.2656,0.0,0.0082,200000,204228.77564055365,4228.775640553649,1.0211438782027682
2020-02-21,0,-0.32149047923796126,0.0,0.2681,0.0,0.00841,200000,204228.77564055365,4228.775640553649,1.0211438782027682
2020-02-22,0,-0.17247850404818135,0.0,0.2704,0.0,0.0084,200000,204228.77564055365,4228.775640553649,1.0211438782027682
2020-02-23,0,0.16376497155915198,0.0,0.2777,0.0,0.00845,200000,204228.77564055365,4228.775640553649,1.0211438782027682
2020-02-24,0,0.15710608764944173,0.0,0.2621,0.0,0.00809,200000,204228.77564055365,4228.775640553649,1.0211438782027682
2020-02-25,0,0.8195762900921459,0.0,0.2476,0.0,0.00743,200000,204228.77564055365,4228.775640553649,1.0211438782027682
2020-02-26,0,0.7837205814248392,0.0,0.2151,0.0,0.00649,200000,204228.77564055365,4228.775640553649,1.0211438782027682
2020-02-27,0,0.3172819697872849,0.0,0.2151,0.0,0.00667,200000,204228.77564055365,4228.775640553649,1.0211438782027682
2020-02-28,0,0.6470321334991691,0.0,0.2161,0.0,0.00658,200000,204228.77564055365,4228.775640553649,1.0211438782027682
2020-02-29,0,0.916289911182957,0.0,0.2122,0.0,0.00636,200000,204228.77564055365,4228.775640553649,1.0211438782027682
2020-03-01,1,1.0776656456778593,-484873.63637358416,0.2106,16364485.227608467,0.00624,200000,204228.77564055365,4228.775640553649,1.0211438782027682
2020-03-02,1,1.126064129871659,-484873.63637358416,0.2244,16364485.227608467,0.00666,200000,217793.11561810467,17793.115618104668,1.0889655780905234
2020-03-03,1,0.9883826988671038,-484873.63637358416,0.2236,16364485.227608467,0.00665,200000,217241.57185672972,17241.571856729715,1.0862078592836486
2020-03-04,1,0.5705356833493553,-484873.63637358416,0.2222,16364485.227608467,0.00674,200000,218035.55243629147,18035.552436291473,1.0901777621814575
2020-03-05,0,0.09300141310754637,0.0,0.2275,0.0,0.00703,200000,199495.19676545652,-504.8032345434767,0.9974759838272826
2020-03-06,0,-0.8357509874931767,0.0,0.2326,0.0,0.00739,200000,199495.19676545652,-504.8032345434767,0.9974759838272826
2020-03-07,0,-0.7041149763043529,0.0,0.2228,0.0,0.00698,200000,199495.19676545652,-504.8032345434767,0.9974759838272826
2020-03-08,0,0.2817285028123667,0.0,0.1916,0.0,0.00584,200000,199495.19676545652,-504.8032345434767,0.9974759838272826
2020-03-09,-2,-1.495081496352563,0.0,0.1919,0.0,0.00609,200000,199495.19676545652,-504.8032345434767,0.9974759838272826
2020-03-10,0,-0.5510800863891081,0.0,0.1978,0.0,0.00613,200000,199495.19676545652,-504.8032345434767,0.9974759838272826
2020-03-11,0,-0.18002980106454353,0.0,0.1952,0.0,0.006,200000,199495.19676545652,-504.8032345434767,0.9974759838272826
2020-03-12,2,3.812500248796431,0.0,0.1086,0.0,0.0028,200000,199495.19676545652,-504.8032345434767,0.9974759838272826
