date,statusList,zscore,THETAUSDT_position,THETAUSDT_price,IOSTUSDT_position,IOSTUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,0.08656,0.0,0.004817,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,0.08443,0.0,0.004605,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,0.08771,0.0,0.004819,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,0.09394,0.0,0.004869,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,0.09421,0.0,0.004916,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,0.09987,0.0,0.00512,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,0.09608,0.0,0.00496,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,0.09873,0.0,0.004716,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,0.09294,0.0,0.004766,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,0.09509,0.0,0.005095,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,0.09437,0.0,0.004983,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,0.09589,0.0,0.005361,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,0.09703,0.0,0.005108,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,0.10598,0.0,0.005758,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,0.10438,0.0,0.005815,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,0.10368,0.0,0.005884,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,0.11193,0.0,0.006125,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,0.10876,0.0,0.005849,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,0.1126,0.0,0.005483,200000,200000.0,0.0,1.0
2020-01-20,2,1.6852497156581545,0.0,0.10998,0.0,0.005363,200000,200000.0,0.0,1.0
2020-01-21,2,1.5636915799577562,0.0,0.11136,0.0,0.005409,200000,200000.0,0.0,1.0
2020-01-22,2,2.2532406839303887,0.0,0.119,0.0,0.005462,200000,200000.0,0.0,1.0
2020-01-23,1,1.1267689732568646,-920979.9226376865,0.10858,19018638.26550019,0.005258,200000,200000.0,0.0,1.0
