date,statusList,zscore,HOTUSDT_position,HOTUSDT_price,FETUSDT_position,FETUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,0.0006275,0.0,0.03832,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,0.0006035,0.0,0.03642,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,0.0006794,0.0,0.03906,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,0.0006796,0.0,0.04027,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,0.0006708,0.0,0.03847,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,0.000703,0.0,0.03949,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,0.0006815,0.0,0.0372,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,0.0006721,0.0,0.03686,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,0.000671,0.0,0.0374,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,0.0006865,0.0,0.03619,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,0.00067,0.0,0.03779,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,0.0006813,0.0,0.03987,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,0.000674,0.0,0.04063,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,0.0007056,0.0,0.03899,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,0.0007118,0.0,0.04001,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,0.0006959,0.0,0.03962,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,0.0007304,0.0,0.0422,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,0.0007145,0.0,0.04109,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,0.0006752,0.0,0.03771,200000,200000.0,0.0,1.0
2020-01-20,0,0.7936637325827224,0.0,0.0006756,0.0,0.03734,200000,200000.0,0.0,1.0
2020-01-21,0,-0.23000055519971427,0.0,0.0006651,0.0,0.03802,200000,200000.0,0.0,1.0
2020-01-22,-2,-1.2860185530935548,0.0,0.0006688,0.0,0.03952,200000,200000.0,0.0,1.0
2020-01-23,-2,-1.414900446427871,0.0,0.0006333,0.0,0.03775,200000,200000.0,0.0,1.0
2020-01-24,-2,-1.9996735005262736,0.0,0.0006346,0.0,0.03893,200000,200000.0,0.0,1.0
2020-01-25,-2,-2.4499198767273347,0.0,0.000621,0.0,0.03989,200000,200000.0,0.0,1.0
2020-01-26,-2,-1.3335193222216155,0.0,0.0006347,0.0,0.03889,200000,200000.0,0.0,1.0
2020-01-27,0,-0.7255816807352274,0.0,0.0006521,0.0,0.03892,200000,200000.0,0.0,1.0
2020-01-28,0,-0.11276675130877259,0.0,0.000648,0.0,0.03767,200000,200000.0,0.0,1.0
2020-01-29,0,0.49876767312681575,0.0,0.0006531,0.0,0.03698,200000,200000.0,0.0,1.0
2020-01-30,0,-0.7489219504751244,0.0,0.000638,0.0,0.0383,200000,200000.0,0.0,1.0
2020-01-31,-1,-1.1933657010062815,158002844.0511929,0.0006329,-2570694.087403599,0.0389,200000,200000.0,0.0,1.0
