date,statusList,zscore,ETCUSDT_position,ETCUSDT_price,BNBUSDT_position,BNBUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,4.5035,0.0,13.7184,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,4.2283,0.0,13.0105,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,4.5768,0.0,13.6474,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,4.7598,0.0,13.8092,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,4.8784,0.0,14.0532,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,5.0333,0.0,14.9471,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,4.8344,0.0,15.0226,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,4.9521,0.0,14.5334,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,5.1848,0.0,14.3978,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,5.36,0.0,15.07,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,5.5704,0.0,14.9177,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,5.5765,0.0,15.3366,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,5.4677,0.0,15.1736,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,6.7895,0.0,16.6371,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,7.9911,0.0,17.6655,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,8.414,0.0,17.0333,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,9.4792,0.0,18.0724,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,8.2944,0.0,17.8088,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,8.5268,0.0,17.388,200000,200000.0,0.0,1.0
2020-01-20,2,1.561560115855519,0.0,8.6347,0.0,17.3235,200000,200000.0,0.0,1.0
2020-01-21,2,1.3333181242313226,0.0,8.943,0.0,18.1166,200000,200000.0,0.0,1.0
2020-01-22,2,1.5589361704485076,0.0,9.3457,0.0,17.8344,200000,200000.0,0.0,1.0
2020-01-23,1,1.0531268488788954,-11845.393918574762,8.4421,5864.277169196125,17.0524,200000,200000.0,0.0,1.0
