date,statusList,zscore,DASHUSDT_position,DASHUSDT_price,NEOUSDT_position,NEOUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,41.84,0.0,8.85,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,40.04,0.0,8.462,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,43.92,0.0,8.888,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,46.19,0.0,9.077,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,51.17,0.0,9.02,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,56.57,0.0,9.757,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,54.62,0.0,9.801,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,52.42,0.0,9.448,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,50.54,0.0,9.387,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,56.88,0.0,9.862,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,63.46,0.0,9.696,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,66.19,0.0,10.271,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,69.43,0.0,10.0,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,89.28,0.0,11.204,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,133.6,0.0,11.412,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,127.45,0.0,11.271,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,113.04,0.0,11.848,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,101.15,0.0,11.876,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,104.92,0.0,11.245,200000,200000.0,0.0,1.0
2020-01-20,2,1.2650225778054793,0.0,109.91,0.0,11.114,200000,200000.0,0.0,1.0
2020-01-21,1,1.1242562826474527,-904.9773755656108,110.5,8907.892392659896,11.226,200000,200000.0,0.0,1.0
2020-01-22,1,0.9139820240420088,-904.9773755656108,107.8,8907.892392659896,11.247,200000,197743.6268262187,-2256.3731737812923,0.9887181341310936
2020-01-23,1,0.8630380471952724,-904.9773755656108,102.72,8907.892392659896,10.621,200000,187570.0011205403,-12429.998879459687,0.9378500056027016
2020-01-24,1,0.7145032813920256,-904.9773755656108,100.11,8907.892392659896,10.511,200000,184228.14200712147,-15771.857992878533,0.9211407100356074
2020-01-25,1,0.7574802953395805,-904.9773755656108,101.31,8907.892392659896,10.35,200000,183879.94418258197,-16120.055817418033,0.9193997209129099
2020-01-26,1,0.9041822281687509,-904.9773755656108,111.01,8907.892392659896,10.797,200000,196640.05262508738,-3359.947374912619,0.983200263125437
2020-01-27,1,0.7708916867514638,-904.9773755656108,112.78,8907.892392659896,11.082,200000,200780.61191174656,780.6119117465569,1.0039030595587328
2020-01-28,1,0.708728746861095,-904.9773755656108,115.91,8907.892392659896,11.36,200000,206089.58518242638,6089.585182426381,1.030447925912132
2020-01-29,1,1.0228180159904492,-904.9773755656108,121.97,8907.892392659896,11.201,200000,210157.39318792103,10157.393187921029,1.0507869659396052
2020-01-30,1,0.6566515419522759,-904.9773755656108,121.9,8907.892392659896,11.735,200000,214850.85930931184,14850.85930931184,1.0742542965465591
2020-01-31,1,0.3915067325291451,-904.9773755656108,115.85,8907.892392659896,11.453,200000,206863.7205324098,6863.720532409789,1.034318602662049
2020-02-01,1,0.39422866085211006,-904.9773755656108,116.7,8907.892392659896,11.422,200000,207356.8066374681,7356.8066374681075,1.0367840331873406
2020-02-02,0,-0.4884937877938594,0.0,114.29,0.0,12.016,200000,196392.62926319236,-3607.370736807643,0.9819631463159618
2020-02-03,0,-0.42472799445010195,0.0,115.34,0.0,11.88,200000,196392.62926319236,-3607.370736807643,0.9819631463159618
2020-02-04,-2,-1.2634928062984752,0.0,110.87,0.0,12.177,200000,196392.62926319236,-3607.370736807643,0.9819631463159618
2020-02-05,0,-0.3105350628861172,0.0,122.98,0.0,12.762,200000,196392.62926319236,-3607.370736807643,0.9819631463159618
2020-02-06,0,-0.8955269533020215,0.0,120.32,0.0,12.914,200000,196392.62926319236,-3607.370736807643,0.9819631463159618
2020-02-07,-2,-1.2179640454577247,0.0,118.68,0.0,12.792,200000,196392.62926319236,-3607.370736807643,0.9819631463159618
2020-02-08,0,0.22949957152335415,0.0,126.29,0.0,12.688,200000,196392.62926319236,-3607.370736807643,0.9819631463159618
2020-02-09,-2,-1.6272898324193918,0.0,128.51,0.0,14.201,200000,196392.62926319236,-3607.370736807643,0.9819631463159618
2020-02-10,0,-0.7881187178436375,0.0,127.58,0.0,13.551,200000,196392.62926319236,-3607.370736807643,0.9819631463159618
2020-02-11,0,-0.8496420460281034,0.0,129.2,0.0,13.791,200000,196392.62926319236,-3607.370736807643,0.9819631463159618
2020-02-12,-2,-1.4359832312943959,0.0,133.53,0.0,14.822,200000,196392.62926319236,-3607.370736807643,0.9819631463159618
2020-02-13,-2,-1.834812299808147,0.0,131.18,0.0,15.141,200000,196392.62926319236,-3607.370736807643,0.9819631463159618
2020-02-14,-2,-2.3708477140049773,0.0,133.34,0.0,16.676,200000,196392.62926319236,-3607.370736807643,0.9819631463159618
2020-02-15,-2,-2.012687606463638,0.0,120.73,0.0,15.127,200000,196392.62926319236,-3607.370736807643,0.9819631463159618
2020-02-16,-2,-2.1148930359465763,0.0,110.73,0.0,14.625,200000,196392.62926319236,-3607.370736807643,0.9819631463159618
2020-02-17,-2,-1.7698618520372051,0.0,114.66,0.0,15.027,200000,196392.62926319236,-3607.370736807643,0.9819631463159618
2020-02-18,-2,-1.7802933108985322,0.0,115.56,0.0,15.5,200000,196392.62926319236,-3607.370736807643,0.9819631463159618
2020-02-19,-2,-1.5856079724153997,0.0,104.87,0.0,14.043,200000,196392.62926319236,-3607.370736807643,0.9819631463159618
2020-02-20,-2,-1.4230595835866766,0.0,104.82,0.0,14.03,200000,196392.62926319236,-3607.370736807643,0.9819631463159618
2020-02-21,-1,-1.1178336456527707,914.3897442182342,107.39,-7005.515775957493,14.017,200000,196392.62926319236,-3607.370736807643,0.9819631463159618
2020-02-22,-1,-1.1063152164442092,914.3897442182342,103.79,-7005.515775957493,13.72,200000,191020.18799854734,-8979.812001452665,0.9551009399927367
2020-02-23,-1,-1.00827361065632,914.3897442182342,108.09,-7005.515775957493,14.294,200000,198973.22995408534,-1026.770045914658,0.9948661497704268
2020-02-24,-1,-0.7312816149586003,914.3897442182342,103.41,-7005.515775957493,13.361,200000,188157.73973217566,-11842.260267824342,0.9407886986608783
2020-02-25,-1,-0.6888240471563498,914.3897442182342,95.52,-7005.515775957493,12.393,200000,174161.86537916696,-25838.134620833036,0.8708093268958348
2020-02-26,-1,-0.6690729579698814,914.3897442182342,84.29,-7005.515775957493,11.007,200000,154183.6236861191,-45816.3763138809,0.7709181184305955
2020-02-27,-1,-0.41495711254419854,914.3897442182342,89.88,-7005.515775957493,11.51,200000,162818.83679160563,-37181.16320839437,0.8140941839580281
2020-02-28,-1,-0.3606157341747628,914.3897442182342,88.09,-7005.515775957493,11.311,200000,159787.98151003945,-40212.01848996055,0.7989399075501973
2020-02-29,-1,-0.4369616537946064,914.3897442182342,85.35,-7005.515775957493,11.103,200000,155825.40632948233,-44174.59367051767,0.7791270316474117
2020-03-01,-1,-0.7238411361045712,914.3897442182342,84.59,-7005.515775957493,11.31,200000,156580.6118894997,-43419.388110500295,0.7829030594474985
2020-03-02,-1,-0.7504540170394505,914.3897442182342,90.26,-7005.515775957493,12.088,200000,167215.493012912,-32784.50698708801,0.8360774650645599
2020-03-03,0,-0.1362703447196808,0.0,88.56,0.0,11.556,200000,196370.0138221903,-3629.986177809711,0.9818500691109514
2020-03-04,-2,-1.4657063394862968,0.0,86.88,0.0,11.755,200000,196370.0138221903,-3629.986177809711,0.9818500691109514
2020-03-05,-1,-1.1014506712724006,1092.5226094480377,89.87,-8132.610528542627,12.073,200000,196370.0138221903,-3629.986177809711,0.9818500691109514
2020-03-06,0,-0.004021823101479913,0.0,93.94,0.0,12.377,200000,194395.76040241378,-5604.239597586216,0.9719788020120689
2020-03-07,0,0.09574698718809754,0.0,88.12,0.0,11.589,200000,194395.76040241378,-5604.239597586216,0.9719788020120689
2020-03-08,-2,-1.8025361590445153,0.0,73.7,0.0,10.05,200000,194395.76040241378,-5604.239597586216,0.9719788020120689
2020-03-09,-1,-1.0163891255765491,1319.7268187536577,73.65,-9815.984669885569,9.902,200000,194395.76040241378,-5604.239597586216,0.9719788020120689
2020-03-10,0,-0.16842980073206765,0.0,74.6,0.0,9.87,200000,192827.90841516148,-7172.091584838519,0.9641395420758074
2020-03-11,0,0.5316969182259753,0.0,72.24,0.0,9.43,200000,192827.90841516148,-7172.091584838519,0.9641395420758074
2020-03-12,2,1.3373771835083175,0.0,44.4,0.0,5.706,200000,192827.90841516148,-7172.091584838519,0.9641395420758074
2020-03-13,2,3.039178382632286,0.0,51.16,0.0,6.216,200000,192827.90841516148,-7172.091584838519,0.9641395420758074
2020-03-14,2,1.602468121430563,0.0,45.97,0.0,5.752,200000,192827.90841516148,-7172.091584838519,0.9641395420758074
2020-03-15,1,1.1502036936919127,-2037.919133535843,47.31,16125.431377752257,5.979,200000,192827.90841516148,-7172.091584838519,0.9641395420758074
2020-03-16,2,1.3781597195166246,0.0,43.12,0.0,5.394,200000,193722.40460163134,-6277.595398368663,0.9686120230081567
2020-03-17,2,1.6093368014696254,0.0,45.57,0.0,5.626,200000,193722.40460163134,-6277.595398368663,0.9686120230081567
2020-03-18,2,4.018253090731758,0.0,62.64,0.0,5.726,200000,193722.40460163134,-6277.595398368663,0.9686120230081567
2020-03-19,2,2.335063267908293,0.0,65.47,0.0,6.472,200000,193722.40460163134,-6277.595398368663,0.9686120230081567
2020-03-20,2,2.7391336954074035,0.0,71.78,0.0,6.273,200000,193722.40460163134,-6277.595398368663,0.9686120230081567
2020-03-21,2,2.2168741580840097,0.0,71.37,0.0,6.236,200000,193722.40460163134,-6277.595398368663,0.9686120230081567
2020-03-22,2,1.368972905063728,0.0,62.44,0.0,5.947,200000,193722.40460163134,-6277.595398368663,0.9686120230081567
2020-03-23,2,1.2890245756964704,0.0,70.87,0.0,6.683,200000,193722.40460163134,-6277.595398368663,0.9686120230081567
2020-03-24,0,0.8535391840611615,0.0,69.53,0.0,6.897,200000,193722.40460163134,-6277.595398368663,0.9686120230081567
2020-03-25,0,0.5800072878004879,0.0,67.72,0.0,6.93,200000,193722.40460163134,-6277.595398368663,0.9686120230081567
2020-03-26,0,0.4721638296986487,0.0,68.23,0.0,7.03,200000,193722.40460163134,-6277.595398368663,0.9686120230081567
2020-03-27,0,0.8495599085208615,0.0,67.59,0.0,6.503,200000,193722.40460163134,-6277.595398368663,0.9686120230081567
