date,statusList,zscore,ZRXUSDT_position,ZRXUSDT_price,DASHUSDT_position,DASHUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,0.1825,0.0,41.84,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,0.1752,0.0,40.04,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,0.1821,0.0,43.92,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,0.1864,0.0,46.19,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,0.1861,0.0,51.17,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,0.1958,0.0,56.57,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,0.1878,0.0,54.62,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,0.2133,0.0,52.42,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,0.2058,0.0,50.54,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,0.2026,0.0,56.88,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,0.2064,0.0,63.46,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,0.2182,0.0,66.19,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,0.2102,0.0,69.43,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,0.238,0.0,89.28,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,0.2459,0.0,133.6,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,0.2474,0.0,127.45,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,0.2547,0.0,113.04,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,0.2455,0.0,101.15,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,0.2312,0.0,104.92,200000,200000.0,0.0,1.0
2020-01-20,-2,-1.2958928093332798,0.0,0.2316,0.0,109.91,200000,200000.0,0.0,1.0
2020-01-21,-1,-1.096667623722088,414078.67494824016,0.2415,-904.9773755656108,110.5,200000,200000.0,0.0,1.0
2020-01-22,-1,-0.9332183020376795,414078.67494824016,0.2425,-904.9773755656108,107.8,200000,197970.63976092107,-2029.360239078931,0.9898531988046053
2020-01-23,-1,-0.8806025297561215,414078.67494824016,0.2283,-904.9773755656108,102.72,200000,187493.43750878278,-12506.56249121722,0.9374671875439139
2020-01-24,-1,-0.7362409526972662,414078.67494824016,0.2275,-904.9773755656108,100.11,200000,184800.18361859792,-15199.81638140208,0.9240009180929896
2020-01-25,-1,-0.7360645700160264,414078.67494824016,0.2242,-904.9773755656108,101.31,200000,184519.69684194747,-15480.303158052528,0.9225984842097373
2020-01-26,-1,-0.8384188989881055,414078.67494824016,0.2305,-904.9773755656108,111.01,200000,195906.67303710783,-4093.32696289217,0.9795333651855391
2020-01-27,-1,-0.78566896681218,414078.67494824016,0.2316,-904.9773755656108,112.78,200000,197963.969534302,-2036.030465697986,0.9898198476715101
2020-01-28,-1,-0.8108616204021305,414078.67494824016,0.2316,-904.9773755656108,115.91,200000,200796.54871982237,796.5487198223709,1.0039827435991118
2020-01-29,-1,-1.060751367350777,414078.67494824016,0.2255,-904.9773755656108,121.97,200000,203754.8316985657,3754.8316985656857,1.0187741584928285
2020-01-30,-1,-0.9021023654525319,414078.67494824016,0.2331,-904.9773755656108,121.9,200000,206838.48121188275,6838.481211882754,1.0341924060594139
2020-01-31,-1,-0.7105927828793711,414078.67494824016,0.2284,-904.9773755656108,115.85,200000,199417.19831745408,-582.8016825459199,0.9970859915872704
2020-02-01,-1,-0.6475367716948898,414078.67494824016,0.2321,-904.9773755656108,116.7,200000,201718.52018399333,1718.5201839933288,1.0085926009199666
2020-02-02,0,-0.15317105158509808,0.0,0.2395,0.0,114.29,200000,204258.02160329014,4258.021603290137,1.0212901080164507
2020-02-03,0,-0.31506938169106674,0.0,0.236,0.0,115.34,200000,204258.02160329014,4258.021603290137,1.0212901080164507
2020-02-04,1,1.1440798564738424,-402399.56974643446,0.2538,921.1600144461537,110.87,200000,204258.02160329014,4258.021603290137,1.0212901080164507
2020-02-05,0,-0.19772876227064806,0.0,0.2579,0.0,122.98,200000,194752.6120643076,-5247.387935692386,0.973763060321538
2020-02-06,2,1.2508452951053686,0.0,0.2783,0.0,120.32,200000,194752.6120643076,-5247.387935692386,0.973763060321538
2020-02-07,2,1.5444034791196672,0.0,0.2776,0.0,118.68,200000,194752.6120643076,-5247.387935692386,0.973763060321538
2020-02-08,0,0.2866855829833687,0.0,0.273,0.0,126.29,200000,194752.6120643076,-5247.387935692386,0.973763060321538
2020-02-09,1,1.1864468184692902,-329085.1842925103,0.2959,757.733297269892,128.51,200000,194752.6120643076,-5247.387935692386,0.973763060321538
2020-02-10,1,0.6108256740506328,-329085.1842925103,0.2835,757.733297269892,127.58,200000,189967.2638126195,-10032.736187380506,0.9498363190630975
2020-02-11,2,1.3533264357777717,0.0,0.3025,0.0,129.2,200000,196401.73830552195,-3598.2616944780457,0.9820086915276097
2020-02-12,1,1.1923247047663954,-315859.9844090092,0.3109,735.4217715326965,133.53,200000,196401.73830552195,-3598.2616944780457,0.9820086915276097
2020-02-13,2,1.7210394400495983,0.0,0.3198,0.0,131.18,200000,200941.13332986392,941.133329863922,1.0047056666493197
2020-02-14,2,2.19563871646132,0.0,0.3461,0.0,133.34,200000,200941.13332986392,941.133329863922,1.0047056666493197
2020-02-15,2,2.056956329169655,0.0,0.3201,0.0,120.73,200000,200941.13332986392,941.133329863922,1.0047056666493197
2020-02-16,2,1.907863967532728,0.0,0.2984,0.0,110.73,200000,200941.13332986392,941.133329863922,1.0047056666493197
2020-02-17,1,1.1628107867403954,-344313.1139990814,0.2918,876.2477469469036,114.66,200000,200941.13332986392,941.133329863922,1.0047056666493197
2020-02-18,2,1.4899150335826212,0.0,0.3073,0.0,115.56,200000,205489.3636245975,5489.363624597492,1.0274468181229874
2020-02-19,2,1.3973050453712088,0.0,0.2798,0.0,104.87,200000,205489.3636245975,5489.363624597492,1.0274468181229874
2020-02-20,2,1.2200033730372561,0.0,0.278,0.0,104.82,200000,205489.3636245975,5489.363624597492,1.0274468181229874
2020-02-21,2,1.2522746631062265,0.0,0.2882,0.0,107.39,200000,205489.3636245975,5489.363624597492,1.0274468181229874
2020-02-22,2,1.241415678620031,0.0,0.2811,0.0,103.79,200000,205489.3636245975,5489.363624597492,1.0274468181229874
2020-02-23,0,0.9570838495836889,0.0,0.2878,0.0,108.09,200000,205489.3636245975,5489.363624597492,1.0274468181229874
2020-02-24,0,0.5191816400410304,0.0,0.2675,0.0,103.41,200000,205489.3636245975,5489.363624597492,1.0274468181229874
2020-02-25,0,0.73438989020901,0.0,0.2525,0.0,95.52,200000,205489.3636245975,5489.363624597492,1.0274468181229874
2020-02-26,2,1.3746231896658485,0.0,0.2351,0.0,84.29,200000,205489.3636245975,5489.363624597492,1.0274468181229874
2020-02-27,0,0.8867340303341148,0.0,0.2441,0.0,89.88,200000,205489.3636245975,5489.363624597492,1.0274468181229874
2020-02-28,0,0.7540054789714624,0.0,0.238,0.0,88.09,200000,205489.3636245975,5489.363624597492,1.0274468181229874
2020-02-29,0,0.5496697063360085,0.0,0.2288,0.0,85.35,200000,205489.3636245975,5489.363624597492,1.0274468181229874
2020-03-01,0,0.7794049894937282,0.0,0.23,0.0,84.59,200000,205489.3636245975,5489.363624597492,1.0274468181229874
