date,statusList,zscore,HOTUSDT_position,HOTUSDT_price,ZECUSDT_position,ZECUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,0.0006275,0.0,28.07,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,0.0006035,0.0,27.02,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,0.0006794,0.0,28.41,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,0.0006796,0.0,29.91,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,0.0006708,0.0,30.81,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,0.000703,0.0,32.86,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,0.0006815,0.0,32.24,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,0.0006721,0.0,30.88,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,0.000671,0.0,30.83,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,0.0006865,0.0,33.69,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,0.00067,0.0,34.88,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,0.0006813,0.0,35.52,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,0.000674,0.0,38.32,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,0.0007056,0.0,43.83,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,0.0007118,0.0,54.97,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,0.0006959,0.0,50.8,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,0.0007304,0.0,61.54,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,0.0007145,0.0,51.16,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,0.0006752,0.0,51.56,200000,200000.0,0.0,1.0
2020-01-20,-2,-1.4435442165533448,0.0,0.0006756,0.0,53.68,200000,200000.0,0.0,1.0
2020-01-21,-2,-1.3137673927287539,0.0,0.0006651,0.0,53.26,200000,200000.0,0.0,1.0
2020-01-22,-1,-1.117474575469498,149521531.10047847,0.0006688,-1915.3418885271021,52.21,200000,200000.0,0.0,1.0
2020-01-23,-1,-1.0333958332686002,149521531.10047847,0.0006333,-1915.3418885271021,49.6,200000,189692.9433168773,-10307.056683122704,0.9484647165843865
2020-01-24,-1,-0.8888772462427748,149521531.10047847,0.0006346,-1915.3418885271021,48.82,200000,188393.35463425677,-11606.645365743228,0.9419667731712839
2020-01-25,-1,-0.8656052468965996,149521531.10047847,0.000621,-1915.3418885271021,48.72,200000,186168.32762243756,-13831.672377562441,0.9308416381121878
2020-01-26,-1,-1.0109627609978762,149521531.10047847,0.0006347,-1915.3418885271021,53.65,200000,197659.4081089527,-2340.591891047312,0.9882970405447634
2020-01-27,-1,-0.9277281407796931,149521531.10047847,0.0006521,-1915.3418885271021,55.18,200000,203191.5558395475,3191.555839547509,1.0159577791977374
2020-01-28,-1,-0.9726351825175651,149521531.10047847,0.000648,-1915.3418885271021,56.74,200000,205566.45090813783,5566.450908137835,1.0278322545406893
2020-01-29,-1,-1.1950760073322169,149521531.10047847,0.0006531,-1915.3418885271021,61.74,200000,215905.72015938576,15905.72015938576,1.079528600796929
2020-01-30,-2,-1.4755104371757712,0.0,0.000638,0.0,66.3,200000,231592.4303672416,31592.430367241614,1.157962151836208
2020-01-31,-2,-1.461554295483186,0.0,0.0006329,0.0,66.51,200000,231592.4303672416,31592.430367241614,1.157962151836208
2020-02-01,-2,-1.3882785438951715,0.0,0.0006448,0.0,66.03,200000,231592.4303672416,31592.430367241614,1.157962151836208
2020-02-02,-2,-1.2232515584899717,0.0,0.0006719,0.0,66.36,200000,231592.4303672416,31592.430367241614,1.157962151836208
2020-02-03,-2,-1.2258941694085157,0.0,0.0006619,0.0,65.52,200000,231592.4303672416,31592.430367241614,1.157962151836208
2020-02-04,0,-0.6591711333465601,0.0,0.000695,0.0,64.34,200000,231592.4303672416,31592.430367241614,1.157962151836208
2020-02-05,-2,-1.262806259971413,0.0,0.0006959,0.0,71.19,200000,231592.4303672416,31592.430367241614,1.157962151836208
2020-02-06,0,-0.6522262104852087,0.0,0.00074,0.0,70.14,200000,231592.4303672416,31592.430367241614,1.157962151836208
2020-02-07,0,-0.008747045880849668,0.0,0.0007744,0.0,68.38,200000,231592.4303672416,31592.430367241614,1.157962151836208
2020-02-08,0,0.23213145845147395,0.0,0.000808,0.0,70.02,200000,231592.4303672416,31592.430367241614,1.157962151836208
2020-02-09,0,0.025325818116944784,0.0,0.0008003,0.0,71.33,200000,231592.4303672416,31592.430367241614,1.157962151836208
2020-02-10,0,-0.19817269241759602,0.0,0.0007595,0.0,69.77,200000,231592.4303672416,31592.430367241614,1.157962151836208
2020-02-11,0,-0.36881643822887444,0.0,0.000771,0.0,72.68,200000,231592.4303672416,31592.430367241614,1.157962151836208
2020-02-12,0,0.6862243821238749,0.0,0.0008498,0.0,73.12,200000,231592.4303672416,31592.430367241614,1.157962151836208
2020-02-13,2,1.3238691116286967,0.0,0.0008714,0.0,72.01,200000,231592.4303672416,31592.430367241614,1.157962151836208
2020-02-14,2,1.5756127598948428,0.0,0.0008915,0.0,72.92,200000,231592.4303672416,31592.430367241614,1.157962151836208
2020-02-15,2,2.2739142406642703,0.0,0.000849,0.0,64.46,200000,231592.4303672416,31592.430367241614,1.157962151836208
2020-02-16,2,2.3622514865256043,0.0,0.0008258,0.0,60.0,200000,231592.4303672416,31592.430367241614,1.157962151836208
2020-02-17,1,1.0406725747399197,-146447723.76833287,0.0007907,1803.6793642308537,64.2,200000,231592.4303672416,31592.430367241614,1.157962151836208
2020-02-18,1,0.7864002902084127,-146447723.76833287,0.0007956,1803.6793642308537,65.74,200000,235087.69043462194,35087.69043462194,1.1754384521731096
2020-02-19,1,0.405636293547491,-146447723.76833287,0.0007284,1803.6793642308537,62.1,200000,218681.0105115897,18681.010511589702,1.0934050525579484
2020-02-20,1,0.48027168091466305,-146447723.76833287,0.0007235,1803.6793642308537,60.79,200000,215600.59669798243,15600.59669798243,1.078002983489912
2020-02-21,1,0.41378985212273667,-146447723.76833287,0.0007332,1803.6793642308537,61.56,200000,218409.97272899305,18409.972728993045,1.0920498636449651
2020-02-22,1,0.4509012701789695,-146447723.76833287,0.0007301,1803.6793642308537,60.73,200000,216458.93091299958,16458.93091299958,1.0822946545649978
2020-02-23,0,0.19297663054492034,0.0,0.0007501,0.0,63.32,200000,227233.89062277044,27233.890622770443,1.1361694531138522
2020-02-24,0,-0.2663590003824215,0.0,0.0006961,0.0,60.7,200000,227233.89062277044,27233.890622770443,1.1361694531138522
2020-02-25,0,-0.40089902890855367,0.0,0.0006552,0.0,57.06,200000,227233.89062277044,27233.890622770443,1.1361694531138522
2020-02-26,0,0.3077104607531022,0.0,0.0006203,0.0,51.33,200000,227233.89062277044,27233.890622770443,1.1361694531138522
2020-02-27,0,0.33449337297974047,0.0,0.000643,0.0,52.96,200000,227233.89062277044,27233.890622770443,1.1361694531138522
2020-02-28,0,0.7385842420578228,0.0,0.0006341,0.0,50.83,200000,227233.89062277044,27233.890622770443,1.1361694531138522
2020-02-29,0,0.8810108108247292,0.0,0.0006189,0.0,48.96,200000,227233.89062277044,27233.890622770443,1.1361694531138522
