date,statusList,zscore,IOTAUSDT_position,IOTAUSDT_price,LTCUSDT_position,LTCUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,0.1606,0.0,41.62,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,0.1584,0.0,39.43,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,0.1664,0.0,42.23,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,0.1734,0.0,42.78,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,0.1718,0.0,43.3,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,0.1826,0.0,45.8,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,0.1857,0.0,46.3,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,0.1811,0.0,45.35,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,0.177,0.0,44.74,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,0.1902,0.0,49.06,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,0.1918,0.0,49.3,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,0.1913,0.0,51.43,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,0.1884,0.0,49.6,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,0.2105,0.0,58.39,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,0.2335,0.0,58.16,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,0.2279,0.0,57.56,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,0.2383,0.0,61.02,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,0.2461,0.0,59.32,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,0.2462,0.0,57.6,200000,200000.0,0.0,1.0
2020-01-20,2,2.5064404154824493,0.0,0.2523,0.0,57.19,200000,200000.0,0.0,1.0
2020-01-21,2,1.8302513375250493,0.0,0.2503,0.0,57.57,200000,200000.0,0.0,1.0
2020-01-22,2,1.293056682658797,0.0,0.249,0.0,58.33,200000,200000.0,0.0,1.0
2020-01-23,2,1.4762869691087959,0.0,0.2369,0.0,54.52,200000,200000.0,0.0,1.0
2020-01-24,2,1.3863320889438207,0.0,0.237,0.0,54.38,200000,200000.0,0.0,1.0
2020-01-25,2,1.403446666540962,0.0,0.2344,0.0,53.25,200000,200000.0,0.0,1.0
2020-01-26,1,1.146077801734522,-407000.407000407,0.2457,1778.0938833570412,56.24,200000,200000.0,0.0,1.0
2020-01-27,1,0.8266515440155218,-407000.407000407,0.2522,1778.0938833570412,58.55,200000,206752.8995160574,6752.899516057398,1.0337644975802869
2020-01-28,2,2.0630039007983427,0.0,0.2863,0.0,60.52,200000,208913.9747034484,8913.974703448388,1.044569873517242
2020-01-29,2,2.5188528145812206,0.0,0.3041,0.0,59.8,200000,208913.9747034484,8913.974703448388,1.044569873517242
