date,statusList,zscore,BNBUSDT_position,BNBUSDT_price,ONEUSDT_position,ONEUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,13.7184,0.0,0.00466,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,13.0105,0.0,0.0047,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,13.6474,0.0,0.00478,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,13.8092,0.0,0.00475,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,14.0532,0.0,0.00466,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,14.9471,0.0,0.00476,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,15.0226,0.0,0.00455,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,14.5334,0.0,0.0046,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,14.3978,0.0,0.00458,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,15.07,0.0,0.00463,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,14.9177,0.0,0.00462,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,15.3366,0.0,0.00464,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,15.1736,0.0,0.00477,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,16.6371,0.0,0.0049,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,17.6655,0.0,0.00504,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,17.0333,0.0,0.00493,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,18.0724,0.0,0.00518,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,17.8088,0.0,0.00506,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,17.388,0.0,0.0048,200000,200000.0,0.0,1.0
2020-01-20,1,1.0005647775299538,-5772.505556036598,17.3235,20080321.285140563,0.00498,200000,200000.0,0.0,1.0
2020-01-21,2,1.5943304904801785,0.0,18.1166,0.0,0.00493,200000,205582.19022074965,5582.190220749646,1.0279109511037483
2020-01-22,2,1.3998002455292509,0.0,17.8344,0.0,0.00489,200000,205582.19022074965,5582.190220749646,1.0279109511037483
2020-01-23,0,-0.3189727343720755,0.0,17.0524,0.0,0.00522,200000,205582.19022074965,5582.190220749646,1.0279109511037483
2020-01-24,0,-0.3324143653369645,0.0,17.1148,0.0,0.0052,200000,205582.19022074965,5582.190220749646,1.0279109511037483
2020-01-25,0,-0.2615601209218038,0.0,16.9555,0.0,0.0051,200000,205582.19022074965,5582.190220749646,1.0279109511037483
2020-01-26,0,0.37076525812811295,0.0,17.499,0.0,0.00508,200000,205582.19022074965,5582.190220749646,1.0279109511037483
2020-01-27,0,0.5233822114767791,0.0,17.67,0.0,0.00508,200000,205582.19022074965,5582.190220749646,1.0279109511037483
2020-01-28,0,0.874001424777483,0.0,18.0662,0.0,0.00509,200000,205582.19022074965,5582.190220749646,1.0279109511037483
2020-01-29,0,0.9624953516972032,0.0,17.9134,0.0,0.00501,200000,205582.19022074965,5582.190220749646,1.0279109511037483
2020-01-30,1,1.0006481636508742,-5539.656442045476,18.5555,19920754.866351712,0.00516,200000,205582.19022074965,5582.190220749646,1.0279109511037483
2020-01-31,1,0.3933770045630318,-5539.656442045476,18.2644,19920754.866351712,0.00519,200000,204567.2188764608,4567.2188764608,1.022836094382304
2020-02-01,1,0.29236621571088095,-5539.656442045476,18.2752,19920754.866351712,0.0052,200000,204826.25471469839,4826.254714698385,1.024131273573492
2020-02-02,0,0.1077014174249772,0.0,18.4333,0.0,0.00526,200000,202913.16871689653,2913.168716896529,1.0145658435844827
2020-02-03,-2,-2.2073748375892297,0.0,18.46,0.0,0.00576,200000,202913.16871689653,2913.168716896529,1.0145658435844827
2020-02-04,-2,-1.641262009770706,0.0,18.1778,0.0,0.0056,200000,202913.16871689653,2913.168716896529,1.0145658435844827
2020-02-05,-1,-1.0853639931121402,5267.188472559872,19.262,-17432402.810729943,0.00582,200000,202913.16871689653,2913.168716896529,1.0145658435844827
2020-02-06,-2,-1.263497742816923,0.0,20.6675,0.0,0.00633,200000,204400.6607521859,4400.660752185911,1.0220033037609295
2020-02-07,-1,-1.1821372364970737,4633.779799872728,22.0555,-15096060.616852727,0.00677,200000,204400.6607521859,4400.660752185911,1.0220033037609295
2020-02-08,0,0.3344064512192513,0.0,21.7888,0.0,0.00626,200000,197937.49891021708,-2062.5010897829197,0.9896874945510854
2020-02-09,2,2.2773802225989623,0.0,24.38,0.0,0.00634,200000,197937.49891021708,-2062.5010897829197,0.9896874945510854
