date,statusList,zscore,ONGUSDT_position,ONGUSDT_price,FETUSDT_position,FETUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,0.0956,0.0,0.03832,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,0.095,0.0,0.03642,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,0.0995,0.0,0.03906,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,0.0981,0.0,0.04027,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,0.0998,0.0,0.03847,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,0.1024,0.0,0.03949,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,0.0997,0.0,0.0372,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,0.1016,0.0,0.03686,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,0.0991,0.0,0.0374,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,0.0996,0.0,0.03619,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,0.1039,0.0,0.03779,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,0.105,0.0,0.03987,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,0.1027,0.0,0.04063,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,0.1132,0.0,0.03899,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,0.1149,0.0,0.04001,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,0.1116,0.0,0.03962,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,0.1156,0.0,0.0422,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,0.1128,0.0,0.04109,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,0.1069,0.0,0.03771,200000,200000.0,0.0,1.0
2020-01-20,0,0.820177089656111,0.0,0.1043,0.0,0.03734,200000,200000.0,0.0,1.0
2020-01-21,0,0.7407260532094141,0.0,0.1062,0.0,0.03802,200000,200000.0,0.0,1.0
2020-01-22,0,0.01018500337261706,0.0,0.107,0.0,0.03952,200000,200000.0,0.0,1.0
2020-01-23,2,1.2830633220944903,0.0,0.1087,0.0,0.03775,200000,200000.0,0.0,1.0
2020-01-24,0,-0.6144822683617095,0.0,0.104,0.0,0.03893,200000,200000.0,0.0,1.0
2020-01-25,-2,-1.320716606978878,0.0,0.1037,0.0,0.03989,200000,200000.0,0.0,1.0
2020-01-26,0,-0.31461506947694307,0.0,0.1054,0.0,0.03889,200000,200000.0,0.0,1.0
2020-01-27,0,-0.25228460361954835,0.0,0.1058,0.0,0.03892,200000,200000.0,0.0,1.0
2020-01-28,2,1.2558252532365,0.0,0.1083,0.0,0.03767,200000,200000.0,0.0,1.0
2020-01-29,2,2.763355526021186,0.0,0.1157,0.0,0.03698,200000,200000.0,0.0,1.0
