date,statusList,zscore,WAVESUSDT_position,WAVESUSDT_price,VETUSDT_position,VETUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,1.0446,0.0,0.005358,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,0.9459,0.0,0.005094,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,0.9526,0.0,0.005327,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,0.9458,0.0,0.00562,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,0.8872,0.0,0.005465,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,0.8949,0.0,0.00573,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,0.8853,0.0,0.005578,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,0.851,0.0,0.005492,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,0.8231,0.0,0.005319,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,0.8244,0.0,0.005454,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,0.8561,0.0,0.005526,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,0.8447,0.0,0.005523,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,0.86,0.0,0.005407,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,0.8637,0.0,0.005994,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,0.896,0.0,0.006003,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,0.8809,0.0,0.005885,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,0.9,0.0,0.006392,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,0.8783,0.0,0.006239,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,0.8889,0.0,0.005862,200000,200000.0,0.0,1.0
2020-01-20,0,-0.6138684165504523,0.0,0.8673,0.0,0.005814,200000,200000.0,0.0,1.0
2020-01-21,0,-0.8045684486681054,0.0,0.8723,0.0,0.005964,200000,200000.0,0.0,1.0
2020-01-22,0,-0.2886204150588517,0.0,0.8862,0.0,0.005863,200000,200000.0,0.0,1.0
2020-01-23,0,0.44503087923411955,0.0,0.8726,0.0,0.005607,200000,200000.0,0.0,1.0
2020-01-24,0,0.24778225023960335,0.0,0.8552,0.0,0.00558,200000,200000.0,0.0,1.0
2020-01-25,0,0.017293696805694585,0.0,0.8512,0.0,0.005623,200000,200000.0,0.0,1.0
2020-01-26,0,0.20904490679743942,0.0,0.8718,0.0,0.00573,200000,200000.0,0.0,1.0
2020-01-27,0,0.06481925246884883,0.0,0.868,0.0,0.005748,200000,200000.0,0.0,1.0
2020-01-28,0,0.45079317686905135,0.0,0.8856,0.0,0.0058,200000,200000.0,0.0,1.0
