date,statusList,zscore,ETCUSDT_position,ETCUSDT_price,QTUMUSDT_position,QTUMUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,4.5035,0.0,1.603,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,4.2283,0.0,1.533,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,4.5768,0.0,1.629,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,4.7598,0.0,1.642,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,4.8784,0.0,1.631,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,5.0333,0.0,1.747,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,4.8344,0.0,1.735,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,4.9521,0.0,1.683,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,5.1848,0.0,1.634,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,5.36,0.0,1.734,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,5.5704,0.0,1.74,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,5.5765,0.0,1.754,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,5.4677,0.0,1.701,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,6.7895,0.0,1.915,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,7.9911,0.0,1.974,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,8.414,0.0,1.932,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,9.4792,0.0,2.092,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,8.2944,0.0,2.035,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,8.5268,0.0,1.931,200000,200000.0,0.0,1.0
2020-01-20,2,1.6690171102746163,0.0,8.6347,0.0,1.923,200000,200000.0,0.0,1.0
2020-01-21,2,1.5955098016837268,0.0,8.943,0.0,1.95,200000,200000.0,0.0,1.0
2020-01-22,2,1.543705694965234,0.0,9.3457,0.0,1.994,200000,200000.0,0.0,1.0
2020-01-23,1,1.1148988766251582,-11845.393918574762,8.4421,52910.05291005291,1.89,200000,200000.0,0.0,1.0
2020-01-24,1,1.1230558513069213,-11845.393918574762,8.6118,52910.05291005291,1.89,200000,202010.16334798216,2010.1633479821612,1.0100508167399107
2020-01-25,1,0.9413879974762007,-11845.393918574762,8.3966,52910.05291005291,1.867,200000,198244.10335977364,-1755.8966402263613,0.9912205167988682
2020-01-26,1,1.183244868036112,-11845.393918574762,9.19,52910.05291005291,1.935,200000,211240.12249265442,11240.122492654424,1.0562006124632721
2020-01-27,2,1.676515093837525,0.0,10.4161,0.0,1.997,200000,217721.4319338909,17721.43193389091,1.0886071596694546
2020-01-28,2,1.8910826596849135,0.0,11.3697,0.0,2.052,200000,217721.4319338909,17721.43193389091,1.0886071596694546
2020-01-29,2,2.0593531357838573,0.0,12.2231,0.0,2.066,200000,217721.4319338909,17721.43193389091,1.0886071596694546
2020-01-30,2,1.5503670397042468,0.0,12.2842,0.0,2.176,200000,217721.4319338909,17721.43193389091,1.0886071596694546
2020-01-31,1,1.0589141015999242,-9601.403772000835,11.338,51228.572219739035,2.125,200000,217721.4319338909,17721.43193389091,1.0886071596694546
2020-02-01,1,0.8830936201761396,-9601.403772000835,11.5282,51228.572219739035,2.193,200000,223031.16184226773,23031.161842267727,1.1151558092113387
2020-02-02,1,0.46854848007761274,-9601.403772000835,11.3658,51228.572219739035,2.262,200000,225006.6653528568,25006.6653528568,1.125033326764284
2020-02-03,1,0.6173990346491994,-9601.403772000835,11.7782,51228.572219739035,2.286,200000,230195.77000170367,30195.77000170367,1.1509788500085183
2020-02-04,0,0.14998114745578356,0.0,11.4111,0.0,2.307,200000,209099.69440563166,9099.694405631657,1.0454984720281584
2020-02-05,0,0.3000942777379927,0.0,12.3345,0.0,2.442,200000,209099.69440563166,9099.694405631657,1.0454984720281584
2020-02-06,0,-0.33220278534414266,0.0,12.1132,0.0,2.544,200000,209099.69440563166,9099.694405631657,1.0454984720281584
2020-02-07,0,-0.8981668679521112,0.0,11.6967,0.0,2.572,200000,209099.69440563166,9099.694405631657,1.0454984720281584
2020-02-08,-1,-1.0292157931587114,8937.106544725419,11.6984,-40211.479693390706,2.6,200000,209099.6944056317,9099.694405631686,1.0454984720281584
2020-02-09,-2,-1.3511929715771835,0.0,11.7025,0.0,2.697,200000,212963.5657990572,12963.565799057193,1.0648178289952859
2020-02-10,0,-0.8511833007361665,0.0,11.8387,0.0,2.597,200000,212963.5657990572,12963.565799057193,1.0648178289952859
2020-02-11,-1,-1.1133637955544387,8903.159105311755,11.96,-39306.675119796455,2.709,200000,212963.5657990572,12963.565799057193,1.0648178289952859
2020-02-12,-2,-1.2205172546280965,0.0,12.2074,0.0,2.805,200000,214534.36504790353,14534.365047903528,1.0726718252395175
2020-02-13,-2,-1.3897794576932743,0.0,12.055,0.0,2.849,200000,214534.36504790353,14534.365047903528,1.0726718252395175
2020-02-14,-2,-1.7592243003984704,0.0,12.0094,0.0,3.032,200000,214534.36504790353,14534.365047903528,1.0726718252395175
2020-02-15,-2,-1.7000487962126074,0.0,10.4066,0.0,2.69,200000,214534.36504790353,14534.365047903528,1.0726718252395175
2020-02-16,-2,-1.5435706940692926,0.0,9.5637,0.0,2.493,200000,214534.36504790353,14534.365047903528,1.0726718252395175
2020-02-17,-2,-1.3625840334697303,0.0,9.6792,0.0,2.51,200000,214534.36504790353,14534.365047903528,1.0726718252395175
2020-02-18,-2,-1.4772248153900573,0.0,9.8629,0.0,2.639,200000,214534.36504790353,14534.365047903528,1.0726718252395175
2020-02-19,-2,-1.5864217785735106,0.0,8.813,0.0,2.443,200000,214534.36504790353,14534.365047903528,1.0726718252395175
2020-02-20,-2,-1.2789238109217738,0.0,8.8702,0.0,2.389,200000,214534.36504790353,14534.365047903528,1.0726718252395175
2020-02-21,0,-0.8504626970668333,0.0,9.4157,0.0,2.416,200000,214534.36504790353,14534.365047903528,1.0726718252395175
2020-02-22,0,-0.6139004070434393,0.0,9.4958,0.0,2.388,200000,214534.36504790353,14534.365047903528,1.0726718252395175
2020-02-23,0,-0.6826146587105907,0.0,9.7439,0.0,2.491,200000,214534.36504790353,14534.365047903528,1.0726718252395175
2020-02-24,0,-0.4836906483205116,0.0,9.3481,0.0,2.358,200000,214534.36504790353,14534.365047903528,1.0726718252395175
2020-02-25,0,-0.731998980984958,0.0,9.1742,0.0,2.384,200000,214534.36504790353,14534.365047903528,1.0726718252395175
2020-02-26,-2,-1.212880093991253,0.0,7.6823,0.0,2.097,200000,214534.36504790353,14534.365047903528,1.0726718252395175
2020-02-27,-2,-1.204210792865649,0.0,7.7166,0.0,2.123,200000,214534.36504790353,14534.365047903528,1.0726718252395175
2020-02-28,-2,-1.236878022466729,0.0,7.4529,0.0,2.073,200000,214534.36504790353,14534.365047903528,1.0726718252395175
2020-02-29,-1,-1.0111282085398752,14586.236405215088,7.354,-52971.44815997618,2.025,200000,214534.36504790353,14534.365047903528,1.0726718252395175
2020-03-01,-1,-0.264756415302788,14586.236405215088,7.7346,-52971.44815997618,2.028,200000,220244.80096820832,20244.80096820832,1.1012240048410415
2020-03-02,0,0.1354564834925224,0.0,8.456,0.0,2.182,200000,206776.84989047277,6776.849890472775,1.033884249452364
2020-03-03,0,0.7778385948270015,0.0,8.4782,0.0,2.145,200000,206776.84989047277,6776.849890472775,1.033884249452364
2020-03-04,0,-0.8653032932892593,0.0,7.9381,0.0,2.152,200000,206776.84989047277,6776.849890472775,1.033884249452364
2020-03-05,0,-0.5076687650362797,0.0,8.1748,0.0,2.194,200000,206776.84989047277,6776.849890472775,1.033884249452364
2020-03-06,-2,-1.644988108304483,0.0,8.2189,0.0,2.314,200000,206776.84989047277,6776.849890472775,1.033884249452364
2020-03-07,-2,-1.5978263458382636,0.0,7.8017,0.0,2.212,200000,206776.84989047277,6776.849890472775,1.033884249452364
2020-03-08,-2,-2.0348920300706363,0.0,6.4442,0.0,1.893,200000,206776.84989047277,6776.849890472775,1.033884249452364
2020-03-09,0,-0.9602770109962073,0.0,6.9302,0.0,1.943,200000,206776.84989047277,6776.849890472775,1.033884249452364
2020-03-10,-2,-1.3101261505367767,0.0,6.8285,0.0,1.954,200000,206776.84989047277,6776.849890472775,1.033884249452364
2020-03-11,-2,-1.6613790139680495,0.0,6.5922,0.0,1.943,200000,206776.84989047277,6776.849890472775,1.033884249452364
2020-03-12,0,-0.6088378620309123,0.0,3.7168,0.0,1.039,200000,206776.84989047277,6776.849890472775,1.033884249452364
2020-03-13,0,0.9427282550700353,0.0,4.8432,0.0,1.258,200000,206776.84989047277,6776.849890472775,1.033884249452364
2020-03-14,2,1.2983980941254722,0.0,4.5898,0.0,1.173,200000,206776.84989047277,6776.849890472775,1.033884249452364
2020-03-15,2,2.4178669236211476,0.0,5.0484,0.0,1.209,200000,206776.84989047277,6776.849890472775,1.033884249452364
2020-03-16,2,2.430171796270828,0.0,4.4987,0.0,1.047,200000,206776.84989047277,6776.849890472775,1.033884249452364
2020-03-17,2,1.7385362338065404,0.0,4.6047,0.0,1.097,200000,206776.84989047277,6776.849890472775,1.033884249452364
2020-03-18,2,1.3661940736786835,0.0,4.6039,0.0,1.111,200000,206776.84989047277,6776.849890472775,1.033884249452364
2020-03-19,0,0.8074804910606554,0.0,5.0403,0.0,1.256,200000,206776.84989047277,6776.849890472775,1.033884249452364
2020-03-20,0,0.5792554614343423,0.0,4.8869,0.0,1.232,200000,206776.84989047277,6776.849890472775,1.033884249452364
2020-03-21,0,0.8703065750642291,0.0,5.008,0.0,1.232,200000,206776.84989047277,6776.849890472775,1.033884249452364
2020-03-22,0,0.6283754083116465,0.0,4.5935,0.0,1.147,200000,206776.84989047277,6776.849890472775,1.033884249452364
2020-03-23,0,0.6814533333694913,0.0,4.9669,0.0,1.234,200000,206776.84989047277,6776.849890472775,1.033884249452364
2020-03-24,0,0.48246902794792496,0.0,5.0657,0.0,1.272,200000,206776.84989047277,6776.849890472775,1.033884249452364
2020-03-25,0,0.4277611884524048,0.0,5.0181,0.0,1.261,200000,206776.84989047277,6776.849890472775,1.033884249452364
2020-03-26,0,0.4032494193813341,0.0,5.0968,0.0,1.277,200000,206776.84989047277,6776.849890472775,1.033884249452364
2020-03-27,0,0.66754412888529,0.0,4.9209,0.0,1.204,200000,206776.84989047277,6776.849890472775,1.033884249452364
2020-03-28,0,0.1376225316989948,0.0,4.8133,0.0,1.213,200000,206776.84989047277,6776.849890472775,1.033884249452364
2020-03-29,1,1.0652690221695091,-21482.862682382995,4.8126,90612.11651642103,1.141,200000,206776.84989047277,6776.849890472775,1.033884249452364
2020-03-30,1,0.6594295328296215,-21482.862682382995,4.9529,90612.11651642103,1.197,200000,214865.1740497307,14865.174049730704,1.0743258702486536
2020-03-31,1,0.28662512100919907,-21482.862682382995,4.9341,90612.11651642103,1.21,200000,215639.25374601537,15639.253746015369,1.0781962687300768
2020-04-01,1,0.43900348185333543,-21482.862682382995,5.0254,90612.11651642103,1.223,200000,218778.59662363044,18778.596623630438,1.093892983118152
2020-04-02,0,-0.49505084318928794,0.0,5.0957,0.0,1.268,200000,201350.90951826994,1350.9095182699384,1.0067545475913497
2020-04-03,0,-0.42046443221366336,0.0,5.1164,0.0,1.268,200000,201350.90951826994,1350.9095182699384,1.0067545475913497
2020-04-04,0,-0.8088455738514594,0.0,5.1474,0.0,1.29,200000,201350.90951826994,1350.9095182699384,1.0067545475913497
2020-04-05,0,-0.6864248678054267,0.0,5.0296,0.0,1.258,200000,201350.90951826994,1350.9095182699384,1.0067545475913497
2020-04-06,-1,-1.0050405849867605,17914.73828836681,5.6197,-71098.48499938911,1.416,200000,201350.90951826994,1350.9095182699384,1.0067545475913497
2020-04-07,-1,-0.7396737955797221,17914.73828836681,5.4749,-71098.48499938911,1.375,200000,195841.81752913946,-4158.182470860542,0.9792090876456973
2020-04-08,-2,-1.8983382042441082,0.0,5.8256,0.0,1.5,200000,203634.53764464392,3634.5376446439186,1.0181726882232196
2020-04-09,0,-0.4848326527132392,0.0,5.8893,0.0,1.476,200000,203634.53764464392,3634.5376446439186,1.0181726882232196
2020-04-10,-2,-1.3627715762598012,0.0,5.2478,0.0,1.341,200000,203634.53764464392,3634.5376446439186,1.0181726882232196
2020-04-11,-2,-1.2049063874033419,0.0,5.2804,0.0,1.348,200000,203634.53764464392,3634.5376446439186,1.0181726882232196
2020-04-12,-1,-1.1999646500666528,19158.390972306326,5.3145,-74865.6388399426,1.36,200000,203634.53764464392,3634.5376446439186,1.0181726882232196
