date,statusList,zscore,XMRUSDT_position,XMRUSDT_price,TFUELUSDT_position,TFUELUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,45.82,0.0,0.002383,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,45.5,0.0,0.002297,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,50.93,0.0,0.002403,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,50.37,0.0,0.002429,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,53.69,0.0,0.002412,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,58.91,0.0,0.002461,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,58.36,0.0,0.002382,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,59.44,0.0,0.002511,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,58.68,0.0,0.002395,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,58.42,0.0,0.002402,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,58.25,0.0,0.002403,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,59.19,0.0,0.002452,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,57.72,0.0,0.002456,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,62.55,0.0,0.002572,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,68.47,0.0,0.002567,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,65.63,0.0,0.002584,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,68.95,0.0,0.002598,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,67.0,0.0,0.002591,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,65.17,0.0,0.00246,200000,200000.0,0.0,1.0
2020-01-20,0,0.6293558560889018,0.0,64.96,0.0,0.002579,200000,200000.0,0.0,1.0
2020-01-21,1,1.0476733713725739,-1518.141794443601,65.87,39777247.41447891,0.002514,200000,200000.0,0.0,1.0
2020-01-22,1,0.8193296894166608,-1518.141794443601,65.0,39777247.41447891,0.002515,200000,198718.9938862485,-1281.0061137515004,0.9935949694312425
2020-01-23,1,0.28890259265796203,-1518.141794443601,62.55,39777247.41447891,0.002492,200000,194084.66979932867,-5915.330200671335,0.9704233489966433
2020-01-24,1,0.24781130168786264,-1518.141794443601,61.67,39777247.41447891,0.002449,200000,191038.28338139574,-8961.71661860426,0.9551914169069787
2020-01-25,0,-0.36919706889665266,0.0,61.35,0.0,0.002489,200000,194132.43027447688,-5867.569725523121,0.9706621513723844
2020-01-26,0,0.5122216277206928,0.0,63.97,0.0,0.0025,200000,194132.43027447688,-5867.569725523121,0.9706621513723844
2020-01-27,0,0.29552582098469893,0.0,65.44,0.0,0.002574,200000,194132.43027447688,-5867.569725523121,0.9706621513723844
2020-01-28,0,0.8619389381667293,0.0,67.71,0.0,0.0026,200000,194132.43027447688,-5867.569725523121,0.9706621513723844
2020-01-29,2,2.5151226717675943,0.0,70.02,0.0,0.002481,200000,194132.43027447688,-5867.569725523121,0.9706621513723844
2020-01-30,2,2.8911003834838898,0.0,74.83,0.0,0.002498,200000,194132.43027447688,-5867.569725523121,0.9706621513723844
2020-01-31,2,1.9437066635727713,0.0,72.16,0.0,0.002482,200000,194132.43027447688,-5867.569725523121,0.9706621513723844
2020-02-01,2,1.824107034365045,0.0,73.22,0.0,0.002496,200000,194132.43027447688,-5867.569725523121,0.9706621513723844
2020-02-02,2,1.778873422323913,0.0,74.89,0.0,0.002528,200000,194132.43027447688,-5867.569725523121,0.9706621513723844
2020-02-03,2,1.7753382023269946,0.0,76.74,0.0,0.002553,200000,194132.43027447688,-5867.569725523121,0.9706621513723844
2020-02-04,0,0.24171299248891673,0.0,75.17,0.0,0.002754,200000,194132.43027447688,-5867.569725523121,0.9706621513723844
2020-02-05,0,0.04177239875525136,0.0,77.84,0.0,0.002882,200000,194132.43027447688,-5867.569725523121,0.9706621513723844
2020-02-06,0,-0.5585085571958283,0.0,78.3,0.0,0.003024,200000,194132.43027447688,-5867.569725523121,0.9706621513723844
2020-02-07,-1,-1.0874229665333948,1221.2659176804032,79.48,-30333192.23038701,0.0032,200000,194132.43027447688,-5867.569725523121,0.9706621513723844
2020-02-08,0,-0.13580676126744023,0.0,80.64,0.0,0.003031,200000,187589.4523230322,-12410.547676967806,0.937947261615161
2020-02-09,0,-0.3479663275311424,0.0,87.59,0.0,0.003333,200000,187589.4523230322,-12410.547676967806,0.937947261615161
2020-02-10,-2,-1.2800548766100388,0.0,84.53,0.0,0.003465,200000,187589.4523230322,-12410.547676967806,0.937947261615161
2020-02-11,0,-0.885336956431583,0.0,89.36,0.0,0.003563,200000,187589.4523230322,-12410.547676967806,0.937947261615161
2020-02-12,0,-0.7571732983052475,0.0,94.29,0.0,0.00372,200000,187589.4523230322,-12410.547676967806,0.937947261615161
2020-02-13,-2,-1.5704249210709222,0.0,92.25,0.0,0.003918,200000,187589.4523230322,-12410.547676967806,0.937947261615161
2020-02-14,0,-0.9526508111134071,0.0,95.16,0.0,0.003836,200000,187589.4523230322,-12410.547676967806,0.937947261615161
2020-02-15,0,-0.48075608485748705,0.0,89.1,0.0,0.003458,200000,187589.4523230322,-12410.547676967806,0.937947261615161
2020-02-16,0,0.009038154348965734,0.0,87.8,0.0,0.003274,200000,187589.4523230322,-12410.547676967806,0.937947261615161
2020-02-17,-1,-1.0827743781430998,1135.6668623503583,82.59,-27840524.239096496,0.003369,200000,187589.4523230322,-12410.547676967806,0.937947261615161
2020-02-18,-1,-0.5648789077797168,1135.6668623503583,86.34,-27840524.239096496,0.003394,200000,192544.21616282343,-7455.783837176568,0.9627210808141171
2020-02-19,-1,-0.6286136463765791,1135.6668623503583,77.69,-27840524.239096496,0.003088,200000,174201.4973863293,-25798.502613670687,0.8710074869316465
2020-02-20,-1,-0.934060758144787,1135.6668623503583,76.39,-27840524.239096496,0.003129,200000,173866.59195907682,-26133.408040923183,0.869332959795384
2020-02-21,0,-0.18526921890973325,0.0,80.29,0.0,0.003134,200000,183658.96291025035,-16341.037089749647,0.9182948145512517
2020-02-22,0,-0.4801606669489598,0.0,78.9,0.0,0.003154,200000,183658.96291025035,-16341.037089749647,0.9182948145512517
2020-02-23,0,0.7096565883940795,0.0,85.05,0.0,0.003246,200000,183658.96291025035,-16341.037089749647,0.9182948145512517
