date,statusList,zscore,ADAUSDT_position,ADAUSDT_price,XRPUSDT_position,XRPUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,0.03348,0.0,0.19305,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,0.03269,0.0,0.1875,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,0.03417,0.0,0.19338,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,0.03434,0.0,0.19305,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,0.0346,0.0,0.19453,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,0.03732,0.0,0.2231,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,0.037,0.0,0.21335,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,0.03631,0.0,0.2075,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,0.03616,0.0,0.20373,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,0.03693,0.0,0.21284,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,0.03678,0.0,0.21121,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,0.03792,0.0,0.21539,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,0.03682,0.0,0.21134,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,0.04161,0.0,0.23464,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,0.04275,0.0,0.23367,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,0.04168,0.0,0.229,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,0.0449,0.0,0.23921,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,0.04489,0.0,0.24357,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,0.042,0.0,0.23558,200000,200000.0,0.0,1.0
2020-01-20,2,1.9853360603363621,0.0,0.04378,0.0,0.23314,200000,200000.0,0.0,1.0
2020-01-21,2,2.4745099323762205,0.0,0.04602,0.0,0.23726,200000,200000.0,0.0,1.0
2020-01-22,2,1.9268202110885735,0.0,0.04575,0.0,0.23733,200000,200000.0,0.0,1.0
2020-01-23,2,1.4954068390367057,0.0,0.04318,0.0,0.22586,200000,200000.0,0.0,1.0
2020-01-24,2,2.3701461721670536,0.0,0.04495,0.0,0.22222,200000,200000.0,0.0,1.0
2020-01-25,2,1.51473668988855,0.0,0.04314,0.0,0.21946,200000,200000.0,0.0,1.0
2020-01-26,1,1.0979375277403773,-2233638.597274961,0.04477,432320.26285071985,0.23131,200000,200000.0,0.0,1.0
2020-01-27,2,2.2166489773250757,0.0,0.04796,0.0,0.23077,200000,207358.7600672465,7358.760067246505,1.0367938003362325
2020-01-28,2,2.6657530078796627,0.0,0.0529,0.0,0.23906,200000,207358.7600672465,7358.760067246505,1.0367938003362325
2020-01-29,2,2.4131932719453526,0.0,0.05329,0.0,0.23539,200000,207358.7600672465,7358.760067246505,1.0367938003362325
2020-01-30,2,2.20216821635405,0.0,0.05614,0.0,0.24376,200000,207358.7600672465,7358.760067246505,1.0367938003362325
2020-01-31,2,1.6626892082503941,0.0,0.0539,0.0,0.23946,200000,207358.7600672465,7358.760067246505,1.0367938003362325
2020-02-01,2,1.7968412773206512,0.0,0.0561,0.0,0.24141,200000,207358.7600672465,7358.760067246505,1.0367938003362325
2020-02-02,1,1.132038066393817,-1861389.2286108304,0.0557,413180.48871646775,0.25093,200000,207358.7600672465,7358.760067246505,1.0367938003362325
2020-02-03,1,1.115631013450801,-1861389.2286108304,0.05696,413180.48871646775,0.25453,200000,211191.56025467542,11191.560254675423,1.055957801273377
2020-02-04,1,0.28081248142692256,-1861389.2286108304,0.05601,413180.48871646775,0.26737,200000,214728.4779626146,14728.47796261459,1.073642389813073
2020-02-05,1,0.44023000436523496,-1861389.2286108304,0.05933,413180.48871646775,0.27774,200000,225192.97186959232,25192.971869592322,1.1259648593479616
2020-02-06,1,0.2905941057839217,-1861389.2286108304,0.06008,413180.48871646775,0.28325,200000,228865.6382838782,28865.638283878186,1.144328191419391
2020-02-07,1,0.3423707727349335,-1861389.2286108304,0.05987,413180.48871646775,0.27953,200000,226937.71512784465,26937.715127844654,1.1346885756392233
2020-02-08,1,0.40423462142409566,-1861389.2286108304,0.06002,413180.48871646775,0.27735,200000,226316.19004673435,26316.19004673435,1.1315809502336718
2020-02-09,1,0.5105291638910128,-1861389.2286108304,0.06188,413180.48871646775,0.28257,200000,231935.17616305046,31935.176163050462,1.1596758808152523
2020-02-10,1,0.5520202870235926,-1861389.2286108304,0.06029,413180.48871646775,0.27338,200000,225178.43859825493,25178.43859825493,1.1258921929912746
2020-02-11,1,0.8600257649812476,-1861389.2286108304,0.06335,413180.48871646775,0.281,200000,234022.72496182355,34022.72496182355,1.1701136248091177
2020-02-12,1,0.6780195232657712,-1861389.2286108304,0.06817,413180.48871646775,0.30427,200000,252609.33101615994,52609.33101615994,1.2630466550807997
2020-02-13,0,-0.7079917599054708,0.0,0.06867,0.0,0.32709,200000,200033.1523416828,33.15234168281313,1.000165761708414
