date,statusList,zscore,VETUSDT_position,VETUSDT_price,HOTUSDT_position,HOTUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,0.005358,0.0,0.0006275,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,0.005094,0.0,0.0006035,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,0.005327,0.0,0.0006794,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,0.00562,0.0,0.0006796,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,0.005465,0.0,0.0006708,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,0.00573,0.0,0.000703,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,0.005578,0.0,0.0006815,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,0.005492,0.0,0.0006721,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,0.005319,0.0,0.000671,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,0.005454,0.0,0.0006865,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,0.005526,0.0,0.00067,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,0.005523,0.0,0.0006813,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,0.005407,0.0,0.000674,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,0.005994,0.0,0.0007056,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,0.006003,0.0,0.0007118,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,0.005885,0.0,0.0006959,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,0.006392,0.0,0.0007304,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,0.006239,0.0,0.0007145,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,0.005862,0.0,0.0006752,200000,200000.0,0.0,1.0
2020-01-20,1,1.0776415022489239,-17199862.401100792,0.005814,148016577.85671994,0.0006756,200000,200000.0,0.0,1.0
2020-01-21,2,2.05758538001909,0.0,0.005964,0.0,0.0006651,200000,204134.1534276607,4134.153427660698,1.0206707671383035
2020-01-22,2,1.2980549072136596,0.0,0.005863,0.0,0.0006688,200000,204134.1534276607,4134.153427660698,1.0206707671383035
2020-01-23,2,1.4274917786457237,0.0,0.005607,0.0,0.0006333,200000,204134.1534276607,4134.153427660698,1.0206707671383035
2020-01-24,1,1.1205717214445197,-18291590.80893017,0.00558,160836868.44284642,0.0006346,200000,204134.1534276607,4134.153427660698,1.0206707671383035
2020-01-25,2,1.664483822973072,0.0,0.005623,0.0,0.000621,200000,207108.0732432674,7108.073243267398,1.035540366216337
2020-01-26,2,1.4126380346485121,0.0,0.00573,0.0,0.0006347,200000,207108.0732432674,7108.073243267398,1.035540366216337
2020-01-27,0,0.7485217426911458,0.0,0.005748,0.0,0.0006521,200000,207108.0732432674,7108.073243267398,1.035540366216337
2020-01-28,1,1.0160167750973914,-17854144.24510926,0.0058,159805612.07042238,0.000648,200000,207108.07324326743,7108.073243267427,1.0355403662163372
2020-01-29,1,0.46533545289662837,-17854144.24510926,0.005733,159805612.07042238,0.0006531,200000,206726.85420040425,6726.854200404254,1.0336342710020212
2020-01-30,1,0.8170761464390901,-17854144.24510926,0.005687,159805612.07042238,0.000638,200000,203492.49882286583,3492.498822865833,1.017462494114329
2020-01-31,2,1.34782730920674,0.0,0.005766,0.0,0.0006329,200000,208914.09708119708,8914.097081197076,1.0445704854059854
2020-02-01,2,1.8511332341679008,0.0,0.005997,0.0,0.0006448,200000,208914.09708119708,8914.097081197076,1.0445704854059854
2020-02-02,2,1.7757534579496008,0.0,0.006229,0.0,0.0006719,200000,208914.09708119708,8914.097081197076,1.0445704854059854
2020-02-03,2,2.3144101055061523,0.0,0.006304,0.0,0.0006619,200000,208914.09708119708,8914.097081197076,1.0445704854059854
2020-02-04,2,1.677829162154818,0.0,0.006532,0.0,0.000695,200000,208914.09708119708,8914.097081197076,1.0445704854059854
2020-02-05,2,1.2255345174367775,0.0,0.006472,0.0,0.0006959,200000,208914.09708119708,8914.097081197076,1.0445704854059854
2020-02-06,0,0.7222569861661542,0.0,0.0068,0.0,0.00074,200000,208914.09708119708,8914.097081197076,1.0445704854059854
2020-02-07,0,-0.789380728246631,0.0,0.006817,0.0,0.0007744,200000,208914.09708119708,8914.097081197076,1.0445704854059854
2020-02-08,-2,-2.4418839238707553,0.0,0.006669,0.0,0.000808,200000,208914.09708119708,8914.097081197076,1.0445704854059854
2020-02-09,-2,-1.4834552630574958,0.0,0.006825,0.0,0.0008003,200000,208914.09708119708,8914.097081197076,1.0445704854059854
2020-02-10,-2,-1.2222216883895411,0.0,0.00651,0.0,0.0007595,200000,208914.09708119708,8914.097081197076,1.0445704854059854
