date,statusList,zscore,FETUSDT_position,FETUSDT_price,IOSTUSDT_position,IOSTUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,0.03832,0.0,0.004817,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,0.03642,0.0,0.004605,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,0.03906,0.0,0.004819,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,0.04027,0.0,0.004869,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,0.03847,0.0,0.004916,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,0.03949,0.0,0.00512,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,0.0372,0.0,0.00496,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,0.03686,0.0,0.004716,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,0.0374,0.0,0.004766,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,0.03619,0.0,0.005095,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,0.03779,0.0,0.004983,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,0.03987,0.0,0.005361,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,0.04063,0.0,0.005108,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,0.03899,0.0,0.005758,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,0.04001,0.0,0.005815,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,0.03962,0.0,0.005884,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,0.0422,0.0,0.006125,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,0.04109,0.0,0.005849,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,0.03771,0.0,0.005483,200000,200000.0,0.0,1.0
2020-01-20,0,-0.9835314280035333,0.0,0.03734,0.0,0.005363,200000,200000.0,0.0,1.0
2020-01-21,0,-0.7680941863569126,0.0,0.03802,0.0,0.005409,200000,200000.0,0.0,1.0
2020-01-22,0,-0.2937320955343115,0.0,0.03952,0.0,0.005462,200000,200000.0,0.0,1.0
2020-01-23,0,-0.3340317633896929,0.0,0.03775,0.0,0.005258,200000,200000.0,0.0,1.0
2020-01-24,0,0.4971651810317397,0.0,0.03893,0.0,0.005196,200000,200000.0,0.0,1.0
2020-01-25,0,0.992020126831387,0.0,0.03989,0.0,0.005198,200000,200000.0,0.0,1.0
2020-01-26,0,-0.09900825502520466,0.0,0.03889,0.0,0.005384,200000,200000.0,0.0,1.0
2020-01-27,0,-0.19740828995750961,0.0,0.03892,0.0,0.005428,200000,200000.0,0.0,1.0
2020-01-28,-2,-1.4829730904046687,0.0,0.03767,0.0,0.005681,200000,200000.0,0.0,1.0
2020-01-29,-2,-1.4578273995860214,0.0,0.03698,0.0,0.005607,200000,200000.0,0.0,1.0
2020-01-30,0,-0.7323540880219976,0.0,0.0383,0.0,0.005599,200000,200000.0,0.0,1.0
2020-01-31,0,-0.6143445274835608,0.0,0.0389,0.0,0.005674,200000,200000.0,0.0,1.0
2020-02-01,-2,-1.39357057426605,0.0,0.03862,0.0,0.005922,200000,200000.0,0.0,1.0
2020-02-02,-2,-1.551720613168236,0.0,0.0394,0.0,0.00609,200000,200000.0,0.0,1.0
2020-02-03,0,-0.7689406993713211,0.0,0.04111,0.0,0.006128,200000,200000.0,0.0,1.0
2020-02-04,-2,-2.042309354064864,0.0,0.04117,0.0,0.006656,200000,200000.0,0.0,1.0
