date,statusList,zscore,ONGUSDT_position,ONGUSDT_price,IOSTUSDT_position,IOSTUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,0.0956,0.0,0.004817,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,0.095,0.0,0.004605,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,0.0995,0.0,0.004819,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,0.0981,0.0,0.004869,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,0.0998,0.0,0.004916,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,0.1024,0.0,0.00512,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,0.0997,0.0,0.00496,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,0.1016,0.0,0.004716,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,0.0991,0.0,0.004766,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,0.0996,0.0,0.005095,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,0.1039,0.0,0.004983,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,0.105,0.0,0.005361,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,0.1027,0.0,0.005108,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,0.1132,0.0,0.005758,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,0.1149,0.0,0.005815,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,0.1116,0.0,0.005884,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,0.1156,0.0,0.006125,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,0.1128,0.0,0.005849,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,0.1069,0.0,0.005483,200000,200000.0,0.0,1.0
2020-01-20,0,-0.7873859302756554,0.0,0.1043,0.0,0.005363,200000,200000.0,0.0,1.0
2020-01-21,0,-0.4934319846791727,0.0,0.1062,0.0,0.005409,200000,200000.0,0.0,1.0
2020-01-22,0,-0.49157527935411605,0.0,0.107,0.0,0.005462,200000,200000.0,0.0,1.0
2020-01-23,1,1.13249694942143,-919963.2014719411,0.1087,19018638.26550019,0.005258,200000,200000.0,0.0,1.0
2020-01-24,0,0.1561416372621758,0.0,0.104,0.0,0.005196,200000,196855.32852554286,-3144.6714744571364,0.9842766426277143
2020-01-25,0,0.0849617854834065,0.0,0.1037,0.0,0.005198,200000,196855.32852554286,-3144.6714744571364,0.9842766426277143
2020-01-26,0,-0.44761818836092776,0.0,0.1054,0.0,0.005384,200000,196855.32852554286,-3144.6714744571364,0.9842766426277143
2020-01-27,0,-0.5276308925257148,0.0,0.1058,0.0,0.005428,200000,196855.32852554286,-3144.6714744571364,0.9842766426277143
2020-01-28,-1,-1.184616701286451,908842.6986405489,0.1083,-17325763.820237886,0.005681,200000,196855.32852554286,-3144.6714744571364,0.9842766426277143
2020-01-29,0,1.719925307957248,0.0,0.1157,0.0,0.005607,200000,188847.78603290522,-11152.21396709478,0.9442389301645261
2020-01-30,2,3.065795930721701,0.0,0.1244,0.0,0.005599,200000,188847.78603290522,-11152.21396709478,0.9442389301645261
2020-01-31,2,3.6249309579863582,0.0,0.1429,0.0,0.005674,200000,188847.78603290522,-11152.21396709478,0.9442389301645261
2020-02-01,2,2.1172244997573193,0.0,0.1404,0.0,0.005922,200000,188847.78603290522,-11152.21396709478,0.9442389301645261
2020-02-02,2,1.6327752266322313,0.0,0.1419,0.0,0.00609,200000,188847.78603290522,-11152.21396709478,0.9442389301645261
2020-02-03,2,1.5340227661849635,0.0,0.144,0.0,0.006128,200000,188847.78603290522,-11152.21396709478,0.9442389301645261
2020-02-04,1,1.1321800617741355,-617553.2571383427,0.1529,14186282.00367377,0.006656,200000,188847.78603290522,-11152.21396709478,0.9442389301645261
2020-02-05,2,1.351407554966333,0.0,0.1584,0.0,0.006681,200000,191889.6718970742,-8110.328102925792,0.959448359485371
2020-02-06,0,0.724302666291888,0.0,0.1609,0.0,0.007113,200000,191889.6718970742,-8110.328102925792,0.959448359485371
2020-02-07,0,0.4014942461379024,0.0,0.1614,0.0,0.007299,200000,191889.6718970742,-8110.328102925792,0.959448359485371
2020-02-08,0,0.3415987437645744,0.0,0.1565,0.0,0.007077,200000,191889.6718970742,-8110.328102925792,0.959448359485371
