date,statusList,zscore,IOSTUSDT_position,IOSTUSDT_price,ONGUSDT_position,ONGUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,0.004817,0.0,0.0956,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,0.004605,0.0,0.095,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,0.004819,0.0,0.0995,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,0.004869,0.0,0.0981,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,0.004916,0.0,0.0998,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,0.00512,0.0,0.1024,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,0.00496,0.0,0.0997,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,0.004716,0.0,0.1016,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,0.004766,0.0,0.0991,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,0.005095,0.0,0.0996,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,0.004983,0.0,0.1039,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,0.005361,0.0,0.105,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,0.005108,0.0,0.1027,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,0.005758,0.0,0.1132,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,0.005815,0.0,0.1149,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,0.005884,0.0,0.1116,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,0.006125,0.0,0.1156,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,0.005849,0.0,0.1128,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,0.005483,0.0,0.1069,200000,200000.0,0.0,1.0
2020-01-20,0,0.7854402826933347,0.0,0.005363,0.0,0.1043,200000,200000.0,0.0,1.0
2020-01-21,0,0.4755591453205385,0.0,0.005409,0.0,0.1062,200000,200000.0,0.0,1.0
2020-01-22,0,0.47723148999706816,0.0,0.005462,0.0,0.107,200000,200000.0,0.0,1.0
2020-01-23,-1,-1.1428574729798615,19018638.26550019,0.005258,-919963.2014719411,0.1087,200000,200000.0,0.0,1.0
2020-01-24,0,-0.19003455332432465,0.0,0.005196,0.0,0.104,200000,196855.32852554286,-3144.6714744571364,0.9842766426277143
2020-01-25,0,-0.11802141426735527,0.0,0.005198,0.0,0.1037,200000,196855.32852554286,-3144.6714744571364,0.9842766426277143
2020-01-26,0,0.43409057111436794,0.0,0.005384,0.0,0.1054,200000,196855.32852554286,-3144.6714744571364,0.9842766426277143
2020-01-27,0,0.5208997045985678,0.0,0.005428,0.0,0.1058,200000,196855.32852554286,-3144.6714744571364,0.9842766426277143
2020-01-28,2,1.2195476512708172,0.0,0.005681,0.0,0.1083,200000,196855.32852554286,-3144.6714744571364,0.9842766426277143
2020-01-29,-2,-1.6935319072440884,0.0,0.005607,0.0,0.1157,200000,196855.32852554286,-3144.6714744571364,0.9842766426277143
2020-01-30,-2,-2.9164504304608134,0.0,0.005599,0.0,0.1244,200000,196855.32852554286,-3144.6714744571364,0.9842766426277143
2020-01-31,-2,-3.4330125267571203,0.0,0.005674,0.0,0.1429,200000,196855.32852554286,-3144.6714744571364,0.9842766426277143
2020-02-01,-2,-2.1369322670189352,0.0,0.005922,0.0,0.1404,200000,196855.32852554286,-3144.6714744571364,0.9842766426277143
2020-02-02,-2,-1.6780126254987315,0.0,0.00609,0.0,0.1419,200000,196855.32852554286,-3144.6714744571364,0.9842766426277143
2020-02-03,-2,-1.5559964655084872,0.0,0.006128,0.0,0.144,200000,196855.32852554286,-3144.6714744571364,0.9842766426277143
2020-02-04,-1,-1.1847276518633865,14787810.135632727,0.006656,-643738.8113981127,0.1529,200000,196855.32852554286,-3144.6714744571364,0.9842766426277143
2020-02-05,-2,-1.3490580633418519,0.0,0.006681,0.0,0.1584,200000,200026.19673484168,26.196734841680154,1.0001309836742085
2020-02-06,0,-0.7909329211993444,0.0,0.007113,0.0,0.1609,200000,200026.19673484168,26.196734841680154,1.0001309836742085
2020-02-07,0,-0.4815383421459449,0.0,0.007299,0.0,0.1614,200000,200026.19673484168,26.196734841680154,1.0001309836742085
2020-02-08,0,-0.4178771723921728,0.0,0.007077,0.0,0.1565,200000,200026.19673484168,26.196734841680154,1.0001309836742085
2020-02-09,0,0.053147495795931955,0.0,0.007598,0.0,0.1621,200000,200026.19673484168,26.196734841680154,1.0001309836742085
2020-02-10,0,0.3924495123497658,0.0,0.007472,0.0,0.1557,200000,200026.19673484168,26.196734841680154,1.0001309836742085
2020-02-11,0,0.2572623002579821,0.0,0.007594,0.0,0.1607,200000,200026.19673484168,26.196734841680154,1.0001309836742085
2020-02-12,0,-0.5998912988524439,0.0,0.007946,0.0,0.1808,200000,200026.19673484168,26.196734841680154,1.0001309836742085
2020-02-13,-2,-1.5216411097813194,0.0,0.007778,0.0,0.1948,200000,200026.19673484168,26.196734841680154,1.0001309836742085
2020-02-14,-2,-1.5272978902840428,0.0,0.008343,0.0,0.2128,200000,200026.19673484168,26.196734841680154,1.0001309836742085
2020-02-15,-2,-2.303646389150672,0.0,0.007382,0.0,0.2142,200000,200026.19673484168,26.196734841680154,1.0001309836742085
2020-02-16,-2,-1.9013012164108318,0.0,0.006682,0.0,0.1902,200000,200026.19673484168,26.196734841680154,1.0001309836742085
2020-02-17,-2,-1.599355278904709,0.0,0.006532,0.0,0.1813,200000,200026.19673484168,26.196734841680154,1.0001309836742085
2020-02-18,-1,-1.181587864738084,14740324.00404139,0.006785,-549522.5185023124,0.182,200000,200026.19673484168,26.196734841680154,1.0001309836742085
2020-02-19,-1,-1.0988049491841523,14740324.00404139,0.006205,-549522.5185023124,0.1671,200000,183288.92328681322,-16711.076713186776,0.9164446164340662
2020-02-20,-1,-0.8512081960043626,14740324.00404139,0.006189,-549522.5185023124,0.1628,200000,180690.13127318863,-19309.86872681137,0.9034506563659431
2020-02-21,-1,-0.8723815143132224,14740324.00404139,0.006347,-549522.5185023124,0.1687,200000,186261.2853249908,-13738.714675009192,0.931306426624954
2020-02-22,-1,-0.5258537497587427,14740324.00404139,0.006222,-549522.5185023124,0.16,200000,179637.8989135155,-20362.1010864845,0.8981894945675775
2020-02-23,-1,-0.6121871796290022,14740324.00404139,0.006432,-549522.5185023124,0.168,200000,187129.5471023827,-12870.452897617302,0.9356477355119135
2020-02-24,-1,-0.2700005115892322,14740324.00404139,0.006165,-549522.5185023124,0.1558,200000,176489.70586757545,-23510.294132424548,0.8824485293378772
2020-02-25,-1,-0.2649349845713253,14740324.00404139,0.005595,-549522.5185023124,0.1418,200000,160394.40592623947,-39605.59407376053,0.8019720296311974
2020-02-26,0,0.3117169237100304,0.0,0.00505,0.0,0.1209,200000,192024.8330013622,-7975.166998637811,0.960124165006811
2020-02-27,0,0.0625633905688915,0.0,0.00523,0.0,0.1292,200000,192024.8330013622,-7975.166998637811,0.960124165006811
2020-02-28,0,0.15122383429519962,0.0,0.005251,0.0,0.1294,200000,192024.8330013622,-7975.166998637811,0.960124165006811
2020-02-29,0,0.3122149108835552,0.0,0.005115,0.0,0.1254,200000,192024.8330013622,-7975.166998637811,0.960124165006811
2020-03-01,0,0.051985044559465315,0.0,0.005049,0.0,0.1281,200000,192024.8330013622,-7975.166998637811,0.960124165006811
2020-03-02,0,0.12358498694600578,0.0,0.005283,0.0,0.135,200000,192024.8330013622,-7975.166998637811,0.960124165006811
2020-03-03,0,0.3644689685525019,0.0,0.005186,0.0,0.1319,200000,192024.8330013622,-7975.166998637811,0.960124165006811
2020-03-04,2,1.543090252342084,0.0,0.005471,0.0,0.1308,200000,192024.8330013622,-7975.166998637811,0.960124165006811
2020-03-05,0,0.8546999319778101,0.0,0.005473,0.0,0.135,200000,192024.8330013622,-7975.166998637811,0.960124165006811
2020-03-06,2,1.551115493381046,0.0,0.00571,0.0,0.1355,200000,192024.8330013622,-7975.166998637811,0.960124165006811
2020-03-07,2,1.4482983861506349,0.0,0.005386,0.0,0.128,200000,192024.8330013622,-7975.166998637811,0.960124165006811
2020-03-08,1,1.0786639913489424,-20804423.943809554,0.004615,864198.1683229621,0.1111,200000,192024.8330013622,-7975.166998637811,0.960124165006811
2020-03-09,0,-0.4026779982184618,0.0,0.004498,0.0,0.1145,200000,186652.4416276384,-13347.558372361585,0.933262208138192
2020-03-10,0,-0.2320929623178928,0.0,0.004562,0.0,0.1149,200000,186652.4416276384,-13347.558372361585,0.933262208138192
2020-03-11,0,0.03947803858363035,0.0,0.004444,0.0,0.1106,200000,186652.4416276384,-13347.558372361585,0.933262208138192
2020-03-12,0,0.916381713564236,0.0,0.002293,0.0,0.0554,200000,186652.4416276384,-13347.558372361585,0.933262208138192
2020-03-13,0,0.9879121381327484,0.0,0.002562,0.0,0.0616,200000,186652.4416276384,-13347.558372361585,0.933262208138192
2020-03-14,0,0.2141487744345507,0.0,0.002599,0.0,0.0637,200000,186652.4416276384,-13347.558372361585,0.933262208138192
2020-03-15,-2,-3.388631507202526,0.0,0.002761,0.0,0.0796,200000,186652.4416276384,-13347.558372361585,0.933262208138192
2020-03-16,-2,-1.554476165752334,0.0,0.002417,0.0,0.0645,200000,186652.4416276384,-13347.558372361585,0.933262208138192
2020-03-17,-2,-1.328231856593657,0.0,0.002515,0.0,0.0669,200000,186652.4416276384,-13347.558372361585,0.933262208138192
2020-03-18,-1,-1.1308685062182127,37181761.28040606,0.00251,-1403401.8167491609,0.0665,200000,186652.4416276384,-13347.558372361585,0.933262208138192
2020-03-19,-2,-1.6408371741504002,0.0,0.002847,0.0,0.0784,200000,190822.66969545657,-9177.33030454343,0.9541133484772828
2020-03-20,0,-0.847764698889524,0.0,0.003146,0.0,0.0833,200000,190822.66969545657,-9177.33030454343,0.9541133484772828
2020-03-21,1,1.0791473008067807,-27792407.470937457,0.003433,1166397.7365247956,0.0818,200000,190822.66969545657,-9177.33030454343,0.9541133484772828
2020-03-22,1,0.5725266079065707,-27792407.470937457,0.002959,1166397.7365247956,0.0722,200000,166451.65028359418,-33548.34971640582,0.8322582514179708
2020-03-23,1,0.4851293767974216,-27792407.470937457,0.003258,1166397.7365247956,0.0797,200000,183509.56314134045,-16490.436858659552,0.9175478157067023
2020-03-24,1,0.4614503063291552,-27792407.470937457,0.003346,1166397.7365247956,0.0821,200000,188754.64956644247,-11245.350433557527,0.9437732478322124
2020-03-25,0,-0.610405042310111,0.0,0.003137,0.0,0.0818,200000,182596.11708405908,-17403.88291594092,0.9129805854202954
2020-03-26,0,-0.6767845035598873,0.0,0.003161,0.0,0.0831,200000,182596.11708405908,-17403.88291594092,0.9129805854202954
2020-03-27,0,-0.9293266242373581,0.0,0.00297,0.0,0.0796,200000,182596.11708405908,-17403.88291594092,0.9129805854202954
2020-03-28,0,-0.7370468690274257,0.0,0.002958,0.0,0.0788,200000,182596.11708405908,-17403.88291594092,0.9129805854202954
2020-03-29,-2,-1.8145016514617212,0.0,0.002743,0.0,0.0789,200000,182596.11708405908,-17403.88291594092,0.9129805854202954
2020-03-30,-2,-1.4952928540752397,0.0,0.002925,0.0,0.0835,200000,182596.11708405908,-17403.88291594092,0.9129805854202954
2020-03-31,0,-0.8542192920604869,0.0,0.003034,0.0,0.0835,200000,182596.11708405908,-17403.88291594092,0.9129805854202954
2020-04-01,0,-0.6556418714339094,0.0,0.003036,0.0,0.0829,200000,182596.11708405908,-17403.88291594092,0.9129805854202954
2020-04-02,0,-0.420534285124669,0.0,0.003122,0.0,0.0844,200000,182596.11708405908,-17403.88291594092,0.9129805854202954
2020-04-03,0,-0.15321562739542746,0.0,0.003169,0.0,0.0847,200000,182596.11708405908,-17403.88291594092,0.9129805854202954
2020-04-04,0,0.031118334647593487,0.0,0.003241,0.0,0.0854,200000,182596.11708405908,-17403.88291594092,0.9129805854202954
2020-04-05,0,-0.2952371739862241,0.0,0.003157,0.0,0.0846,200000,182596.11708405908,-17403.88291594092,0.9129805854202954
2020-04-06,0,0.6016350221462817,0.0,0.00349,0.0,0.0892,200000,182596.11708405908,-17403.88291594092,0.9129805854202954
2020-04-07,0,0.3617660914706303,0.0,0.003395,0.0,0.0877,200000,182596.11708405908,-17403.88291594092,0.9129805854202954
2020-04-08,0,0.56629996890096,0.0,0.003571,0.0,0.091,200000,182596.11708405908,-17403.88291594092,0.9129805854202954
2020-04-09,0,0.05121857004162241,0.0,0.003491,0.0,0.0912,200000,182596.11708405908,-17403.88291594092,0.9129805854202954
2020-04-10,0,0.4231315136902599,0.0,0.003169,0.0,0.0818,200000,182596.11708405908,-17403.88291594092,0.9129805854202954
2020-04-11,0,0.054243555200515305,0.0,0.00315,0.0,0.083,200000,182596.11708405908,-17403.88291594092,0.9129805854202954
2020-04-12,0,-0.26168360773050275,0.0,0.003169,0.0,0.0849,200000,182596.11708405908,-17403.88291594092,0.9129805854202954
2020-04-13,0,0.4745222744189516,0.0,0.003172,0.0,0.0832,200000,182596.11708405908,-17403.88291594092,0.9129805854202954
2020-04-14,0,0.0751991094625917,0.0,0.003163,0.0,0.0841,200000,182596.11708405908,-17403.88291594092,0.9129805854202954
2020-04-15,0,-0.27090180727066293,0.0,0.003021,0.0,0.0813,200000,182596.11708405908,-17403.88291594092,0.9129805854202954
2020-04-16,0,0.9316601343850651,0.0,0.003279,0.0,0.0848,200000,182596.11708405908,-17403.88291594092,0.9129805854202954
2020-04-17,0,0.9030113459869287,0.0,0.00326,0.0,0.0842,200000,182596.11708405908,-17403.88291594092,0.9129805854202954
2020-04-18,2,1.2162465769904929,0.0,0.003405,0.0,0.087,200000,182596.11708405908,-17403.88291594092,0.9129805854202954
2020-04-19,0,0.3941876300549379,0.0,0.003277,0.0,0.0855,200000,182596.11708405908,-17403.88291594092,0.9129805854202954
2020-04-20,-2,-2.3264121304154957,0.0,0.003052,0.0,0.0852,200000,182596.11708405908,-17403.88291594092,0.9129805854202954
2020-04-21,-2,-1.4079688067224072,0.0,0.003044,0.0,0.083,200000,182596.11708405908,-17403.88291594092,0.9129805854202954
2020-04-22,0,-0.7984873228885255,0.0,0.003178,0.0,0.0853,200000,182596.11708405908,-17403.88291594092,0.9129805854202954
2020-04-23,0,0.9078191261345159,0.0,0.003336,0.0,0.0858,200000,182596.11708405908,-17403.88291594092,0.9129805854202954
2020-04-24,2,2.2591753785026776,0.0,0.003587,0.0,0.0883,200000,182596.11708405908,-17403.88291594092,0.9129805854202954
2020-04-25,0,0.9519300122506155,0.0,0.003527,0.0,0.0897,200000,182596.11708405908,-17403.88291594092,0.9129805854202954
2020-04-26,0,-0.09440617368091297,0.0,0.003577,0.0,0.0938,200000,182596.11708405908,-17403.88291594092,0.9129805854202954
2020-04-27,0,0.5545517323926097,0.0,0.003538,0.0,0.0911,200000,182596.11708405908,-17403.88291594092,0.9129805854202954
2020-04-28,0,-0.010005161990351244,0.0,0.00352,0.0,0.0922,200000,182596.11708405908,-17403.88291594092,0.9129805854202954
2020-04-29,2,2.346615035573365,0.0,0.003922,0.0,0.095,200000,182596.11708405908,-17403.88291594092,0.9129805854202954
2020-04-30,1,1.1349995568674942,-24944824.738259435,0.00366,994532.2281266834,0.0918,200000,182596.11708405908,-17403.88291594092,0.9129805854202954
2020-05-01,1,0.571031044376351,-24944824.738259435,0.003791,994532.2281266834,0.0967,200000,190737.09704259178,-9262.902957408223,0.9536854852129589
2020-05-02,0,-0.5946834001309943,0.0,0.003933,0.0,0.1043,200000,176974.40138602036,-23025.598613979644,0.8848720069301018
2020-05-03,0,0.4108546466415082,0.0,0.003804,0.0,0.0974,200000,176974.40138602036,-23025.598613979644,0.8848720069301018
2020-05-04,1,1.0452898341570922,-23571443.97789296,0.003754,943360.3485395542,0.0938,200000,176974.40138602036,-23025.598613979644,0.8848720069301018
2020-05-05,1,0.8946442516993791,-23571443.97789296,0.003699,943360.3485395542,0.0926,200000,174545.93954898877,-25454.06045101123,0.8727296977449439
2020-05-06,1,0.5406477319348589,-23571443.97789296,0.00357,943360.3485395542,0.0903,200000,169335.4944741996,-30664.5055258004,0.846677472370998
2020-05-07,1,0.9116720850534563,-23571443.97789296,0.003699,943360.3485395542,0.0922,200000,174168.59540957294,-25831.40459042706,0.8708429770478647
2020-05-08,1,0.7426957185495087,-23571443.97789296,0.003831,943360.3485395542,0.0959,200000,180770.45930425118,-19229.540695748816,0.9038522965212559
2020-05-09,1,1.0410998894384211,-23571443.97789296,0.003734,943360.3485395542,0.0922,200000,174993.59594879922,-25006.404051200778,0.8749679797439961
2020-05-10,0,-3.0182223850164984,0.0,0.003352,0.0,0.0988,200000,162781.8791642096,-37218.12083579041,0.8139093958210479
2020-05-11,-2,-1.6640680928160083,0.0,0.003268,0.0,0.0906,200000,162781.8791642096,-37218.12083579041,0.8139093958210479
2020-05-12,-1,-1.0246139608584062,23966707.768582094,0.003396,-890491.6803293742,0.0914,200000,162781.8791642096,-37218.12083579041,0.8139093958210479
2020-05-13,0,-0.19549313453996447,0.0,0.003544,0.0,0.0919,200000,159680.05225462414,-40319.94774537586,0.7984002612731207
2020-05-14,0,-0.05456477986609074,0.0,0.00355,0.0,0.0917,200000,159680.05225462414,-40319.94774537586,0.7984002612731207
2020-05-15,0,-0.015538664062264139,0.0,0.003472,0.0,0.0896,200000,159680.05225462414,-40319.94774537586,0.7984002612731207
2020-05-16,0,-0.4666616785481476,0.0,0.003495,0.0,0.092,200000,159680.05225462414,-40319.94774537586,0.7984002612731207
2020-05-17,0,-0.3496875431301352,0.0,0.003502,0.0,0.0918,200000,159680.05225462414,-40319.94774537586,0.7984002612731207
2020-05-18,0,-0.3281169288870405,0.0,0.003639,0.0,0.0953,200000,159680.05225462414,-40319.94774537586,0.7984002612731207
2020-05-19,0,-0.536193810806174,0.0,0.00359,0.0,0.0952,200000,159680.05225462414,-40319.94774537586,0.7984002612731207
2020-05-20,-2,-1.6932789831044626,0.0,0.00358,0.0,0.1009,200000,159680.05225462414,-40319.94774537586,0.7984002612731207
2020-05-21,-2,-1.4920398575661948,0.0,0.003566,0.0,0.1005,200000,159680.05225462414,-40319.94774537586,0.7984002612731207
2020-05-22,0,0.0070149882783732435,0.0,0.00417,0.0,0.1092,200000,159680.05225462414,-40319.94774537586,0.7984002612731207
2020-05-23,0,0.02180296135327309,0.0,0.003939,0.0,0.1032,200000,159680.05225462414,-40319.94774537586,0.7984002612731207
2020-05-24,0,0.15167373296384448,0.0,0.003773,0.0,0.0985,200000,159680.05225462414,-40319.94774537586,0.7984002612731207
2020-05-25,0,0.9825269946226975,0.0,0.004598,0.0,0.1158,200000,159680.05225462414,-40319.94774537586,0.7984002612731207
2020-05-26,-2,-3.0247013902023707,0.0,0.004459,0.0,0.1467,200000,159680.05225462414,-40319.94774537586,0.7984002612731207
2020-05-27,0,-0.9928877997313709,0.0,0.00441,0.0,0.1261,200000,159680.05225462414,-40319.94774537586,0.7984002612731207
2020-05-28,0,0.25579995517703186,0.0,0.004558,0.0,0.1206,200000,159680.05225462414,-40319.94774537586,0.7984002612731207
2020-05-29,0,-0.017099879383441187,0.0,0.004499,0.0,0.1216,200000,159680.05225462414,-40319.94774537586,0.7984002612731207
