date,statusList,zscore,HOTUSDT_position,HOTUSDT_price,NEOUSDT_position,NEOUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,0.0006275,0.0,8.85,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,0.0006035,0.0,8.462,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,0.0006794,0.0,8.888,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,0.0006796,0.0,9.077,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,0.0006708,0.0,9.02,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,0.000703,0.0,9.757,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,0.0006815,0.0,9.801,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,0.0006721,0.0,9.448,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,0.000671,0.0,9.387,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,0.0006865,0.0,9.862,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,0.00067,0.0,9.696,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,0.0006813,0.0,10.271,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,0.000674,0.0,10.0,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,0.0007056,0.0,11.204,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,0.0007118,0.0,11.412,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,0.0006959,0.0,11.271,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,0.0007304,0.0,11.848,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,0.0007145,0.0,11.876,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,0.0006752,0.0,11.245,200000,200000.0,0.0,1.0
2020-01-20,-2,-1.302076898117338,0.0,0.0006756,0.0,11.114,200000,200000.0,0.0,1.0
2020-01-21,-2,-1.412201807163233,0.0,0.0006651,0.0,11.226,200000,200000.0,0.0,1.0
2020-01-22,-2,-1.2318607232862844,0.0,0.0006688,0.0,11.247,200000,200000.0,0.0,1.0
2020-01-23,-1,-1.1161062903129664,157903047.5288173,0.0006333,-9415.309292910271,10.621,200000,200000.0,0.0,1.0
2020-01-24,-1,-0.9001492166548577,157903047.5288173,0.0006346,-9415.309292910271,10.511,200000,199169.58993956732,-830.4100604326813,0.9958479496978366
2020-01-25,-1,-0.9028434653627652,157903047.5288173,0.000621,-9415.309292910271,10.35,200000,195506.24369701685,-4493.756302983151,0.9775312184850843
2020-01-26,-1,-1.0715346373707497,157903047.5288173,0.0006347,-9415.309292910271,10.797,200000,201878.15870209254,1878.1587020925363,1.0093907935104627
2020-01-27,-1,-0.9629297283363712,157903047.5288173,0.0006521,-9415.309292910271,11.082,200000,207309.03487757337,7309.034877573373,1.0365451743878669
2020-01-28,-2,-1.2842786399984307,0.0,0.000648,0.0,11.36,200000,204636.73876878707,4636.738768787065,1.0231836938439354
2020-01-29,0,-0.9351295240169448,0.0,0.0006531,0.0,11.201,200000,204636.73876878707,4636.738768787065,1.0231836938439354
2020-01-30,-2,-1.8927400567873638,0.0,0.000638,0.0,11.735,200000,204636.73876878707,4636.738768787065,1.0231836938439354
2020-01-31,-2,-1.5983111875220588,0.0,0.0006329,0.0,11.453,200000,204636.73876878707,4636.738768787065,1.0231836938439354
2020-02-01,-1,-1.1466412993517163,158682334.6532158,0.0006448,-8958.008175835539,11.422,200000,204636.73876878707,4636.738768787065,1.0231836938439354
2020-02-02,-2,-1.3766294473359264,0.0,0.0006719,0.0,12.016,200000,205657.50435613122,5657.5043561312195,1.0282875217806562
2020-02-03,-2,-1.3414678196662921,0.0,0.0006619,0.0,11.88,200000,205657.50435613122,5657.5043561312195,1.0282875217806562
2020-02-04,0,-0.6751504841018147,0.0,0.000695,0.0,12.177,200000,205657.50435613122,5657.5043561312195,1.0282875217806562
2020-02-05,-2,-1.6500018018163167,0.0,0.0006959,0.0,12.762,200000,205657.50435613122,5657.5043561312195,1.0282875217806562
2020-02-06,0,-0.321212874347351,0.0,0.00074,0.0,12.914,200000,205657.50435613122,5657.5043561312195,1.0282875217806562
2020-02-07,2,1.2236672578016898,0.0,0.0007744,0.0,12.792,200000,205657.50435613122,5657.5043561312195,1.0282875217806562
2020-02-08,2,2.2892778841493353,0.0,0.000808,0.0,12.688,200000,205657.50435613122,5657.5043561312195,1.0282875217806562
2020-02-09,0,-0.6735931730484143,0.0,0.0008003,0.0,14.201,200000,205657.50435613122,5657.5043561312195,1.0282875217806562
2020-02-10,0,-0.7314173337008906,0.0,0.0007595,0.0,13.551,200000,205657.50435613122,5657.5043561312195,1.0282875217806562
2020-02-11,0,-0.7158356833154413,0.0,0.000771,0.0,13.791,200000,205657.50435613122,5657.5043561312195,1.0282875217806562
2020-02-12,0,-0.0678843751406499,0.0,0.0008498,0.0,14.822,200000,205657.50435613122,5657.5043561312195,1.0282875217806562
2020-02-13,0,0.09060691009082607,0.0,0.0008714,0.0,15.141,200000,205657.50435613122,5657.5043561312195,1.0282875217806562
2020-02-14,-2,-1.5517488471903902,0.0,0.0008915,0.0,16.676,200000,205657.50435613122,5657.5043561312195,1.0282875217806562
2020-02-15,0,-0.3379501485957059,0.0,0.000849,0.0,15.127,200000,205657.50435613122,5657.5043561312195,1.0282875217806562
2020-02-16,0,-0.1381561554299532,0.0,0.0008258,0.0,14.625,200000,205657.50435613122,5657.5043561312195,1.0282875217806562
2020-02-17,-2,-1.6353371892831001,0.0,0.0007907,0.0,15.027,200000,205657.50435613122,5657.5043561312195,1.0282875217806562
2020-02-18,-2,-1.8515848615250463,0.0,0.0007956,0.0,15.5,200000,205657.50435613122,5657.5043561312195,1.0282875217806562
2020-02-19,-2,-1.514340182725407,0.0,0.0007284,0.0,14.043,200000,205657.50435613122,5657.5043561312195,1.0282875217806562
2020-02-20,-2,-1.464422532013041,0.0,0.0007235,0.0,14.03,200000,205657.50435613122,5657.5043561312195,1.0282875217806562
2020-02-21,-1,-1.1053880274018244,140246525.06555593,0.0007332,-7336.002866381224,14.017,200000,205657.50435613122,5657.5043561312195,1.0282875217806562
2020-02-22,-1,-0.7524942004575497,140246525.06555593,0.0007301,-7336.002866381224,13.72,200000,203043.94727711278,3043.9472771127766,1.015219736385564
2020-02-23,-1,-0.9160273492268799,140246525.06555593,0.0007501,-7336.002866381224,14.294,200000,210059.7434237267,10059.7434237267,1.0502987171186335
