date,statusList,zscore,ONGUSDT_position,ONGUSDT_price,ETHUSDT_position,ETHUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,0.0956,0.0,130.77,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,0.095,0.0,127.19,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,0.0995,0.0,134.35,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,0.0981,0.0,134.2,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,0.0998,0.0,135.37,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,0.1024,0.0,144.15,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,0.0997,0.0,142.8,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,0.1016,0.0,140.72,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,0.0991,0.0,137.74,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,0.0996,0.0,144.84,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,0.1039,0.0,142.38,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,0.105,0.0,146.54,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,0.1027,0.0,143.58,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,0.1132,0.0,165.64,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,0.1149,0.0,166.4,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,0.1116,0.0,164.21,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,0.1156,0.0,169.85,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,0.1128,0.0,174.14,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,0.1069,0.0,166.79,200000,200000.0,0.0,1.0
2020-01-20,-2,-2.221800394821935,0.0,0.1043,0.0,166.87,200000,200000.0,0.0,1.0
2020-01-21,-2,-1.859005850943089,0.0,0.1062,0.0,169.49,200000,200000.0,0.0,1.0
2020-01-22,-2,-1.4335348288340797,0.0,0.107,0.0,168.07,200000,200000.0,0.0,1.0
2020-01-23,0,-0.5410062827435834,0.0,0.1087,0.0,162.81,200000,200000.0,0.0,1.0
2020-01-24,-1,-1.1824575556758588,961538.4615384616,0.104,-615.2331733727083,162.54,200000,200000.0,0.0,1.0
2020-01-25,-1,-0.9069748895141584,961538.4615384616,0.1037,-615.2331733727083,160.35,200000,198364.17781185225,-1635.8221881477511,0.9918208890592612
2020-01-26,-2,-1.2971761701082396,0.0,0.1054,0.0,167.86,200000,201926.88663618898,1926.8866361889814,1.0096344331809448
2020-01-27,-2,-1.3055083338158797,0.0,0.1058,0.0,170.08,200000,201926.88663618898,1926.8866361889814,1.0096344331809448
2020-01-28,-2,-1.3194265616360354,0.0,0.1083,0.0,175.64,200000,201926.88663618898,1926.8866361889814,1.0096344331809448
2020-01-29,0,0.10642853384980418,0.0,0.1157,0.0,173.72,200000,201926.88663618898,1926.8866361889814,1.0096344331809448
2020-01-30,0,0.35040108019137617,0.0,0.1244,0.0,184.69,200000,201926.88663618898,1926.8866361889814,1.0096344331809448
2020-01-31,2,3.023900091082817,0.0,0.1429,0.0,179.99,200000,201926.88663618898,1926.8866361889814,1.0096344331809448
2020-02-01,2,2.0773599083070837,0.0,0.1404,0.0,183.6,200000,201926.88663618898,1926.8866361889814,1.0096344331809448
2020-02-02,2,1.69027865652191,0.0,0.1419,0.0,188.44,200000,201926.88663618898,1926.8866361889814,1.0096344331809448
2020-02-03,2,1.611035640664425,0.0,0.144,0.0,189.69,200000,201926.88663618898,1926.8866361889814,1.0096344331809448
2020-02-04,2,2.1200584791027146,0.0,0.1529,0.0,188.91,200000,201926.88663618898,1926.8866361889814,1.0096344331809448
2020-02-05,2,1.4308908994598375,0.0,0.1584,0.0,203.78,200000,201926.88663618898,1926.8866361889814,1.0096344331809448
2020-02-06,0,0.9999089966891335,0.0,0.1609,0.0,213.19,200000,201926.88663618898,1926.8866361889814,1.0096344331809448
2020-02-07,0,0.4696764129426613,0.0,0.1614,0.0,223.33,200000,201926.88663618898,1926.8866361889814,1.0096344331809448
2020-02-08,0,0.11182740774883955,0.0,0.1565,0.0,223.05,200000,201926.88663618898,1926.8866361889814,1.0096344331809448
2020-02-09,0,0.17130855718498267,0.0,0.1621,0.0,228.49,200000,201926.88663618898,1926.8866361889814,1.0096344331809448
2020-02-10,0,-0.057115109601592925,0.0,0.1557,0.0,222.89,200000,201926.88663618898,1926.8866361889814,1.0096344331809448
2020-02-11,0,-0.42030121806864346,0.0,0.1607,0.0,236.69,200000,201926.88663618898,1926.8866361889814,1.0096344331809448
2020-02-12,0,-0.40961611705463163,0.0,0.1808,0.0,265.74,200000,201926.88663618898,1926.8866361889814,1.0096344331809448
2020-02-13,0,0.2914304122855426,0.0,0.1948,0.0,268.32,200000,201926.88663618898,1926.8866361889814,1.0096344331809448
2020-02-14,0,0.5694300652720186,0.0,0.2128,0.0,285.15,200000,201926.88663618898,1926.8866361889814,1.0096344331809448
2020-02-15,2,1.5157029678978204,0.0,0.2142,0.0,264.88,200000,201926.88663618898,1926.8866361889814,1.0096344331809448
2020-02-16,0,0.11725440992162271,0.0,0.1902,0.0,258.85,200000,201926.88663618898,1926.8866361889814,1.0096344331809448
2020-02-17,-2,-1.2018199281823612,0.0,0.1813,0.0,267.85,200000,201926.88663618898,1926.8866361889814,1.0096344331809448
