date,statusList,zscore,ZECUSDT_position,ZECUSDT_price,XMRUSDT_position,XMRUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,28.07,0.0,45.82,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,27.02,0.0,45.5,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,28.41,0.0,50.93,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,29.91,0.0,50.37,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,30.81,0.0,53.69,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,32.86,0.0,58.91,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,32.24,0.0,58.36,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,30.88,0.0,59.44,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,30.83,0.0,58.68,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,33.69,0.0,58.42,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,34.88,0.0,58.25,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,35.52,0.0,59.19,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,38.32,0.0,57.72,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,43.83,0.0,62.55,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,54.97,0.0,68.47,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,50.8,0.0,65.63,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,61.54,0.0,68.95,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,51.16,0.0,67.0,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,51.56,0.0,65.17,200000,200000.0,0.0,1.0
2020-01-20,2,1.5125642664321923,0.0,53.68,0.0,64.96,200000,200000.0,0.0,1.0
2020-01-21,2,1.221398278461939,0.0,53.26,0.0,65.87,200000,200000.0,0.0,1.0
2020-01-22,1,1.0637888439008094,-1915.3418885271021,52.21,1538.4615384615386,65.0,200000,200000.0,0.0,1.0
2020-01-23,1,0.8857511031024653,-1915.3418885271021,49.6,1538.4615384615386,62.55,200000,191231.7269017135,-8768.273098286503,0.9561586345085675
2020-01-24,1,0.7918337931321192,-1915.3418885271021,48.82,1538.4615384615386,61.67,200000,188383.91407481622,-11616.085925183783,0.941919570374081
2020-01-25,1,0.7315746079371969,-1915.3418885271021,48.72,1538.4615384615386,61.35,200000,187700.0721936558,-12299.927806344203,0.9385003609682789
2020-01-26,1,1.003495450517925,-1915.3418885271021,53.65,1538.4615384615386,63.97,200000,201173.47693486366,1173.4769348636619,1.0058673846743182
2020-01-27,1,0.9508889039825265,-1915.3418885271021,55.18,1538.4615384615386,65.44,200000,206365.4884858486,6365.488485848589,1.0318274424292428
2020-01-28,1,0.8381917804677864,-1915.3418885271021,56.74,1538.4615384615386,67.71,200000,212845.72952425852,12845.729524258524,1.0642286476212925
2020-01-29,2,1.21680297223,0.0,61.74,0.0,70.02,200000,210530.13127458637,10530.131274586369,1.0526506563729319
2020-01-30,2,1.2049511345573225,0.0,66.3,0.0,74.83,200000,210530.13127458637,10530.131274586369,1.0526506563729319
2020-01-31,2,1.564127870517512,0.0,66.51,0.0,72.16,200000,210530.13127458637,10530.131274586369,1.0526506563729319
2020-02-01,2,1.3331025102484626,0.0,66.03,0.0,73.22,200000,210530.13127458637,10530.131274586369,1.0526506563729319
2020-02-02,1,1.0670344684505204,-1586.2728396216573,66.36,1405.595748929005,74.89,200000,210530.13127458637,10530.131274586369,1.0526506563729319
2020-02-03,1,0.4081358419999813,-1586.2728396216573,65.52,1405.595748929005,76.74,200000,211798.0142248228,11798.014224822808,1.058990071124114
2020-02-04,1,0.40040253012008487,-1586.2728396216573,64.34,1405.595748929005,75.17,200000,207719.42694825074,7719.426948250737,1.0385971347412537
2020-02-05,2,1.4896000892478667,0.0,71.19,0.0,77.84,200000,214045.32163061842,14045.321630618419,1.070226608153092
