date,statusList,zscore,TFUELUSDT_position,TFUELUSDT_price,NEOUSDT_position,NEOUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,0.002383,0.0,8.85,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,0.002297,0.0,8.462,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,0.002403,0.0,8.888,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,0.002429,0.0,9.077,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,0.002412,0.0,9.02,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,0.002461,0.0,9.757,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,0.002382,0.0,9.801,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,0.002511,0.0,9.448,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,0.002395,0.0,9.387,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,0.002402,0.0,9.862,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,0.002403,0.0,9.696,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,0.002452,0.0,10.271,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,0.002456,0.0,10.0,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,0.002572,0.0,11.204,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,0.002567,0.0,11.412,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,0.002584,0.0,11.271,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,0.002598,0.0,11.848,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,0.002591,0.0,11.876,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,0.00246,0.0,11.245,200000,200000.0,0.0,1.0
2020-01-20,0,-0.7159864333135575,0.0,0.002579,0.0,11.114,200000,200000.0,0.0,1.0
2020-01-21,-1,-1.0426976241579202,39777247.41447891,0.002514,-8907.892392659896,11.226,200000,200000.0,0.0,1.0
2020-01-22,-1,-0.9712898343543892,39777247.41447891,0.002515,-8907.892392659896,11.247,200000,200226.84298766032,226.8429876603186,1.0011342149383016
2020-01-23,-1,-0.2706945890895582,39777247.41447891,0.002492,-8907.892392659896,10.621,200000,193735.6256593222,-6264.3743406778085,0.9686781282966109
2020-01-24,-1,-0.2898784143778625,39777247.41447891,0.002449,-8907.892392659896,10.511,200000,191045.335857307,-8954.664142692985,0.955226679286535
2020-01-25,0,0.3411291619708688,0.0,0.002489,0.0,10.35,200000,193191.1174493919,-6808.882550608105,0.9659555872469595
2020-01-26,0,-0.2685066982145392,0.0,0.0025,0.0,10.797,200000,193191.1174493919,-6808.882550608105,0.9659555872469595
2020-01-27,0,-0.1707046144634202,0.0,0.002574,0.0,11.082,200000,193191.1174493919,-6808.882550608105,0.9659555872469595
2020-01-28,0,-0.3631496301063815,0.0,0.0026,0.0,11.36,200000,193191.1174493919,-6808.882550608105,0.9659555872469595
2020-01-29,-1,-1.0501169203347318,38934122.82333573,0.002481,-8623.833472430671,11.201,200000,193191.11744939192,-6808.882550608076,0.9659555872469596
2020-01-30,-2,-1.777337424145271,0.0,0.002498,0.0,11.735,200000,197134.36443567317,-2865.6355643268325,0.9856718221783658
2020-01-31,-2,-1.2893561120145252,0.0,0.002482,0.0,11.453,200000,197134.36443567317,-2865.6355643268325,0.9856718221783658
2020-02-01,0,-0.9798021308523132,0.0,0.002496,0.0,11.422,200000,197134.36443567317,-2865.6355643268325,0.9856718221783658
2020-02-02,-2,-1.840685803126088,0.0,0.002528,0.0,12.016,200000,197134.36443567317,-2865.6355643268325,0.9856718221783658
2020-02-03,-1,-1.1473163955704087,38608375.330135755,0.002553,-8296.900860087255,11.88,200000,197134.36443567317,-2865.6355643268325,0.9856718221783658
2020-02-04,0,0.22191213955367473,0.0,0.002754,0.0,12.177,200000,191838.26054976182,-8161.739450238179,0.9591913027488091
2020-02-05,0,0.20349077420330938,0.0,0.002882,0.0,12.762,200000,191838.26054976182,-8161.739450238179,0.9591913027488091
2020-02-06,1,1.1105362142829533,-31719289.11206379,0.003024,7427.530608245386,12.914,200000,191838.26054976182,-8161.739450238179,0.9591913027488091
2020-02-07,2,2.3909553513074626,0.0,0.0032,0.0,12.792,200000,198327.014167691,-1672.9858323090011,0.991635070838455
2020-02-08,1,1.1274860760651524,-32716432.558180634,0.003031,7815.534921488454,12.688,200000,198327.014167691,-1672.9858323090011,0.991635070838455
2020-02-09,1,0.6935327087105678,-32716432.558180634,0.003333,7815.534921488454,14.201,200000,220032.28113647358,20032.281136473583,1.1001614056823679
2020-02-10,2,2.2264756342107237,0.0,0.003465,0.0,13.551,200000,205781.13926069686,5781.139260696858,1.0289056963034844
2020-02-11,2,2.0350323171716775,0.0,0.003563,0.0,13.791,200000,205781.13926069686,5781.139260696858,1.0289056963034844
2020-02-12,2,1.354142821223434,0.0,0.00372,0.0,14.822,200000,205781.13926069686,5781.139260696858,1.0289056963034844
2020-02-13,2,1.6678933354656817,0.0,0.003918,0.0,15.141,200000,205781.13926069686,5781.139260696858,1.0289056963034844
2020-02-14,0,-0.16554426866592517,0.0,0.003836,0.0,16.676,200000,205781.13926069686,5781.139260696858,1.0289056963034844
2020-02-15,0,-0.24914134913835095,0.0,0.003458,0.0,15.127,200000,205781.13926069686,5781.139260696858,1.0289056963034844
2020-02-16,0,-0.5264179746790145,0.0,0.003274,0.0,14.625,200000,205781.13926069686,5781.139260696858,1.0289056963034844
2020-02-17,0,-0.48704644672802944,0.0,0.003369,0.0,15.027,200000,205781.13926069686,5781.139260696858,1.0289056963034844
2020-02-18,0,-0.810310601398811,0.0,0.003394,0.0,15.5,200000,205781.13926069686,5781.139260696858,1.0289056963034844
2020-02-19,0,-0.792133899667876,0.0,0.003088,0.0,14.043,200000,205781.13926069686,5781.139260696858,1.0289056963034844
2020-02-20,0,-0.6189599196929738,0.0,0.003129,0.0,14.03,200000,205781.13926069686,5781.139260696858,1.0289056963034844
2020-02-21,0,-0.6064770210498207,0.0,0.003134,0.0,14.017,200000,205781.13926069686,5781.139260696858,1.0289056963034844
2020-02-22,0,-0.26310244276412836,0.0,0.003154,0.0,13.72,200000,205781.13926069686,5781.139260696858,1.0289056963034844
2020-02-23,0,-0.5318777879293248,0.0,0.003246,0.0,14.294,200000,205781.13926069686,5781.139260696858,1.0289056963034844
2020-02-24,0,0.09216891938150666,0.0,0.003151,0.0,13.361,200000,205781.13926069686,5781.139260696858,1.0289056963034844
2020-02-25,0,0.3098300729841126,0.0,0.002966,0.0,12.393,200000,205781.13926069686,5781.139260696858,1.0289056963034844
2020-02-26,0,-0.16991409845989272,0.0,0.002565,0.0,11.007,200000,205781.13926069686,5781.139260696858,1.0289056963034844
2020-02-27,0,-0.017287903244039123,0.0,0.002696,0.0,11.51,200000,205781.13926069686,5781.139260696858,1.0289056963034844
2020-02-28,0,0.7983397174230995,0.0,0.00277,0.0,11.311,200000,205781.13926069686,5781.139260696858,1.0289056963034844
2020-02-29,0,0.681558029072892,0.0,0.002709,0.0,11.103,200000,205781.13926069686,5781.139260696858,1.0289056963034844
2020-03-01,0,0.4542997963289965,0.0,0.002713,0.0,11.31,200000,205781.13926069686,5781.139260696858,1.0289056963034844
2020-03-02,0,-0.633582067726731,0.0,0.002732,0.0,12.088,200000,205781.13926069686,5781.139260696858,1.0289056963034844
2020-03-03,1,1.156537811170188,-36447243.935653,0.002823,8903.6491545819,11.556,200000,205781.13926069686,5781.139260696858,1.0289056963034844
2020-03-04,2,1.7224578706193485,0.0,0.002906,0.0,11.755,200000,207034.43432559425,7034.434325594251,1.0351721716279711
2020-03-05,2,1.6982335097744476,0.0,0.00301,0.0,12.073,200000,207034.43432559425,7034.434325594251,1.0351721716279711
2020-03-06,0,0.7988997128764788,0.0,0.002987,0.0,12.377,200000,207034.43432559425,7034.434325594251,1.0351721716279711
2020-03-07,2,1.4815744018851453,0.0,0.002896,0.0,11.589,200000,207034.43432559425,7034.434325594251,1.0351721716279711
2020-03-08,2,1.266719736678739,0.0,0.002504,0.0,10.05,200000,207034.43432559425,7034.434325594251,1.0351721716279711
2020-03-09,2,1.7336678787325246,0.0,0.002535,0.0,9.902,200000,207034.43432559425,7034.434325594251,1.0351721716279711
2020-03-10,2,1.2486526070092645,0.0,0.002487,0.0,9.87,200000,207034.43432559425,7034.434325594251,1.0351721716279711
2020-03-11,2,1.3611317690486089,0.0,0.002398,0.0,9.43,200000,207034.43432559425,7034.434325594251,1.0351721716279711
2020-03-12,-2,-3.2385983392844584,0.0,0.001116,0.0,5.706,200000,207034.43432559425,7034.434325594251,1.0351721716279711
2020-03-13,-2,-1.2014013704850892,0.0,0.001383,0.0,6.216,200000,207034.43432559425,7034.434325594251,1.0351721716279711
2020-03-14,1,1.1597000800586472,69944065.6505386,0.00148,-17996.7345554237,5.752,200000,207034.43432559422,7034.434325594222,1.0351721716279711
2020-03-15,2,1.860508622000204,0.0,0.001626,0.0,5.979,200000,213161.00916649168,13161.009166491684,1.0658050458324584
2020-03-16,2,1.9114851221970672,0.0,0.001501,0.0,5.394,200000,213161.00916649168,13161.009166491684,1.0658050458324584
2020-03-17,2,1.469999401471967,0.0,0.001541,0.0,5.626,200000,213161.00916649168,13161.009166491684,1.0658050458324584
2020-03-18,0,0.5403639695000358,0.0,0.001476,0.0,5.726,200000,213161.00916649168,13161.009166491684,1.0658050458324584
2020-03-19,0,0.8810015815317954,0.0,0.001718,0.0,6.472,200000,213161.00916649168,13161.009166491684,1.0658050458324584
2020-03-20,2,1.740706222818807,0.0,0.0018,0.0,6.273,200000,213161.00916649168,13161.009166491684,1.0658050458324584
2020-03-21,2,1.2586147726419394,0.0,0.001746,0.0,6.236,200000,213161.00916649168,13161.009166491684,1.0658050458324584
2020-03-22,0,0.5726363284251004,0.0,0.001587,0.0,5.947,200000,213161.00916649168,13161.009166491684,1.0658050458324584
2020-03-23,0,-0.12397179907787421,0.0,0.00169,0.0,6.683,200000,213161.00916649168,13161.009166491684,1.0658050458324584
2020-03-24,0,-0.7142464242397828,0.0,0.001657,0.0,6.897,200000,213161.00916649168,13161.009166491684,1.0658050458324584
2020-03-25,0,-0.7729236870916817,0.0,0.001651,0.0,6.93,200000,213161.00916649168,13161.009166491684,1.0658050458324584
2020-03-26,0,-0.44623193151613266,0.0,0.001725,0.0,7.03,200000,213161.00916649168,13161.009166491684,1.0658050458324584
2020-03-27,0,0.2636201609592366,0.0,0.001696,0.0,6.503,200000,213161.00916649168,13161.009166491684,1.0658050458324584
