date,statusList,zscore,VETUSDT_position,VETUSDT_price,TFUELUSDT_position,TFUELUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,0.005358,0.0,0.002383,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,0.005094,0.0,0.002297,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,0.005327,0.0,0.002403,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,0.00562,0.0,0.002429,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,0.005465,0.0,0.002412,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,0.00573,0.0,0.002461,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,0.005578,0.0,0.002382,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,0.005492,0.0,0.002511,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,0.005319,0.0,0.002395,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,0.005454,0.0,0.002402,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,0.005526,0.0,0.002403,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,0.005523,0.0,0.002452,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,0.005407,0.0,0.002456,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,0.005994,0.0,0.002572,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,0.006003,0.0,0.002567,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,0.005885,0.0,0.002584,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,0.006392,0.0,0.002598,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,0.006239,0.0,0.002591,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,0.005862,0.0,0.00246,200000,200000.0,0.0,1.0
2020-01-20,0,-0.5037169150504938,0.0,0.005814,0.0,0.002579,200000,200000.0,0.0,1.0
2020-01-21,1,1.0189467989490841,-16767270.28839705,0.005964,39777247.41447891,0.002514,200000,200000.0,0.0,1.0
2020-01-22,1,0.3969894475855343,-16767270.28839705,0.005863,39777247.41447891,0.002515,200000,198346.28294828636,-1653.71705171364,0.9917314147414318
2020-01-23,0,-0.7759627986871142,0.0,0.005607,0.0,0.002492,200000,194889.1839501608,-5110.816049839195,0.974445919750804
2020-01-24,0,-0.3433900745554283,0.0,0.00558,0.0,0.002449,200000,194889.1839501608,-5110.816049839195,0.974445919750804
2020-01-25,0,-0.6122202119599507,0.0,0.005623,0.0,0.002489,200000,194889.1839501608,-5110.816049839195,0.974445919750804
2020-01-26,0,-0.12050244189635191,0.0,0.00573,0.0,0.0025,200000,194889.1839501608,-5110.816049839195,0.974445919750804
2020-01-27,0,-0.871538165545531,0.0,0.005748,0.0,0.002574,200000,194889.1839501608,-5110.816049839195,0.974445919750804
2020-01-28,0,-0.9743967990945205,0.0,0.0058,0.0,0.0026,200000,194889.1839501608,-5110.816049839195,0.974445919750804
2020-01-29,0,0.13762629563331405,0.0,0.005733,0.0,0.002481,200000,194889.1839501608,-5110.816049839195,0.974445919750804
2020-01-30,0,-0.3865022958948545,0.0,0.005687,0.0,0.002498,200000,194889.1839501608,-5110.816049839195,0.974445919750804
2020-01-31,0,0.30294882347801555,0.0,0.005766,0.0,0.002482,200000,194889.1839501608,-5110.816049839195,0.974445919750804
2020-02-01,2,1.3469092767423616,0.0,0.005997,0.0,0.002496,200000,194889.1839501608,-5110.816049839195,0.974445919750804
2020-02-02,2,1.9650346881601113,0.0,0.006229,0.0,0.002528,200000,194889.1839501608,-5110.816049839195,0.974445919750804
2020-02-03,2,1.7660924455197469,0.0,0.006304,0.0,0.002553,200000,194889.1839501608,-5110.816049839195,0.974445919750804
2020-02-04,0,0.4991518874621535,0.0,0.006532,0.0,0.002754,200000,194889.1839501608,-5110.816049839195,0.974445919750804
2020-02-05,-1,-1.058979778608569,15056333.741514277,0.006472,-33811447.597182654,0.002882,200000,194889.1839501608,-5110.816049839195,0.974445919750804
2020-02-06,-1,-0.9379464366407615,15056333.741514277,0.0068,-33811447.597182654,0.003024,200000,204628.88697617743,4628.886976177426,1.0231444348808871
2020-02-07,-2,-2.0874788453604376,0.0,0.006817,0.0,0.0032,200000,200446.78914524248,446.789145242481,1.0022339457262124
2020-02-08,-1,-1.134205278046233,15028249.298638664,0.006669,-33066115.002514433,0.003031,200000,200446.78914524248,446.789145242481,1.0022339457262124
