date,statusList,zscore,LINKUSDT_position,LINKUSDT_price,LTCUSDT_position,LTCUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,1.8111,0.0,41.62,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,1.7366,0.0,39.43,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,1.804,0.0,42.23,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,1.8242,0.0,42.78,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,1.7957,0.0,43.3,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,1.9374,0.0,45.8,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,2.1033,0.0,46.3,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,2.1892,0.0,45.35,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,2.1886,0.0,44.74,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,2.2257,0.0,49.06,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,2.2734,0.0,49.3,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,2.2383,0.0,51.43,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,2.1901,0.0,49.6,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,2.3751,0.0,58.39,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,2.3953,0.0,58.16,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,2.4925,0.0,57.56,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,2.7006,0.0,61.02,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,2.7709,0.0,59.32,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,2.6212,0.0,57.6,200000,200000.0,0.0,1.0
2020-01-20,1,1.1549812690672732,-37202.38095238095,2.688,1748.5574401119077,57.19,200000,200000.0,0.0,1.0
2020-01-21,1,0.8195359632247009,-37202.38095238095,2.6716,1748.5574401119077,57.57,200000,200054.33277962345,54.33277962345164,1.0002716638981173
2020-01-22,1,0.3181603593248435,-37202.38095238095,2.6426,1748.5574401119077,58.33,200000,200304.36738648947,304.3673864894663,1.0015218369324472
2020-01-23,1,0.26538251510179744,-37202.38095238095,2.4698,1748.5574401119077,54.52,200000,187213.79211109166,-12786.207888908335,0.9360689605554583
2020-01-24,1,0.511799138187651,-37202.38095238095,2.5024,1748.5574401119077,54.38,200000,188181.79168852363,-11818.208311476366,0.9409089584426181
2020-01-25,1,0.40722211884345016,-37202.38095238095,2.4468,1748.5574401119077,53.25,200000,184137.4694002448,-15862.530599755206,0.920687347001224
2020-01-26,1,0.272081793380328,-37202.38095238095,2.5764,1748.5574401119077,56.24,200000,194187.08471760797,-5812.91528239203,0.9709354235880399
2020-01-27,0,-0.35145408634419456,0.0,2.6055,0.0,58.55,200000,194552.76545287637,-5447.234547123633,0.9727638272643818
2020-01-28,0,-0.5800519359944859,0.0,2.6558,0.0,60.52,200000,194552.76545287637,-5447.234547123633,0.9727638272643818
2020-01-29,0,0.9147868021666516,0.0,2.7773,0.0,59.8,200000,194552.76545287637,-5447.234547123633,0.9727638272643818
2020-01-30,-1,-1.0495857786171006,33364.10437866586,2.9156,-1430.9559094798203,67.98,200000,194552.7654528764,-5447.234547123604,0.9727638272643819
2020-01-31,-2,-1.579662472996678,0.0,2.8259,0.0,68.0,200000,197574.1447338323,-2425.855266167695,0.9878707236691615
2020-02-01,-2,-2.002005563302481,0.0,2.8378,0.0,70.72,200000,197574.1447338323,-2425.855266167695,0.9878707236691615
2020-02-02,-2,-1.6371894774889963,0.0,2.8267,0.0,69.93,200000,197574.1447338323,-2425.855266167695,0.9878707236691615
2020-02-03,-2,-1.8332115030723886,0.0,2.771,0.0,69.65,200000,197574.1447338323,-2425.855266167695,0.9878707236691615
2020-02-04,-2,-1.5721175568808106,0.0,2.7395,0.0,68.07,200000,197574.1447338323,-2425.855266167695,0.9878707236691615
2020-02-05,-2,-1.7781751195937232,0.0,2.839,0.0,72.59,200000,197574.1447338323,-2425.855266167695,0.9878707236691615
2020-02-06,-2,-1.5196374014499119,0.0,2.89,0.0,73.6,200000,197574.1447338323,-2425.855266167695,0.9878707236691615
2020-02-07,0,0.36380987881867527,0.0,3.3072,0.0,74.3,200000,197574.1447338323,-2425.855266167695,0.9878707236691615
2020-02-08,0,0.42742649742742644,0.0,3.4171,0.0,76.56,200000,197574.1447338323,-2425.855266167695,0.9878707236691615
2020-02-09,0,0.753729210546669,0.0,3.4945,0.0,77.0,200000,197574.1447338323,-2425.855266167695,0.9878707236691615
2020-02-10,0,0.9151311870069172,0.0,3.3862,0.0,74.02,200000,197574.1447338323,-2425.855266167695,0.9878707236691615
2020-02-11,2,2.6070297901247774,0.0,3.9931,0.0,76.46,200000,197574.1447338323,-2425.855266167695,0.9878707236691615
2020-02-12,2,1.530583219030384,0.0,3.9953,0.0,81.17,200000,197574.1447338323,-2425.855266167695,0.9878707236691615
2020-02-13,1,1.1533697839497972,-25483.573421105677,3.8765,1226.4068574415414,80.55,200000,197574.1447338323,-2425.855266167695,0.9878707236691615
2020-02-14,2,2.1535386563894745,0.0,4.426,0.0,83.14,200000,208400.9745679563,8400.974567956291,1.0420048728397815
2020-02-15,2,2.336136426630948,0.0,4.3241,0.0,76.7,200000,208400.9745679563,8400.974567956291,1.0420048728397815
2020-02-16,2,2.3694055631248716,0.0,4.4566,0.0,74.67,200000,208400.9745679563,8400.974567956291,1.0420048728397815
2020-02-17,2,1.8732039428534544,0.0,4.3108,0.0,73.41,200000,208400.9745679563,8400.974567956291,1.0420048728397815
2020-02-18,2,1.6650829999772707,0.0,4.5523,0.0,77.25,200000,208400.9745679563,8400.974567956291,1.0420048728397815
2020-02-19,2,1.8071248936313398,0.0,4.3873,0.0,70.61,200000,208400.9745679563,8400.974567956291,1.0420048728397815
2020-02-20,2,1.5160540183206066,0.0,4.2644,0.0,69.4,200000,208400.9745679563,8400.974567956291,1.0420048728397815
