date,statusList,zscore,DASHUSDT_position,DASHUSDT_price,HOTUSDT_position,HOTUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,41.84,0.0,0.0006275,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,40.04,0.0,0.0006035,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,43.92,0.0,0.0006794,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,46.19,0.0,0.0006796,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,51.17,0.0,0.0006708,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,56.57,0.0,0.000703,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,54.62,0.0,0.0006815,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,52.42,0.0,0.0006721,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,50.54,0.0,0.000671,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,56.88,0.0,0.0006865,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,63.46,0.0,0.00067,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,66.19,0.0,0.0006813,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,69.43,0.0,0.000674,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,89.28,0.0,0.0007056,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,133.6,0.0,0.0007118,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,127.45,0.0,0.0006959,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,113.04,0.0,0.0007304,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,101.15,0.0,0.0007145,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,104.92,0.0,0.0006752,200000,200000.0,0.0,1.0
2020-01-20,2,1.3244290802645602,0.0,109.91,0.0,0.0006756,200000,200000.0,0.0,1.0
2020-01-21,2,1.2632663337663035,0.0,110.5,0.0,0.0006651,200000,200000.0,0.0,1.0
2020-01-22,1,1.03838027392261,-927.643784786642,107.8,149521531.10047847,0.0006688,200000,200000.0,0.0,1.0
2020-01-23,1,0.9641445694204992,-927.643784786642,102.72,149521531.10047847,0.0006333,200000,189979.55521921688,-10020.444780783117,0.9498977760960844
2020-01-24,1,0.7744755496705807,-927.643784786642,100.11,149521531.10047847,0.0006346,200000,187752.78293135436,-12247.217068645637,0.9387639146567718
2020-01-25,1,0.8205851599409418,-927.643784786642,101.31,149521531.10047847,0.000621,200000,186832.46265013184,-13167.537349868158,0.9341623132506592
2020-01-26,1,1.01611141660399,-927.643784786642,111.01,149521531.10047847,0.0006347,200000,197879.0523386388,-2120.9476613611914,0.989395261693194
2020-01-27,1,0.8788578034490738,-927.643784786642,112.78,149521531.10047847,0.0006521,200000,202122.65647885948,2122.656478859484,1.0106132823942975
2020-01-28,1,0.9550260405555129,-927.643784786642,115.91,149521531.10047847,0.000648,200000,204413.14324772972,4413.14324772972,1.0220657162386486
