date,statusList,zscore,MITHUSDT_position,MITHUSDT_price,NEOUSDT_position,NEOUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,0.00757,0.0,8.85,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,0.00699,0.0,8.462,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,0.00739,0.0,8.888,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,0.00728,0.0,9.077,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,0.00734,0.0,9.02,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,0.00741,0.0,9.757,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,0.00705,0.0,9.801,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,0.00678,0.0,9.448,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,0.00664,0.0,9.387,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,0.00655,0.0,9.862,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,0.00669,0.0,9.696,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,0.00671,0.0,10.271,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,0.00669,0.0,10.0,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,0.00679,0.0,11.204,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,0.00715,0.0,11.412,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,0.00716,0.0,11.271,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,0.00723,0.0,11.848,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,0.00732,0.0,11.876,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,0.00704,0.0,11.245,200000,200000.0,0.0,1.0
2020-01-20,0,-0.9512552311138239,0.0,0.00692,0.0,11.114,200000,200000.0,0.0,1.0
2020-01-21,0,-0.5815637762497721,0.0,0.00727,0.0,11.226,200000,200000.0,0.0,1.0
2020-01-22,0,-0.043541227616491214,0.0,0.00767,0.0,11.247,200000,200000.0,0.0,1.0
2020-01-23,0,0.21497594128628625,0.0,0.00734,0.0,10.621,200000,200000.0,0.0,1.0
2020-01-24,0,0.37427682808329843,0.0,0.00728,0.0,10.511,200000,200000.0,0.0,1.0
2020-01-25,1,1.126210832524859,-13477088.948787061,0.00742,9661.835748792271,10.35,200000,200000.0,0.0,1.0
