date,statusList,zscore,IOTAUSDT_position,IOTAUSDT_price,TFUELUSDT_position,TFUELUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,0.1606,0.0,0.002383,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,0.1584,0.0,0.002297,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,0.1664,0.0,0.002403,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,0.1734,0.0,0.002429,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,0.1718,0.0,0.002412,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,0.1826,0.0,0.002461,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,0.1857,0.0,0.002382,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,0.1811,0.0,0.002511,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,0.177,0.0,0.002395,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,0.1902,0.0,0.002402,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,0.1918,0.0,0.002403,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,0.1913,0.0,0.002452,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,0.1884,0.0,0.002456,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,0.2105,0.0,0.002572,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,0.2335,0.0,0.002567,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,0.2279,0.0,0.002584,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,0.2383,0.0,0.002598,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,0.2461,0.0,0.002591,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,0.2462,0.0,0.00246,200000,200000.0,0.0,1.0
2020-01-20,2,1.7217091292579323,0.0,0.2523,0.0,0.002579,200000,200000.0,0.0,1.0
2020-01-21,2,1.6702174573670616,0.0,0.2503,0.0,0.002514,200000,200000.0,0.0,1.0
2020-01-22,2,1.4484813803894887,0.0,0.249,0.0,0.002515,200000,200000.0,0.0,1.0
2020-01-23,0,0.9848775217566825,0.0,0.2369,0.0,0.002492,200000,200000.0,0.0,1.0
2020-01-24,1,1.0424226728404575,-421940.92827004223,0.237,40832993.05839118,0.002449,200000,200000.0,0.0,1.0
2020-01-25,1,0.7125897477240642,-421940.92827004223,0.2344,40832993.05839118,0.002489,200000,200536.27330883354,536.2733088335372,1.0026813665441676
2020-01-26,1,1.0246616857093689,-421940.92827004223,0.2457,40832993.05839118,0.0025,200000,205753.36872192734,5753.3687219273415,1.0287668436096367
2020-01-27,1,0.8993868035685613,-421940.92827004223,0.2522,40832993.05839118,0.002574,200000,211517.62624200355,11517.62624200355,1.0575881312100177
2020-01-28,2,1.9260729066062146,0.0,0.2863,0.0,0.0026,200000,214635.90581189602,14635.905811896024,1.07317952905948
