date,statusList,zscore,TRXUSDT_position,TRXUSDT_price,HOTUSDT_position,HOTUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,0.01322,0.0,0.0006275,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,0.01284,0.0,0.0006035,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,0.01344,0.0,0.0006794,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,0.01344,0.0,0.0006796,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,0.01353,0.0,0.0006708,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,0.01472,0.0,0.000703,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,0.01434,0.0,0.0006815,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,0.01402,0.0,0.0006721,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,0.01398,0.0,0.000671,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,0.01469,0.0,0.0006865,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,0.0146,0.0,0.00067,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,0.01503,0.0,0.0006813,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,0.01464,0.0,0.000674,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,0.01677,0.0,0.0007056,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,0.01729,0.0,0.0007118,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,0.01734,0.0,0.0006959,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,0.01758,0.0,0.0007304,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,0.01766,0.0,0.0007145,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,0.01665,0.0,0.0006752,200000,200000.0,0.0,1.0
2020-01-20,2,1.3347154766582086,0.0,0.01661,0.0,0.0006756,200000,200000.0,0.0,1.0
2020-01-21,2,1.830178509186547,0.0,0.01732,0.0,0.0006651,200000,200000.0,0.0,1.0
2020-01-22,2,1.606871437937481,0.0,0.01743,0.0,0.0006688,200000,200000.0,0.0,1.0
2020-01-23,2,1.305114385124178,0.0,0.01628,0.0,0.0006333,200000,200000.0,0.0,1.0
2020-01-24,2,1.2476212543029994,0.0,0.01639,0.0,0.0006346,200000,200000.0,0.0,1.0
2020-01-25,2,1.2085057971881679,0.0,0.01613,0.0,0.000621,200000,200000.0,0.0,1.0
2020-01-26,2,1.3447717720349581,0.0,0.01684,0.0,0.0006347,200000,200000.0,0.0,1.0
2020-01-27,1,1.1069493048653867,-5837711.617046118,0.01713,153350713.08081582,0.0006521,200000,200000.0,0.0,1.0
2020-01-28,2,2.047572399091036,0.0,0.0186,0.0,0.000648,200000,209210.17400068912,9210.17400068912,1.0460508700034457
2020-01-29,2,1.7926505107866306,0.0,0.01866,0.0,0.0006531,200000,209210.17400068912,9210.17400068912,1.0460508700034457
2020-01-30,2,2.319196940095485,0.0,0.0195,0.0,0.000638,200000,209210.17400068912,9210.17400068912,1.0460508700034457
2020-01-31,2,1.6604143078516915,0.0,0.01867,0.0,0.0006329,200000,209210.17400068912,9210.17400068912,1.0460508700034457
2020-02-01,2,1.5399287518603066,0.0,0.01907,0.0,0.0006448,200000,209210.17400068912,9210.17400068912,1.0460508700034457
2020-02-02,0,0.9593661262869598,0.0,0.01909,0.0,0.0006719,200000,209210.17400068912,9210.17400068912,1.0460508700034457
2020-02-03,1,1.1347870946701528,-5448181.61460128,0.0192,158037599.33576757,0.0006619,200000,209210.17400068912,9210.17400068912,1.0460508700034457
2020-02-04,1,0.42192195335555127,-5448181.61460128,0.01925,158037599.33576757,0.000695,200000,214713.6276194331,14713.6276194331,1.0735681380971656
2020-02-05,2,1.3496042460355158,0.0,0.02076,0.0,0.0006959,200000,212336.05894205102,12336.058942051022,1.061680294710255
2020-02-06,2,1.5976204778014322,0.0,0.02271,0.0,0.00074,200000,212336.05894205102,12336.058942051022,1.061680294710255
2020-02-07,0,0.4274604020413091,0.0,0.02204,0.0,0.0007744,200000,212336.05894205102,12336.058942051022,1.061680294710255
2020-02-08,0,-0.4306841914647466,0.0,0.02179,0.0,0.000808,200000,212336.05894205102,12336.058942051022,1.061680294710255
2020-02-09,0,-0.20126071898127293,0.0,0.02206,0.0,0.0008003,200000,212336.05894205102,12336.058942051022,1.061680294710255
2020-02-10,0,0.6934842292545151,0.0,0.02216,0.0,0.0007595,200000,212336.05894205102,12336.058942051022,1.061680294710255
2020-02-11,0,0.7886225395801442,0.0,0.02272,0.0,0.000771,200000,212336.05894205102,12336.058942051022,1.061680294710255
2020-02-12,0,-0.12868582762739392,0.0,0.02393,0.0,0.0008498,200000,212336.05894205102,12336.058942051022,1.061680294710255
