date,statusList,zscore,HOTUSDT_position,HOTUSDT_price,LTCUSDT_position,LTCUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,0.0006275,0.0,41.62,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,0.0006035,0.0,39.43,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,0.0006794,0.0,42.23,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,0.0006796,0.0,42.78,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,0.0006708,0.0,43.3,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,0.000703,0.0,45.8,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,0.0006815,0.0,46.3,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,0.0006721,0.0,45.35,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,0.000671,0.0,44.74,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,0.0006865,0.0,49.06,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,0.00067,0.0,49.3,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,0.0006813,0.0,51.43,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,0.000674,0.0,49.6,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,0.0007056,0.0,58.39,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,0.0007118,0.0,58.16,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,0.0006959,0.0,57.56,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,0.0007304,0.0,61.02,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,0.0007145,0.0,59.32,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,0.0006752,0.0,57.6,200000,200000.0,0.0,1.0
2020-01-20,-2,-1.2876608972658101,0.0,0.0006756,0.0,57.19,200000,200000.0,0.0,1.0
2020-01-21,-2,-1.302034198227806,0.0,0.0006651,0.0,57.57,200000,200000.0,0.0,1.0
2020-01-22,-2,-1.2219894139524095,0.0,0.0006688,0.0,58.33,200000,200000.0,0.0,1.0
2020-01-23,-1,-1.041137901838234,157903047.5288173,0.0006333,-1834.189288334556,54.52,200000,200000.0,0.0,1.0
